NewsID,Language,Department,Title,NewsCategory,Description,ContactName,ContactPhone,NewsURL,PublishTime,StartTime,EndTime,SrcUpdateTime,UpdateTime
10944,Zh_tw,公路總局,【汎航通運】【2000】7月14日無障礙車進廠保養。,3,【汎航通運】【2000】桃園龜山－台北長庚醫院， 7月14日(星期五)無障礙車輛進廠保養，將改以其他車輛替代行駛，造成不便，敬請見諒。,公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10944,2023-07-13T18:43:48+08:00,2023-07-13T18:43:00+08:00,2023-07-14T23:59:00+08:00,2023-07-13T18:43:48+08:00,2023-07-14T00:01:49+08:00
10942,Zh_tw,公路總局,統聯客運 112年7月14日(五)【1627】路線無障礙車輛進行維修，中壢服務區端07:30、08:30，機場端07:00、08:00班次將改以其他車輛替代行駛.,3,統聯客運 112年7月14日(五)【1627】路線無障礙車輛進行維修，中壢服務區端07:30、08:30，機場端07:00、08:00班次將改以其他車輛替代行駛.,公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10942,2023-07-13T17:11:29+08:00,2023-07-14T00:01:00+08:00,2023-07-14T23:59:00+08:00,2023-07-13T17:11:29+08:00,2023-07-14T00:01:49+08:00
10941,Zh_tw,公路總局,【統聯客運】112年7月14日【1616】路線無障礙車輛異動,3,"【統聯客運】112年7月14日【1616】路線 無障礙車輛進行整修，員林端07:30、台北端11:30,將改以其他車輛替代行駛,造成不便敬請見諒!",公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10941,2023-07-13T17:06:50+08:00,2023-07-13T17:03:00+08:00,2023-07-14T23:59:00+08:00,2023-07-13T17:06:50+08:00,2023-07-14T00:01:49+08:00
10940,Zh_tw,公路總局,【統聯客運】112年7月14日【1632】路線無障礙車輛異動,3,"【統聯客運】112年7月14日(1632)路線無障礙車輛進行整修，竹山端08:00.台北 端13:20班次將改以其他車輛替代行駛,造成不便敬請見諒!",公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10940,2023-07-13T17:02:58+08:00,2023-07-13T16:48:00+08:00,2023-07-14T23:59:00+08:00,2023-07-13T17:02:58+08:00,2023-07-14T00:01:49+08:00
10938,Zh_tw,公路總局,112年7月14日—7月17日 【1657】路線FAB—679無障礙車輛進行維修,3,112年7月14日—7月17日 【1657】路線FAB—679無障礙車輛進行維修，烏日端08:00、12:00、16:30南投端10:00、14:30、18:30班次改其他車輛替代行駛、造成不敬請見諒,公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10938,2023-07-13T15:13:06+08:00,2023-07-14T00:01:00+08:00,2023-07-17T23:59:00+08:00,2023-07-13T15:13:06+08:00,2023-07-14T00:01:49+08:00
10937,Zh_tw,公路總局,【統聯客運】112年07月14日【1625】路線無障礙車輛異動,3,【統聯客運】112年07月14日【1625】路線無障礙車輛維修，台南端08:16、台中端12:18班次改其他車輛替代行駛，造成不便敬請見諒。,公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10937,2023-07-13T14:53:27+08:00,2023-07-13T14:50:00+08:00,2023-07-14T23:59:00+08:00,2023-07-13T14:53:27+08:00,2023-07-14T00:01:49+08:00
10935,Zh_tw,公路總局,112年7月14日因關子嶺道路施工改道行駛,3,"一、	112年7月14日因關子嶺道路施工，本公司營運路線｢7214｣嘉義—關子嶺行駛至｢白河榮家｣站為止，不行駛至關子嶺終點站。
二、	112年7月14日下午3時至下午5時30止，暫時不停靠:｢灰窯｣、｢姜仔崙｣、｢粗坑｣、｢關子嶺｣、｢芳谷旅社｣、｢嶺頂公園｣等站位。請原在上述站位候車的民眾改至｢白河榮家｣影響班次:
1.嘉義—關子嶺(去程):14:00、15:00、16:30
2.關子嶺—嘉義(返程):15:35、16:35、18:05
三、	本公司將視現場管制情形，通知場站恢復行駛路線。如有疑問，請洽詢嘉義客運(05)275—0895，造成不便之處，敬請見諒!",公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10935,2023-07-13T10:06:49+08:00,2023-07-13T10:04:00+08:00,2023-07-14T19:59:00+08:00,2023-07-13T10:06:49+08:00,2023-07-14T00:01:49+08:00
10932,Zh_tw,公路總局,112年7月14日【1665】無障礙車車輛異動,3,"112年7月14日【1665】無障礙車車輛異動，宜蘭端09:30，新店端13:30改由其他車輛行駛，造成不便敬請見諒。
112年7月13日【1665】無障礙車車輛異動，宜蘭端09:30，新店端13:30改由其他車輛行駛，造成不便敬請見諒。",公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10932,2023-07-13T08:47:49+08:00,2023-07-13T08:44:00+08:00,2023-07-14T23:59:00+08:00,2023-07-13T08:47:49+08:00,2023-07-14T00:01:49+08:00
10930,Zh_tw,公路總局,【三重客運】7/14起，9003線班次調整,3,"本倆公司聯營【9003】國道客運路線，自112年7月14日起至8月13日止班次調整，相關發車時刻表已於場站公告，也歡迎民眾至臺北轉運站售票櫃台查詢班次資訊，或下載公路總局iBUS app，隨時掌握路線資訊。

      三重客運、新竹客運 敬啟",公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10930,2023-07-12T17:24:30+08:00,2023-07-12T17:23:00+08:00,2023-08-13T23:59:00+08:00,2023-07-12T17:24:30+08:00,2023-07-14T00:01:49+08:00
10926,Zh_tw,公路總局,【統聯客運】112年07月14日【1650】路線無障礙車輛異動,3,"【統聯客運】112年07月14日【1650】路線無障礙車輛異動 北港端1150 三條崙端1100
改一般車輛行駛",公路總局,02-23070123,https://www.taiwanbus.tw/eBUSPage/NewsD.aspx?td=10926,2023-07-12T16:37:25+08:00,2023-07-13T00:00:00+08:00,2023-07-14T23:59:00+08:00,2023-07-12T16:37:25+08:00,2023-07-14T00:01:49+08:00
