RouteUID,RouteID,RouteName
THB1062,1062,1062
THB1061,1061,1061
THB1032,1032,1032
THB1031,1031,1031
THB1070,1070,1070
THB0701,0701,0701
THB0968,0968,0968
THB1068,1068,1068
THB1032,1032,1032
THB0701,0701,0701
THB1070,1070,1070
THB1062,1062,1062
THB1031,1031,1031
THB1068,1068,1068
THB1061,1061,1061
THB0968,0968,0968
THB1122,1122,1122
THB1121,1121,1121
THB1071,1071,1071
THB1128,1128,1128
THB1126,1126,1126
THB1125,1125,1125
THB1088,1088,1088
THB1122,1122,1122
THB1123,1123,1123
THB1121,1121,1121
THB1071,1071,1071
THB1128,1128,1128
THB1126,1126,1126
THB1088,1088,1088
THB1125,1125,1125
THB1135,1135,1135
THB1133,1133,1133
THB1132,1132,1132
THB1139,1139,1139
THB1130,1130,1130
THB1137,1137,1137
THB1133,1133,1133
THB1136,1136,1136
THB1132,1132,1132
THB1135,1135,1135
THB1129,1129,1129
THB1130,1130,1130
THB1137,1137,1137
THB1139,1139,1139
THB1136,1136,1136
THB1129,1129,1129
THB1143,1143,1143
THB1145,1145,1145
THB1141,1141,1141
THB1142,1142,1142
THB1250,1250,1250
THB1212,1212,1212
THB1191,1191,1191
THB1143,1143,1143
THB1141,1141,1141
THB1145,1145,1145
THB1142,1142,1142
THB1140,1140,1140
THB1212,1212,1212
THB1250,1250,1250
THB1191,1191,1191
THB1558,1558,1558
THB1140,1140,1140
THB1551,1551,1551
THB1570,1570,1570
THB1572,1572,1572
THB1571,1571,1571
THB1550,1550,1550
THB1573,1573,1573
THB1558,1558,1558
THB1551,1551,1551
THB1570,1570,1570
THB1571,1571,1571
THB1572,1572,1572
THB1550,1550,1550
THB1356,1356,1356
THB1573,1573,1573
THB1611,1611,1611
THB1610,1610,1610
THB1356,1356,1356
THB1612,1612,1612
THB1613,1613,1613
THB1580,1580,1580
THB1615,1615,1615
THB1616,1616,1616
THB1611,1611,1611
THB1580,1580,1580
THB1615,1615,1615
THB1610,1610,1610
THB1612,1612,1612
THB1613,1613,1613
THB1616,1616,1616
THB1579,1579,1579
THB1625,1625,1625
THB1619,1619,1619
THB1579,1579,1579
THB1623,1623,1623
THB1618,1618,1618
THB1620,1620,1620
THB1627,1627,1627
THB1619,1619,1619
THB1625,1625,1625
THB1621,1621,1621
THB1623,1623,1623
THB1617,1617,1617
THB1627,1627,1627
THB1620,1620,1620
THB1632,1632,1632
THB1618,1618,1618
THB1637,1637,1637
THB1621,1621,1621
THB1617,1617,1617
THB1638,1638,1638
THB1636,1636,1636
THB1633,1633,1633
THB1637,1637,1637
THB1632,1632,1632
THB1638,1638,1638
THB1636,1636,1636
THB1630,1630,1630
THB1635,1635,1635
THB1628,1628,1628
THB1651,1651,1651
THB1661,1661,1661
THB1633,1633,1633
THB1662,1662,1662
THB1628,1628,1628
THB1635,1635,1635
THB1630,1630,1630
THB1660,1660,1660
THB1651,1651,1651
THB1661,1661,1661
THB1662,1662,1662
THB1660,1660,1660
THB1639,1639,1639
THB1652,1652,1652
THB1728,1728,1728
THB1650,1650,1650
