PlateNumb,OperatorCode,VehicleType,HasLiftOrRamp,UpdateTime
916-U5,,0,False,2019-01-18T16:38:45+08:00
527-FN,,0,False,2019-01-18T16:38:45+08:00
569-U6,,0,False,2019-01-18T16:38:45+08:00
670-FT,,0,False,2019-01-18T16:38:45+08:00
KKA-1831,,0,False,2019-01-18T16:38:45+08:00
FAD-666,,0,False,2019-01-18T16:38:45+08:00
202-U5,,0,False,2019-01-18T16:38:45+08:00
589-FW,,1,False,2019-01-18T16:38:45+08:00
817-U7,,0,False,2019-01-18T16:38:45+08:00
883-FX,,0,False,2019-01-18T16:38:45+08:00
605-FW,,0,False,2019-01-18T16:38:45+08:00
093-U7,,0,False,2019-01-18T16:38:45+08:00
626-U9,,0,False,2019-01-18T16:38:45+08:00
358-FQ,,0,False,2019-01-18T16:38:45+08:00
697-U9,,0,False,2019-01-18T16:38:45+08:00
KKA-1959,,0,False,2019-01-18T16:38:45+08:00
456-U5,,0,False,2019-01-18T16:38:45+08:00
760-FS,,0,False,2019-01-18T16:38:45+08:00
056-FS,,0,False,2019-01-18T16:38:45+08:00
746-FT,,0,False,2019-01-18T16:38:45+08:00
KKA-2603,,0,False,2019-01-18T16:38:45+08:00
862-FY,,0,False,2019-01-18T16:38:45+08:00
987-U3,,0,False,2019-01-18T16:38:45+08:00
558-V2,,0,False,2019-01-18T16:38:45+08:00
741-FM,,0,False,2019-01-18T16:38:45+08:00
329-FC,,0,False,2019-01-18T16:38:45+08:00
895-FY,,0,False,2019-01-18T16:38:45+08:00
FAC-093,,0,False,2019-01-18T16:38:45+08:00
KKA-2790,,0,False,2019-01-18T16:38:45+08:00
FAB-088,,0,False,2019-01-18T16:38:45+08:00
995-U5,,0,False,2019-01-18T16:38:45+08:00
302-U5,,0,False,2019-01-18T16:38:45+08:00
893-FT,,1,False,2019-01-18T16:38:45+08:00
491-FY,,0,False,2019-01-18T16:38:45+08:00
KKA-1815,,0,False,2019-01-18T16:38:45+08:00
816-FY,,0,False,2019-01-18T16:38:45+08:00
880-U7,,0,False,2019-01-18T16:38:45+08:00
919-FE,,0,False,2019-01-18T16:38:45+08:00
327-FC,,0,False,2019-01-18T16:38:45+08:00
KKA-0013,,0,False,2019-01-18T16:38:45+08:00
121-FZ,,0,False,2019-01-18T16:38:45+08:00
530-U6,,0,False,2019-01-18T16:38:45+08:00
239-FX,,0,False,2019-01-18T16:38:45+08:00
180-U5,,0,False,2019-01-18T16:38:45+08:00
808-FP,,0,False,2019-01-18T16:38:45+08:00
378-U6,,0,False,2019-01-18T16:38:45+08:00
706-FS,,0,False,2019-01-18T16:38:45+08:00
KKA-3833,,0,False,2019-01-18T16:38:45+08:00
337-FC,,0,False,2019-01-18T16:38:45+08:00
769-FW,,0,False,2019-01-18T16:38:45+08:00
988-FX,,0,False,2019-01-18T16:38:45+08:00
011-V3,,0,False,2019-01-18T16:38:45+08:00
FAF-808,,0,False,2019-01-18T16:38:45+08:00
FAB-180,,0,False,2019-01-18T16:38:45+08:00
KKA-0617,,0,False,2019-01-18T16:38:45+08:00
FAB-533,,0,False,2019-01-18T16:38:45+08:00
195-U5,,0,False,2019-01-18T16:38:45+08:00
833-U9,,0,False,2019-01-18T16:38:45+08:00
963-FX,,0,False,2019-01-18T16:38:45+08:00
253-U9,,0,False,2019-01-18T16:38:45+08:00
563-FT,,0,False,2019-01-18T16:38:45+08:00
KKA-0022,,0,False,2019-01-18T16:38:45+08:00
738-U9,,0,False,2019-01-18T16:38:45+08:00
376-FE,,0,False,2019-01-18T16:38:45+08:00
730-FM,,0,False,2019-01-18T16:38:45+08:00
682-FT,,0,False,2019-01-18T16:38:45+08:00
236-U9,,1,False,2019-01-18T16:38:45+08:00
476-FD,,0,False,2019-01-18T16:38:45+08:00
FAC-358,,0,False,2019-01-18T16:38:45+08:00
488-AC,,0,False,2019-01-18T16:38:45+08:00
130-FL,,0,False,2019-01-18T16:38:45+08:00
