PlateNumb,OperatorID,OperatorNo,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,BusPosition,Speed,Azimuth,DutyStatus,BusStatus,MessageType,GPSTime,SrcRecTime,SrcTransTime,UpdateTime
037-FZ,34,1201,THB1618,1618,"{'Zh_tw': '1618', 'En': '1618'}",THB1618F1,1618F1,"{'Zh_tw': '1618F', 'En': '1618F'}",0,"{'PositionLon': 120.43667, 'PositionLat': 23.6129, 'GeoHash': 'wsjwkde71'}",35.0,196.0,0,0,1,2023-07-14T00:28:08+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:14+08:00
073-FZ,34,1201,THB1619,1619,"{'Zh_tw': '1619', 'En': '1619'}",THB1619B1,1619B1,"{'Zh_tw': '1619B', 'En': '1619B'}",0,"{'PositionLon': 120.842918333333, 'PositionLat': 24.5604866666667, 'GeoHash': 'wsmgtz55h'}",94.0,207.0,0,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
133-FZ,45,1101,THB1831,1831,"{'Zh_tw': '1831', 'En': '1831'}",THB183102,183102,"{'Zh_tw': '1831', 'En': '1831'}",1,"{'PositionLon': 121.506305, 'PositionLat': 25.0517633333333, 'GeoHash': 'wsqqsbw1n'}",0.0,0.0,2,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
356-U5,34,1201,THB1623,1623,"{'Zh_tw': '1623', 'En': '1623'}",THB162302,162302,"{'Zh_tw': '1623', 'En': '1623'}",1,"{'PositionLon': 121.236391666667, 'PositionLat': 25.0811016666667, 'GeoHash': 'wsqnwvcsh'}",0.0,12.0,1,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
363-U6,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB1611E2,1611E2,"{'Zh_tw': '1611E', 'En': '1611E'}",1,"{'PositionLon': 120.253098333333, 'PositionLat': 23.0707166666667, 'GeoHash': 'wsje0rvss'}",96.0,356.0,0,0,1,2023-07-14T00:28:13+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:14+08:00
382-FQ,35,1308,THB1917,1917,"{'Zh_tw': '1917', 'En': '1917'}",THB191702,191702,"{'Zh_tw': '1917', 'En': '1917'}",1,"{'PositionLon': 121.783806666667, 'PositionLat': 24.674115, 'GeoHash': 'wsqs77b30'}",0.0,0.0,2,0,1,2023-07-14T00:28:09+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
399-FS,45,1101,THB1827,1827,"{'Zh_tw': '1827', 'En': '1827'}",THB182701,182701,"{'Zh_tw': '1827', 'En': '1827'}",0,"{'PositionLon': 120.63846, 'PositionLat': 24.1681466666667, 'GeoHash': 'wsmc3pwjx'}",0.0,0.0,1,0,1,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:14+08:00
419-FY,45,1101,THB1831,1831,"{'Zh_tw': '1831', 'En': '1831'}",THB183101,183101,"{'Zh_tw': '1831', 'En': '1831'}",0,"{'PositionLon': 120.6975, 'PositionLat': 23.94015, 'GeoHash': 'wsmb4w1jr'}",21.0,184.0,1,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
425-FY,45,1101,THB1832,1832,"{'Zh_tw': '1832', 'En': '1832'}",THB1832A1,1832A1,"{'Zh_tw': '1832A', 'En': '1832A'}",0,"{'PositionLon': 120.65965, 'PositionLat': 24.0662266666667, 'GeoHash': 'wsmbctjev'}",0.0,0.0,2,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
443-FY,45,1101,THB1861,1861,"{'Zh_tw': '1861', 'En': '1861'}",THB186102,186102,"{'Zh_tw': '1861', 'En': '1861'}",1,"{'PositionLon': 121.312136666667, 'PositionLat': 24.9866166666667, 'GeoHash': 'wsqq0s8v9'}",0.0,0.0,2,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
