PlateNumb,OperatorID,OperatorNo,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopUID,StopID,StopName,StopSequence,MessageType,DutyStatus,BusStatus,A2EventType,GPSTime,SrcRecTime,SrcTransTime,UpdateTime
217-U5,45,1101,THB1815,1815,"{'Zh_tw': '1815', 'En': '1815'}",THB181501,181501,"{'Zh_tw': '1815', 'En': '1815'}",0,THB282757,282757,"{'Zh_tw': '金山中學', 'En': 'Jinshan High School'}",54,2,1,0,0,2023-07-14T00:27:45+08:00,2023-07-14T00:28:14+08:00,2023-07-14T00:28:14+08:00,2023-07-14T00:28:19+08:00
419-FY,45,1101,THB1831,1831,"{'Zh_tw': '1831', 'En': '1831'}",THB183101,183101,"{'Zh_tw': '1831', 'En': '1831'}",0,THB266789,266789,"{'Zh_tw': '光明里', 'En': 'Guangming Village'}",19,2,1,0,0,2023-07-14T00:28:14+08:00,2023-07-14T00:28:14+08:00,2023-07-14T00:28:14+08:00,2023-07-14T00:28:19+08:00
KKA-7193,23,1401,THB7211,7211,"{'Zh_tw': '7211', 'En': '7211'}",THB721102,721102,"{'Zh_tw': '7211', 'En': '7211'}",1,THB239964,239964,"{'Zh_tw': '長庚醫院', 'En': 'Changgung Memorial Hospital New Stop'}",15,2,1,0,0,2023-07-14T00:28:16+08:00,2023-07-14T00:28:16+08:00,2023-07-14T00:28:16+08:00,2023-07-14T00:28:19+08:00
958-V2,28,1003,THB9117,9117,"{'Zh_tw': '9117', 'En': '9117'}",THB911701,911701,"{'Zh_tw': '9117', 'En': '9117'}",0,THB300476,300476,"{'Zh_tw': '水底寮', 'En': 'Shuidiliao'}",62,2,0,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
985-FY,28,1003,THB9117,9117,"{'Zh_tw': '9117', 'En': '9117'}",THB911702,911702,"{'Zh_tw': '9117', 'En': '9117'}",1,THB266319,266319,"{'Zh_tw': '港嘴', 'En': 'Gangzui'}",113,2,0,0,0,2023-07-14T00:28:11+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
FAB-908,45,1101,THB1872,1872,"{'Zh_tw': '1872', 'En': '1872'}",THB187202,187202,"{'Zh_tw': '1872', 'En': '1872'}",1,THB270077,270077,"{'Zh_tw': '頂何厝(臺灣大道)', 'En': 'Dinghecuo(Taiwan Boulevard)'}",8,2,1,0,1,2023-07-14T00:28:07+08:00,2023-07-14T00:28:08+08:00,2023-07-14T00:28:08+08:00,2023-07-14T00:28:09+08:00
KKA-5562,56,0501,THB9012,9012,"{'Zh_tw': '9012', 'En': '9012'}",THB901201,901201,"{'Zh_tw': '9012', 'En': '9012'}",0,THB204352,204352,"{'Zh_tw': '科學博物館(臺灣大道)', 'En': 'National Museum of Natural Science(Taiwan Boulevar'}",10,2,0,0,0,2023-07-14T00:28:02+08:00,2023-07-14T00:28:03+08:00,2023-07-14T00:28:03+08:00,2023-07-14T00:28:04+08:00
062-FS,39,0913,THB1572,1572,"{'Zh_tw': '1572', 'En': '1572'}",THB157201,157201,"{'Zh_tw': '1572', 'En': '1572'}",0,THB289783,289783,"{'Zh_tw': '市府轉運站', 'En': 'Taipei City Hall Bus Station'}",11,2,1,0,1,2023-07-14T00:27:54+08:00,2023-07-14T00:27:54+08:00,2023-07-14T00:27:54+08:00,2023-07-14T00:27:59+08:00
516-U6,45,1101,THB9188,9188,"{'Zh_tw': '9188', 'En': '9188'}",THB918801,918801,"{'Zh_tw': '9188', 'En': '9188'}",0,THB275977,275977,"{'Zh_tw': '南興社區', 'En': 'Nanxing Community'}",82,2,1,0,0,2023-07-14T00:27:54+08:00,2023-07-14T00:27:54+08:00,2023-07-14T00:27:54+08:00,2023-07-14T00:27:59+08:00
759-U3,50,0604,THB2000,2000,"{'Zh_tw': '2000', 'En': '2000'}",THB200002,200002,"{'Zh_tw': '2000', 'En': '2000'}",1,THB269645,269645,"{'Zh_tw': '行天宮', 'En': 'Hsing Tian Kong'}",3,2,0,0,1,2023-07-14T00:27:55+08:00,2023-07-14T00:27:56+08:00,2023-07-14T00:27:56+08:00,2023-07-14T00:27:59+08:00
031-FZ,34,1201,THB1617,1617,"{'Zh_tw': '1617', 'En': '1617'}",THB1617C1,1617C1,"{'Zh_tw': '1617C', 'En': '1617C'}",0,THB266046,266046,"{'Zh_tw': '媽祖廟', 'En': 'Mazu Temple'}",9,2,0,0,1,2023-07-14T00:27:52+08:00,2023-07-14T00:27:52+08:00,2023-07-14T00:27:52+08:00,2023-07-14T00:27:54+08:00
710-FS,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500J2,7500J2,"{'Zh_tw': '7500J', 'En': '7500J'}",1,THB189264,189264,"{'Zh_tw': '三重站', 'En': 'Sanzhong Station'}",2,2,1,0,1,2023-07-14T00:27:51+08:00,2023-07-14T00:27:52+08:00,2023-07-14T00:27:52+08:00,2023-07-14T00:27:54+08:00
305-U5,45,1101,THB1841,1841,"{'Zh_tw': '1841', 'En': '1841'}",THB184101,184101,"{'Zh_tw': '1841', 'En': '1841'}",0,THB269048,269048,"{'Zh_tw': '水尾', 'En': 'Shuiwei'}",23,2,1,0,1,2023-07-14T00:27:46+08:00,2023-07-14T00:27:46+08:00,2023-07-14T00:27:46+08:00,2023-07-14T00:27:49+08:00
KKA-7708,25,0801,THB7512,7512,"{'Zh_tw': '7512', 'En': '7512'}",THB7512A1,7512A1,"{'Zh_tw': '7512A', 'En': '7512A'}",0,THB295248,295248,"{'Zh_tw': '九如站', 'En': 'Jiuru Station'}",3,2,1,0,1,2023-07-14T00:27:40+08:00,2023-07-14T00:27:42+08:00,2023-07-14T00:27:42+08:00,2023-07-14T00:27:44+08:00
399-FS,45,1101,THB1827,1827,"{'Zh_tw': '1827', 'En': '1827'}",THB182701,182701,"{'Zh_tw': '1827', 'En': '1827'}",0,THB268417,268417,"{'Zh_tw': '朝馬站(國光)', 'En': 'Chaoma Station (Kuokuang)'}",3,2,1,0,1,2023-07-14T00:27:36+08:00,2023-07-14T00:27:37+08:00,2023-07-14T00:27:37+08:00,2023-07-14T00:27:39+08:00
