StationGroupUID,StationGroupID,StationGroupName,StationGroupPosition,UpdateTime,VersionID
THB100－006,100－006,{'Zh_tw': '台電大樓'},"{'PositionLon': 121.5310105, 'PositionLat': 25.017913, 'GeoHash': 'wsqqmd25v'}",2023-07-13T07:38:39+08:00,1790
THB100－009,100－009,{'Zh_tw': '仁愛新生路口'},"{'PositionLon': 121.53288, 'PositionLat': 25.03789, 'GeoHash': 'wsqqmw183'}",2023-07-13T07:38:39+08:00,1790
THB100－013,100－013,{'Zh_tw': '捷運忠孝新生站'},"{'PositionLon': 121.53269, 'PositionLat': 25.04137, 'GeoHash': 'wsqqmw9ks'}",2023-07-13T07:38:39+08:00,1790
THB100－017,100－017,{'Zh_tw': '光華商場'},"{'PositionLon': 121.532734, 'PositionLat': 25.044532, 'GeoHash': 'wsqqmx1qv'}",2023-07-13T07:38:39+08:00,1790
THB100－021,100－021,{'Zh_tw': '華山文創園區'},"{'PositionLon': 121.528162666667, 'PositionLat': 25.0437673333333, 'GeoHash': 'wsqqmrn4e'}",2023-07-13T07:38:39+08:00,1790
THB100－024,100－024,{'Zh_tw': '臺北車站(鄭州)'},"{'PositionLon': 121.517615, 'PositionLat': 25.048361, 'GeoHash': 'wsqqmpymm'}",2023-07-13T07:38:39+08:00,1790
THB100－025,100－025,{'Zh_tw': '臺北車站(東三門)'},"{'PositionLon': 121.5182485, 'PositionLat': 25.04754, 'GeoHash': 'wsqqmpybk'}",2023-07-13T07:38:39+08:00,1790
THB100－046,100－046,{'Zh_tw': '臺北車站北一門'},"{'PositionLon': 121.51804, 'PositionLat': 25.0482695, 'GeoHash': 'wsqqmpysx'}",2023-07-13T07:38:39+08:00,1790
THB100－047,100－047,{'Zh_tw': '捷運西門站'},"{'PositionLon': 121.5078595, 'PositionLat': 25.040737, 'GeoHash': 'wsqqkyx2f'}",2023-07-13T07:38:39+08:00,1790
THB103－001,103－001,{'Zh_tw': '酒泉重慶路口'},"{'PositionLon': 121.51413725, 'PositionLat': 25.0723225, 'GeoHash': 'wsqqth7bu'}",2023-07-13T07:38:39+08:00,1790
