RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,RouteMapImageUrl,UpdateTime,VersionID
THB0701,0701,True,"[{'OperatorID': '21', 'OperatorName': {'Zh_tw': '臺西客運', 'En': 'Taisi Bus Co., Ltd.'}, 'OperatorCode': 'TaisiBus', 'OperatorNo': '1408'}]",010,010,"[{'SubRouteUID': 'THB070101', 'SubRouteID': '070101', 'OperatorIDs': ['21'], 'SubRouteName': {'Zh_tw': '0701', 'En': '0701'}, 'Headsign': '台西→高鐵雲林站(經四湖、東勢)', 'HeadsignEn': 'Taixi→Yunlin High Speed Rail Station(Via Sihu、Dongshi)', 'Direction': 0}, {'SubRouteUID': 'THB070102', 'SubRouteID': '070102', 'OperatorIDs': ['21'], 'SubRouteName': {'Zh_tw': '0701', 'En': '0701'}, 'Headsign': '高鐵雲林站→台西(經四湖、東勢)', 'HeadsignEn': 'Yunlin High Speed Rail Station→Taixi(Via Sihu、Dongshi)', 'Direction': 1}]",12,"{'Zh_tw': '0701', 'En': '0701'}",臺西,Taixi,高鐵雲林站,Yunlin High Speed Rail Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0701.jpg,2023-07-13T07:38:39+08:00,1790
THB0968,0968,True,"[{'OperatorID': '16', 'OperatorName': {'Zh_tw': '亞通客運', 'En': 'Yatung Bus Co., Ltd.'}, 'OperatorCode': 'YatungBus', 'OperatorNo': '0702'}, {'OperatorID': '35', 'OperatorName': {'Zh_tw': '葛瑪蘭客運', 'En': 'Kamalan Bus Co., Ltd.'}, 'OperatorCode': 'KamalanBus', 'OperatorNo': '1308'}]",010,010,"[{'SubRouteUID': 'THB096801', 'SubRouteID': '096801', 'OperatorIDs': ['16', '35'], 'SubRouteName': {'Zh_tw': '0968', 'En': '0968'}, 'Headsign': '桃園市蘆竹區→國道1號→圓山轉運站', 'HeadsignEn': 'Taoyuan County Dajhu area→National Freeway No.1→Yuanshan Transfer Station', 'Direction': 0}, {'SubRouteUID': 'THB096802', 'SubRouteID': '096802', 'OperatorIDs': ['16', '35'], 'SubRouteName': {'Zh_tw': '0968', 'En': '0968'}, 'Headsign': '圓山轉運站→國道1號→桃園市蘆竹區', 'HeadsignEn': 'Yuanshan Transfer Station→National Freeway No.1→Taoyuan County Dajhu area', 'Direction': 1}, {'SubRouteUID': 'THB0968A1', 'SubRouteID': '0968A1', 'OperatorIDs': ['16', '35'], 'SubRouteName': {'Zh_tw': '0968A', 'En': '0968A'}, 'Headsign': '桃園市蘆竹區→國道1號→圓山轉運站[經開南大學]', 'HeadsignEn': 'Taoyuan County Dajhu area→National Freeway No.1→Yuanshan Transfer Station(Via Kainan University)', 'Direction': 0}, {'SubRouteUID': 'THB0968A2', 'SubRouteID': '0968A2', 'OperatorIDs': ['16', '35'], 'SubRouteName': {'Zh_tw': '0968A', 'En': '0968A'}, 'Headsign': '圓山轉運站→國道1號→桃園市蘆竹區[經開南大學]', 'HeadsignEn': 'Yuanshan Transfer Station→National Freeway No.1→Taoyuan County Dajhu area(Via Kainan University)', 'Direction': 1}]",13,"{'Zh_tw': '0968', 'En': '0968'}",大竹消防隊,Dajhu Fire Brigade,庫倫街口,Kulun St. Entrance,http://web.taiwanbus.tw/TMSData/Schematic/file/0968.jpg,2023-07-13T07:38:39+08:00,1790
THB1031,1031,True,"[{'OperatorID': '43', 'OperatorName': {'Zh_tw': '基隆客運', 'En': 'Keelung Bus Co., Ltd.'}, 'OperatorCode': 'KeelungBus', 'OperatorNo': '1102'}]",010,010,"[{'SubRouteUID': 'THB103101', 'SubRouteID': '103101', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1031', 'En': '1031'}, 'Headsign': '國家新城→汐止樟樹灣', 'HeadsignEn': 'Guojiaxincheng→Xizhi Zhangshuwan', 'Direction': 0}, {'SubRouteUID': 'THB103102', 'SubRouteID': '103102', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1031', 'En': '1031'}, 'Headsign': '汐止樟樹灣→國家新城', 'HeadsignEn': 'Xizhi Zhangshuwan→Guojiaxincheng', 'Direction': 1}]",12,"{'Zh_tw': '1031', 'En': '1031'}",國家新城,Guojia Xincheng,樟樹國際實中,Zhangshu Junior High School,http://web.taiwanbus.tw/TMSData/Schematic/file/1031.jpg,2023-07-13T07:38:39+08:00,1790
THB1032,1032,True,"[{'OperatorID': '43', 'OperatorName': {'Zh_tw': '基隆客運', 'En': 'Keelung Bus Co., Ltd.'}, 'OperatorCode': 'KeelungBus', 'OperatorNo': '1102'}]",010,010,"[{'SubRouteUID': 'THB103201', 'SubRouteID': '103201', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1032', 'En': '1032'}, 'Headsign': '基隆→南港轉運站', 'HeadsignEn': 'Keelung→Nangang Bus Station', 'Direction': 0}, {'SubRouteUID': 'THB103202', 'SubRouteID': '103202', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1032', 'En': '1032'}, 'Headsign': '南港轉運站→基隆', 'HeadsignEn': 'Nangang Bus Stationo→Keelung', 'Direction': 1}]",12,"{'Zh_tw': '1032', 'En': '1032'}",城隍廟,City God Temple,南港轉運站西站,Nangang Bus Station(West),http://web.taiwanbus.tw/TMSData/Schematic/file/1032.jpg,2023-07-13T07:38:39+08:00,1790
THB1061,1061,True,"[{'OperatorID': '43', 'OperatorName': {'Zh_tw': '基隆客運', 'En': 'Keelung Bus Co., Ltd.'}, 'OperatorCode': 'KeelungBus', 'OperatorNo': '1102'}]",010,010,"[{'SubRouteUID': 'THB106101', 'SubRouteID': '106101', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1061', 'En': '1061'}, 'Headsign': '臺北市→中山高速公路→新北市瑞芳區[不經暖暖區公所]', 'HeadsignEn': 'Taipei City→National Freeway No. 1→New Taipei City Ruifang District  (Not Via Nuannuan District Office)', 'Direction': 0}, {'SubRouteUID': 'THB106102', 'SubRouteID': '106102', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1061', 'En': '1061'}, 'Headsign': '新北市瑞芳區→中山高速公路→臺北市[不經暖暖區公所]', 'HeadsignEn': 'New Taipei City Ruifang District →National Freeway No. 1→Taipei City(Not Via Nuannuan District Office)', 'Direction': 1}, {'SubRouteUID': 'THB1061A1', 'SubRouteID': '1061A1', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1061A', 'En': '1061A'}, 'Headsign': '臺北市→中山高速公路→新北市瑞芳區[經暖暖區公所]', 'HeadsignEn': 'Taipei City→National Freeway No. 1→New Taipei City Ruifang District(Via Nuannuan District Office)', 'Direction': 0}, {'SubRouteUID': 'THB1061A2', 'SubRouteID': '1061A2', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1061A', 'En': '1061A'}, 'Headsign': '新北市瑞芳區→中山高速公路→臺北市[經暖暖區公所]', 'HeadsignEn': 'New Taipei City Ruifang District→National Freeway No. 1→Taipei City(Via Nuannuan District Office)', 'Direction': 1}]",13,"{'Zh_tw': '1061', 'En': '1061'}",捷運忠孝復興站,MRT Zhongxiao Fuxing Station,瑞芳火車站,TRA Ruifang Station,http://web.taiwanbus.tw/TMSData/Schematic/file/1061.jpg,2023-07-13T07:38:39+08:00,1790
THB1062,1062,True,"[{'OperatorID': '43', 'OperatorName': {'Zh_tw': '基隆客運', 'En': 'Keelung Bus Co., Ltd.'}, 'OperatorCode': 'KeelungBus', 'OperatorNo': '1102'}]",010,010,"[{'SubRouteUID': 'THB106201', 'SubRouteID': '106201', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1062', 'En': '1062'}, 'Headsign': '臺北市→中山高速公路→新北市瑞芳區→金瓜石', 'HeadsignEn': 'Taipei City→National Freeway No. 1→Jinguashi', 'Direction': 0}, {'SubRouteUID': 'THB106202', 'SubRouteID': '106202', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1062', 'En': '1062'}, 'Headsign': '金瓜石→新北市瑞芳區→中山高速公路→臺北市', 'HeadsignEn': 'Jinguashi→National Freeway No. 1→Taipei City', 'Direction': 1}]",13,"{'Zh_tw': '1062', 'En': '1062'}",捷運忠孝復興站,MRT Zhongxiao Fuxing Station,勸濟堂,Quanji Temple,http://web.taiwanbus.tw/TMSData/Schematic/file/1062.jpg,2023-07-13T07:38:39+08:00,1790
THB1068,1068,True,"[{'OperatorID': '43', 'OperatorName': {'Zh_tw': '基隆客運', 'En': 'Keelung Bus Co., Ltd.'}, 'OperatorCode': 'KeelungBus', 'OperatorNo': '1102'}]",010,010,"[{'SubRouteUID': 'THB106801', 'SubRouteID': '106801', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1068', 'En': '1068'}, 'Headsign': '新北市金山區－國道3號－臺灣大學', 'HeadsignEn': 'Jinshan Dist. New Taipei City－National Freeway No.3－National Taiwan University', 'Direction': 0}, {'SubRouteUID': 'THB106802', 'SubRouteID': '106802', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1068', 'En': '1068'}, 'Headsign': '臺灣大學－國道3號－新北市金山區', 'HeadsignEn': 'National Taiwan University－National Freeway No.3－Jinshan Dist. New Taipei City', 'Direction': 1}]",13,"{'Zh_tw': '1068', 'En': '1068'}",金山(南勢),Jinshan(Nanshi),臺大,National Taiwan Universty,http://web.taiwanbus.tw/TMSData/Schematic/file/1068.jpg,2023-07-13T07:38:39+08:00,1790
THB1070,1070,True,"[{'OperatorID': '42', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}, {'OperatorID': '43', 'OperatorName': {'Zh_tw': '基隆客運', 'En': 'Keelung Bus Co., Ltd.'}, 'OperatorCode': 'KeelungBus', 'OperatorNo': '1102'}]",010,010,"[{'SubRouteUID': 'THB107001', 'SubRouteID': '107001', 'OperatorIDs': ['42', '43'], 'SubRouteName': {'Zh_tw': '1070', 'En': '1070'}, 'Headsign': '新北市板橋區→國道1號高速公路→基隆市', 'HeadsignEn': 'New Taipei City Banqiao District→National Freeway No. 1→Keelung City', 'Direction': 0}, {'SubRouteUID': 'THB107002', 'SubRouteID': '107002', 'OperatorIDs': ['42', '43'], 'SubRouteName': {'Zh_tw': '1070', 'En': '1070'}, 'Headsign': '基隆市→國道1號高速公路→新北市板橋區', 'HeadsignEn': 'Keelung City→National Freeway No. 1→New Taipei City Banqiao District', 'Direction': 1}]",13,"{'Zh_tw': '1070', 'En': '1070'}",南雅站,Nanya Stop,國家新城,Guojia Xincheng,http://web.taiwanbus.tw/TMSData/Schematic/file/1070.jpg,2023-07-13T07:38:39+08:00,1790
THB1071,1071,True,"[{'OperatorID': '42', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",010,010,"[{'SubRouteUID': 'THB107101', 'SubRouteID': '107101', 'OperatorIDs': ['42'], 'SubRouteName': {'Zh_tw': '1071', 'En': '1071'}, 'Headsign': '南港→國道5號→花蓮市', 'HeadsignEn': 'Nangang→National Freeway No.5→Hualien City', 'Direction': 0}, {'SubRouteUID': 'THB107102', 'SubRouteID': '107102', 'OperatorIDs': ['42'], 'SubRouteName': {'Zh_tw': '1071', 'En': '1071'}, 'Headsign': '花蓮市→國道5號→南港', 'HeadsignEn': 'Hualien City→National Freeway No.5→Nangang', 'Direction': 1}, {'SubRouteUID': 'THB1071A1', 'SubRouteID': '1071A1', 'OperatorIDs': ['42'], 'SubRouteName': {'Zh_tw': '1071A', 'En': '1071A'}, 'Headsign': '南港→國道5號→花蓮市', 'HeadsignEn': 'Nangang→National Freeway No.5→Hualien City', 'Direction': 0}]",13,"{'Zh_tw': '1071', 'En': '1071'}",南港轉運站西站,Nangang Bus Station(West),花蓮轉運站,Hualien Bus Sation,http://web.taiwanbus.tw/TMSData/Schematic/file/1071.jpg,2023-07-13T07:38:39+08:00,1790
THB1088,1088,True,"[{'OperatorID': '43', 'OperatorName': {'Zh_tw': '基隆客運', 'En': 'Keelung Bus Co., Ltd.'}, 'OperatorCode': 'KeelungBus', 'OperatorNo': '1102'}]",010,010,"[{'SubRouteUID': 'THB108801', 'SubRouteID': '108801', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1088', 'En': '1088'}, 'Headsign': '基隆市(暖暖區)—國道1號—臺北市松山區', 'HeadsignEn': 'Keelung City(Nuannuan District)─Taipei City Songshan District', 'Direction': 0}, {'SubRouteUID': 'THB108802', 'SubRouteID': '108802', 'OperatorIDs': ['43'], 'SubRouteName': {'Zh_tw': '1088', 'En': '1088'}, 'Headsign': '臺北市松山區→國道1號→基隆市(暖暖區)', 'HeadsignEn': 'Taipei city Nangang District─ Keelung City(Nuannuan District)', 'Direction': 1}]",13,"{'Zh_tw': '1088', 'En': '1088'}",四腳亭,Sijiaoting,松山車站,Songshan Station,http://web.taiwanbus.tw/TMSData/Schematic/file/1088.jpg,2023-07-13T07:38:39+08:00,1790
