StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
NAN103930,103930,佑民醫院,POINT (120.6815 23.96019),2023-07-13T00:00:00,2023-07-14T00:19:19.5
NAN105544,105544,濁水,POINT (120.704782 23.835983),2023-07-13T00:00:00,2023-07-14T00:19:19.517
NAN117016,117016,公館,POINT (120.774905804582 23.82648450535),2023-07-13T00:00:00,2023-07-14T00:19:19.5
NAN105187,105187,新街,POINT (120.6931499 23.87944999),2023-07-13T00:00:00,2023-07-14T00:19:19.517
NAN116705,116705,水里國中,POINT (120.85681 23.80952),2023-07-13T00:00:00,2023-07-14T00:19:19.5
NAN103931,103931,佑民醫院,POINT (120.681335601825 23.9602078599767),2023-07-13T00:00:00,2023-07-14T00:19:19.5
NAN117015,117015,林尾,POINT (120.7682752 23.8253059),2023-07-13T00:00:00,2023-07-14T00:19:19.5
NAN113094,113094,市場前,POINT (120.78181 23.82698),2023-07-13T00:00:00,2023-07-14T00:19:19.5
NAN117022,117022,頂八張,POINT (120.79237 23.82791),2023-07-13T00:00:00,2023-07-14T00:19:19.593
NAN117027,117027,大坪,POINT (120.818817982988 23.8251228780255),2023-07-13T00:00:00,2023-07-14T00:19:19.577
NAN117017,117017,和平里,POINT (120.77746962816 23.8268949995683),2023-07-13T00:00:00,2023-07-14T00:19:19.577
NAN117019,117019,集集,POINT (120.784282785327 23.8268647470932),2023-07-13T00:00:00,2023-07-14T00:19:19.563
NAN117021,117021,吳厝前,POINT (120.78913 23.82883),2023-07-13T00:00:00,2023-07-14T00:19:19.577
NAN117026,117026,洞角,POINT (120.808522 23.82947),2023-07-13T00:00:00,2023-07-14T00:19:19.563
NAN117025,117025,生物中心,POINT (120.801559 23.8295379),2023-07-13T00:00:00,2023-07-14T00:19:19.563
NAN117035,117035,新城,POINT (120.84775 23.81857),2023-07-13T00:00:00,2023-07-14T00:19:19.657
NAN117031,117031,豐安,POINT (120.83678 23.82741),2023-07-13T00:00:00,2023-07-14T00:19:19.657
NAN117029,117029,普濟橋,POINT (120.82919 23.83166),2023-07-13T00:00:00,2023-07-14T00:19:19.657
NAN117028,117028,慈德寺,POINT (120.82755 23.82952),2023-07-13T00:00:00,2023-07-14T00:19:19.657
NAN117034,117034,頂新城,POINT (120.8447446 23.81945664),2023-07-13T00:00:00,2023-07-14T00:19:19.64
NAN117030,117030,道房,POINT (120.833586 23.826111),2023-07-13T00:00:00,2023-07-14T00:19:19.67
NAN117037,117037,街尾,POINT (120.850172563281 23.8172022702226),2023-07-13T00:00:00,2023-07-14T00:19:19.733
NAN117033,117033,金山新城,POINT (120.84536 23.8218),2023-07-13T00:00:00,2023-07-14T00:19:19.657
NAN117043,117043,道房,POINT (120.8336615 23.82677914),2023-07-13T00:00:00,2023-07-14T00:19:19.717
NAN117039,117039,頂新城,POINT (120.84448 23.81984),2023-07-13T00:00:00,2023-07-14T00:19:19.733
NAN117036,117036,街尾,POINT (120.85014 23.81711),2023-07-13T00:00:00,2023-07-14T00:19:19.733
NAN117038,117038,新城,POINT (120.84791 23.81855),2023-07-13T00:00:00,2023-07-14T00:19:19.75
NAN117042,117042,豐安,POINT (120.83678 23.82741),2023-07-13T00:00:00,2023-07-14T00:19:19.733
NAN117041,117041,新城村,POINT (120.84183 23.8238),2023-07-13T00:00:00,2023-07-14T00:19:19.717
NAN117045,117045,慈德寺,POINT (120.827407 23.829555),2023-07-13T00:00:00,2023-07-14T00:19:19.797
NAN117044,117044,普濟橋,POINT (120.829142502943 23.8317777546392),2023-07-13T00:00:00,2023-07-14T00:19:19.827
NAN117052,117052,吳厝前,POINT (120.78926 23.829041),2023-07-13T00:00:00,2023-07-14T00:19:19.797
NAN117047,117047,洞角,POINT (120.8085 23.82957),2023-07-13T00:00:00,2023-07-14T00:19:19.797
NAN117051,117051,頂八張,POINT (120.7923 23.82806),2023-07-13T00:00:00,2023-07-14T00:19:19.813
NAN117046,117046,大坪,POINT (120.81867 23.82523),2023-07-13T00:00:00,2023-07-14T00:19:19.827
NAN117050,117050,八張,POINT (120.79566 23.82822),2023-07-13T00:00:00,2023-07-14T00:19:19.797
NAN117056,117056,公館,POINT (120.77497 23.8266),2023-07-13T00:00:00,2023-07-14T00:19:19.873
NAN117023,117023,八張,POINT (120.79581 23.82808),2023-07-13T00:00:00,2023-07-14T00:19:19.563
NAN117553,117553,電力公司(水里),POINT (120.855152 23.814551),2023-07-13T00:00:00,2023-07-14T00:19:19.873
NAN117585,117585,水里鄉公所,POINT (120.85582 23.81127),2023-07-13T00:00:00,2023-07-14T00:19:19.857
NAN117055,117055,和平里,POINT (120.77748 23.82702),2023-07-13T00:00:00,2023-07-14T00:19:19.937
NAN117057,117057,林尾,POINT (120.7682654 23.8252251),2023-07-13T00:00:00,2023-07-14T00:19:19.907
NAN117577,117577,民和國中校門口,POINT (120.915959 23.798001),2023-07-13T00:00:00,2023-07-14T00:19:19.89
NAN118046,118046,水里火車站,POINT (120.85386 23.81797),2023-07-13T00:00:00,2023-07-14T00:19:19.953
NAN117562,117562,民和國中校門口,POINT (120.915959 23.798001),2023-07-13T00:00:00,2023-07-14T00:19:19.89
NAN117032,117032,新城村,POINT (120.84167 23.82381),2023-07-13T00:00:00,2023-07-14T00:19:19.657
NAN121965,121965,三興里,POINT (120.68591 23.90346),2023-07-13T00:00:00,2023-07-14T00:19:19.937
NAN124579,124579,中集公司,POINT (120.718136684101 23.8332450816097),2023-07-13T00:00:00,2023-07-14T00:19:19.937
NAN117586,117586,電力公司(水里),POINT (120.854945 23.815019),2023-07-13T00:00:00,2023-07-14T00:19:20.017
NAN121069,121069,水里國中,POINT (120.85709 23.80951),2023-07-13T00:00:00,2023-07-14T00:19:19.983
NAN124578,124578,頂濁水,POINT (120.7113 23.83159),2023-07-13T00:00:00,2023-07-14T00:19:19.953
NAN117040,117040,金山新城,POINT (120.84541 23.82177),2023-07-13T00:00:00,2023-07-14T00:19:19.717
NAN123953,123953,水里(總達),POINT (120.85524 23.8187),2023-07-13T00:00:00,2023-07-14T00:19:19.967
NAN124583,124583,隘寮埔,POINT (120.744595880491 23.8356293249963),2023-07-13T00:00:00,2023-07-14T00:19:20.03
NAN124587,124587,田寮里,POINT (120.76201 23.82697),2023-07-13T00:00:00,2023-07-14T00:19:20.017
NAN124580,124580,帽仔坑,POINT (120.723205064339 23.8353022912473),2023-07-13T00:00:00,2023-07-14T00:19:20.093
NAN124582,124582,隘寮里(頂樂園),POINT (120.737676 23.834755),2023-07-13T00:00:00,2023-07-14T00:19:20.063
NAN124585,124585,楓子林,POINT (120.75504 23.83327),2023-07-13T00:00:00,2023-07-14T00:19:20.047
NAN117048,117048,生物中心,POINT (120.8015338 23.8296138),2023-07-13T00:00:00,2023-07-14T00:19:19.797
NAN124591,124591,龍泉,POINT (120.7504299 23.83477999),2023-07-13T00:00:00,2023-07-14T00:19:20.107
NAN124595,124595,帽仔坑,POINT (120.72324 23.83556),2023-07-13T00:00:00,2023-07-14T00:19:20.093
NAN124588,124588,田寮里,POINT (120.76219484739 23.826988436759),2023-07-13T00:00:00,2023-07-14T00:19:20.17
NAN124586,124586,草嶺,POINT (120.75865 23.83027),2023-07-13T00:00:00,2023-07-14T00:19:20.03
NAN124581,124581,樂園,POINT (120.734867 23.8359015),2023-07-13T00:00:00,2023-07-14T00:19:20.03
