RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,RouteMapImageUrl,City,CityCode,UpdateTime,VersionID
NAN0029,0029,True,"[{'OperatorID': '53', 'OperatorName': {'Zh_tw': '總達客運', 'En': 'All Day Bus Co., Ltd.'}, 'OperatorCode': 'AllDayBus', 'OperatorNo': '1702'}]",016,010,"[{'SubRouteUID': 'NAN002901', 'SubRouteID': '002901', 'OperatorIDs': ['53'], 'SubRouteName': {'Zh_tw': '5', 'En': '5'}, 'Headsign': '南投→水里', 'HeadsignEn': 'Nantou→Shuili', 'Direction': 0}, {'SubRouteUID': 'NAN002902', 'SubRouteID': '002902', 'OperatorIDs': ['53'], 'SubRouteName': {'Zh_tw': '5', 'En': '5'}, 'Headsign': '水里→南投', 'HeadsignEn': 'Shuili→Nantou', 'Direction': 1}]",11,"{'Zh_tw': '5', 'En': '5'}",南投高中,National Nantou Senior High School,水里商工,Shuili Vocational High School of Commerce and Indu,http://web.taiwanbus.tw/TMSData/Schematic/file/0029.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0561,0561,True,"[{'OperatorID': '103', 'OperatorName': {'Zh_tw': '南投縣政府', 'En': 'Nantou County Government'}, 'OperatorCode': 'NantouCounty', 'OperatorNo': '0903'}]",016,010,"[{'SubRouteUID': 'NAN056101', 'SubRouteID': '056101', 'OperatorIDs': ['103'], 'SubRouteName': {'Zh_tw': '0561', 'En': '0561'}, 'Headsign': '潭南→人和→水里', 'Direction': 0}, {'SubRouteUID': 'NAN056102', 'SubRouteID': '056102', 'OperatorIDs': ['103'], 'SubRouteName': {'Zh_tw': '0561', 'En': '0561'}, 'Headsign': '水里→人和→潭南', 'Direction': 1}, {'SubRouteUID': 'NAN0561A1', 'SubRouteID': '0561A1', 'OperatorIDs': ['103'], 'SubRouteName': {'Zh_tw': '0561A', 'En': '0561A'}, 'Headsign': '潭南→人和→水里[繞駛洽波石社區]', 'Direction': 0}, {'SubRouteUID': 'NAN0561A2', 'SubRouteID': '0561A2', 'OperatorIDs': ['103'], 'SubRouteName': {'Zh_tw': '0561A', 'En': '0561A'}, 'Headsign': '水里→人和→潭南[繞駛洽波石社區]', 'Direction': 1}]",11,"{'Zh_tw': '0561', 'En': '0561'}",潭南國小,Tannan Elementary School,水里火車站,Shuili Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0561.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0580,0580,True,"[{'OperatorID': '88', 'OperatorName': {'Zh_tw': '草屯鎮公所'}, 'OperatorCode': '', 'OperatorNo': '1007'}]",016,010,"[{'SubRouteUID': 'NAN058001', 'SubRouteID': '058001', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路東1', 'En': '路東1'}, 'Headsign': '草屯鎮公所→頂埔', 'HeadsignEn': 'Caotun Township Office,Nanto County→Dingpu', 'Direction': 0}, {'SubRouteUID': 'NAN058002', 'SubRouteID': '058002', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路東1', 'En': '路東1'}, 'Headsign': '頂埔→草屯鎮公所', 'HeadsignEn': 'Dingpu→Caotun Township Office,Nanto County', 'Direction': 1}]",11,"{'Zh_tw': '路東1', 'En': '路東1'}",草屯鎮公所,"Caotun Township Office,Nanto County",頂埔站,Dingpu,http://web.taiwanbus.tw/TMSData/Schematic/file/0580.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0581,0581,True,"[{'OperatorID': '88', 'OperatorName': {'Zh_tw': '草屯鎮公所'}, 'OperatorCode': '', 'OperatorNo': '1007'}]",016,010,"[{'SubRouteUID': 'NAN058101', 'SubRouteID': '058101', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路東2', 'En': '路東2'}, 'Headsign': '草屯鎮公所→頂埔', 'HeadsignEn': 'Caotun Township Office,Nanto County→Dingpu', 'Direction': 0}, {'SubRouteUID': 'NAN058102', 'SubRouteID': '058102', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路東2', 'En': '路東2'}, 'Headsign': '頂埔→草屯鎮公所', 'HeadsignEn': 'Dingpu→Caotun Township Office,Nanto County', 'Direction': 1}]",11,"{'Zh_tw': '路東2', 'En': '路東2'}",草屯鎮公所,"Caotun Township Office,Nanto County",頂埔,Dingpu,http://web.taiwanbus.tw/TMSData/Schematic/file/0581.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0582,0582,True,"[{'OperatorID': '88', 'OperatorName': {'Zh_tw': '草屯鎮公所'}, 'OperatorCode': '', 'OperatorNo': '1007'}]",016,010,"[{'SubRouteUID': 'NAN058201', 'SubRouteID': '058201', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路西', 'En': '路西'}, 'Headsign': '草屯鎮公所→惠德宮', 'HeadsignEn': 'Caotun Township Office,Nanto County→Huide Temple', 'Direction': 0}, {'SubRouteUID': 'NAN058202', 'SubRouteID': '058202', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路西', 'En': '路西'}, 'Headsign': '惠德宮→草屯鎮公所', 'HeadsignEn': 'Huide Temple→Caotun Township Office,Nanto County', 'Direction': 1}]",11,"{'Zh_tw': '路西', 'En': '路西'}",草屯鎮公所,"Caotun Township Office,Nanto County",佑民醫院站,Yumin Hospital,http://web.taiwanbus.tw/TMSData/Schematic/file/0582.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0584,0584,True,"[{'OperatorID': '88', 'OperatorName': {'Zh_tw': '草屯鎮公所'}, 'OperatorCode': '', 'OperatorNo': '1007'}]",016,010,"[{'SubRouteUID': 'NAN058401', 'SubRouteID': '058401', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路西2', 'En': '路西2'}, 'Headsign': '路西2', 'HeadsignEn': 'Road West2', 'Direction': 0}, {'SubRouteUID': 'NAN058402', 'SubRouteID': '058402', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路西2', 'En': '路西2'}, 'Headsign': '路西2', 'HeadsignEn': 'Road West2', 'Direction': 1}]",11,"{'Zh_tw': '路西2', 'En': '路西2'}",草屯鎮公所站,Caotun Township Office,寶島時代村站,Taiwan Times Village,http://web.taiwanbus.tw/TMSData/Schematic/file/0584.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0585,0585,True,"[{'OperatorID': '88', 'OperatorName': {'Zh_tw': '草屯鎮公所'}, 'OperatorCode': '', 'OperatorNo': '1007'}]",016,010,"[{'SubRouteUID': 'NAN058501', 'SubRouteID': '058501', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路東3', 'En': '路東3'}, 'Headsign': '路東3', 'HeadsignEn': 'Road East3', 'Direction': 0}, {'SubRouteUID': 'NAN058502', 'SubRouteID': '058502', 'OperatorIDs': ['88'], 'SubRouteName': {'Zh_tw': '路東3', 'En': '路東3'}, 'Headsign': '路東3', 'HeadsignEn': 'Road East3', 'Direction': 1}]",11,"{'Zh_tw': '路東3', 'En': '路東3'}",草屯鎮公所站,Caotun Township Office,石灼巷站,Shizhuo,http://web.taiwanbus.tw/TMSData/Schematic/file/0585.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0590,0590,False,"[{'OperatorID': '89', 'OperatorName': {'Zh_tw': '中寮鄉公所'}, 'OperatorCode': '', 'OperatorNo': '0414'}]",016,010,"[{'SubRouteUID': 'NAN059001', 'SubRouteID': '059001', 'OperatorIDs': ['89'], 'SubRouteName': {'Zh_tw': '南中寮線1', 'En': '南中寮線1'}, 'Headsign': '頂城子→鄉親寮→大坑→鄉親寮', 'HeadsignEn': 'Dingchengzi→Xiangqinliao→Dakeng→Xiangqinliao', 'Direction': 0}]",11,"{'Zh_tw': '南中寮線1', 'En': '南中寮線1'}",頂城子站,Dingchengzi,鄉親寮站,Xiangqinliao,http://web.taiwanbus.tw/TMSData/Schematic/file/0590.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0591,0591,True,"[{'OperatorID': '89', 'OperatorName': {'Zh_tw': '中寮鄉公所'}, 'OperatorCode': '', 'OperatorNo': '0414'}]",016,010,"[{'SubRouteUID': 'NAN059101', 'SubRouteID': '059101', 'OperatorIDs': ['89'], 'SubRouteName': {'Zh_tw': '南中寮線2', 'En': '南中寮線2'}, 'Headsign': '鄉親寮→粗坑→大坑→鄉親寮→頂城子', 'HeadsignEn': 'Xiangqinliao→Cukeng→Dakeng→Xiangqinliao→Dingchengzi', 'Direction': 0}, {'SubRouteUID': 'NAN059102', 'SubRouteID': '059102', 'OperatorIDs': ['89'], 'SubRouteName': {'Zh_tw': '南中寮線2', 'En': '南中寮線2'}, 'Headsign': '頂城子→鄉親寮→大坑→粗坑→鄉親寮', 'HeadsignEn': 'Dingchengzi→Xiangqinliao→Dakeng→Cukeng→Xiangqinliao', 'Direction': 1}]",11,"{'Zh_tw': '南中寮線2', 'En': '南中寮線2'}",鄉親寮站,Xiangqinliao,鄉親寮站,Xiangqinliao,http://web.taiwanbus.tw/TMSData/Schematic/file/0591.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
NAN0592,0592,False,"[{'OperatorID': '89', 'OperatorName': {'Zh_tw': '中寮鄉公所'}, 'OperatorCode': '', 'OperatorNo': '0414'}]",016,010,"[{'SubRouteUID': 'NAN059201', 'SubRouteID': '059201', 'OperatorIDs': ['89'], 'SubRouteName': {'Zh_tw': '南中寮線3', 'En': '南中寮線3'}, 'Headsign': '鄉親寮→粗坑→大坑→鄉親寮', 'HeadsignEn': 'Xiangqinliao→Cukeng→Dakeng→Xiangqinliao', 'Direction': 0}]",11,"{'Zh_tw': '南中寮線3', 'En': '南中寮線3'}",鄉親寮站,Xiangqinliao,鄉親寮站,Xiangqinliao,http://web.taiwanbus.tw/TMSData/Schematic/file/0592.jpg,NantouCounty,NAN,2023-07-13T07:38:39+08:00,1790
