StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
CYI134208,134208,嘉義高工,POINT (120.464525 23.471341),2023-07-13T00:00:00,2023-07-14T00:19:35.86
CYI132499,132499,林業鐵路車庫園區,POINT (120.449925 23.48489),2023-07-13T00:00:00,2023-07-14T00:19:35.86
CYI134209,134209,文化路口,POINT (120.450006 23.473799),2023-07-13T00:00:00,2023-07-14T00:19:35.89
CYI134210,134210,舊嘉義市政府,POINT (120.446736 23.474076),2023-07-13T00:00:00,2023-07-14T00:19:35.873
CYI134204,134204,嘉義高商(嘉義公園),POINT (120.462941 23.482557),2023-07-13T00:00:00,2023-07-14T00:19:35.86
CYI134211,134211,嘉義高商(嘉義公園),POINT (120.463003 23.482664),2023-07-13T00:00:00,2023-07-14T00:19:35.86
CYI132500,132500,林業鐵路車庫園區,POINT (120.44944 23.484452),2023-07-13T00:00:00,2023-07-14T00:19:35.86
CYI132498,132498,耐斯廣場站,POINT (120.4518392 23.49717612),2023-07-13T00:00:00,2023-07-14T00:19:35.873
CYI134236,134236,荖籘宅,POINT (120.446159 23.509432),2023-07-13T00:00:00,2023-07-14T00:19:35.937
CYI134225,134225,台斗坑,POINT (120.452859 23.491344),2023-07-13T00:00:00,2023-07-14T00:19:35.967
CYI134237,134237,忠孝北街,POINT (120.442173 23.515837),2023-07-13T00:00:00,2023-07-14T00:19:35.983
CYI134275,134275,彰化銀行,POINT (120.4446 23.4794),2023-07-13T00:00:00,2023-07-14T00:19:35.953
CYI134227,134227,後湖,POINT (120.450899 23.499565),2023-07-13T00:00:00,2023-07-14T00:19:35.953
CYI134231,134231,宏仁女中,POINT (120.447312 23.506337),2023-07-13T00:00:00,2023-07-14T00:19:35.953
CYI134277,134277,檜意森活村(北門),POINT (120.45421 23.48639),2023-07-13T00:00:00,2023-07-14T00:19:35.967
CYI134214,134214,中央噴水站,POINT (120.45027 23.480111),2023-07-13T00:00:00,2023-07-14T00:19:35.953
CYI135231,135231,京城銀行(新民路),POINT (120.440015 23.469952),2023-07-13T00:00:00,2023-07-14T00:19:36.03
CYI135232,135232,新光三越遠東站,POINT (120.440936 23.472965),2023-07-13T00:00:00,2023-07-14T00:19:36.077
CYI134280,134280,新店,POINT (120.46637 23.48988),2023-07-13T00:00:00,2023-07-14T00:19:36.047
CYI135235,135235,中油營業所,POINT (120.4534 23.46939),2023-07-13T00:00:00,2023-07-14T00:19:36.077
CYI135233,135233,興業民生,POINT (120.44719 23.46859),2023-07-13T00:00:00,2023-07-14T00:19:36.047
CYI134281,134281,英統別墅,POINT (120.46986 23.49162),2023-07-13T00:00:00,2023-07-14T00:19:36.047
CYI134278,134278,嘉大林森校區,POINT (120.45909 23.48709),2023-07-13T00:00:00,2023-07-14T00:19:36.047
CYI135230,135230,嘉義火車站,POINT (120.44154 23.47883),2023-07-13T00:00:00,2023-07-14T00:19:36.047
CYI135240,135240,嘉義高工,POINT (120.464447 23.47138023),2023-07-13T00:00:00,2023-07-14T00:19:36.11
CYI135236,135236,體育館,POINT (120.46254 23.47443),2023-07-13T00:00:00,2023-07-14T00:19:36.14
CYI135244,135244,鹿寮里,POINT (120.47898 23.46276),2023-07-13T00:00:00,2023-07-14T00:19:36.17
CYI135245,135245,嘉義大學蘭潭校區,POINT (120.48352 23.463276),2023-07-13T00:00:00,2023-07-14T00:19:36.11
CYI135242,135242,月影潭心,POINT (120.480938 23.464949),2023-07-13T00:00:00,2023-07-14T00:19:36.11
CYI135246,135246,嘉義大學校區內,POINT (120.482969 23.467846),2023-07-13T00:00:00,2023-07-14T00:19:36.187
CYI135239,135239,大同技術學院,POINT (120.464996 23.46982),2023-07-13T00:00:00,2023-07-14T00:19:36.11
CYI135249,135249,獄政博物館,POINT (120.458283 23.484829),2023-07-13T00:00:00,2023-07-14T00:19:36.233
CYI135362,135362,行政執行署,POINT (120.45825 23.48209),2023-07-13T00:00:00,2023-07-14T00:19:36.203
CYI135247,135247,市政府(吳鳳北路),POINT (120.452897 23.481725),2023-07-13T00:00:00,2023-07-14T00:19:36.28
CYI136699,136699,文化路口,POINT (120.450401 23.473832),2023-07-13T00:00:00,2023-07-14T00:19:36.217
CYI135241,135241,勞工育樂中心,POINT (120.467314 23.465841),2023-07-13T00:00:00,2023-07-14T00:19:36.157
CYI136346,136346,民雄工業區服務中心,POINT (120.4475 23.52288),2023-07-13T00:00:00,2023-07-14T00:19:36.297
CYI135248,135248,檜意森活村(北門),POINT (120.454284 23.486408),2023-07-13T00:00:00,2023-07-14T00:19:36.233
CYI136700,136700,新光三越遠東站,POINT (120.442253 23.473134),2023-07-13T00:00:00,2023-07-14T00:19:36.297
CYI137923,137923,玉山郵局,POINT (120.428148 23.472451),2023-07-13T00:00:00,2023-07-14T00:19:36.313
CYI137926,137926,鹿寮社區,POINT (120.4773 23.46403),2023-07-13T00:00:00,2023-07-14T00:19:36.327
CYI137925,137925,番子溝公園,POINT (120.434007 23.474885),2023-07-13T00:00:00,2023-07-14T00:19:36.407
CYI137919,137919,番子溝公園,POINT (120.433861 23.47502),2023-07-13T00:00:00,2023-07-14T00:19:36.343
CYI137918,137918,鹿寮社區,POINT (120.47724 23.46416),2023-07-13T00:00:00,2023-07-14T00:19:36.36
CYI137921,137921,玉山郵局,POINT (120.4277 23.47255),2023-07-13T00:00:00,2023-07-14T00:19:36.343
CYI137998,137998,北香湖公園,POINT (120.445519 23.490724),2023-07-13T00:00:00,2023-07-14T00:19:36.39
CYI135250,135250,嘉義高中(啟明路),POINT (120.462768 23.479125),2023-07-13T00:00:00,2023-07-14T00:19:36.267
CYI138003,138003,嘉邑城隍廟,POINT (120.4534991 23.4768512),2023-07-13T00:00:00,2023-07-14T00:19:36.407
CYI138000,138000,秀泰影城,POINT (120.448256 23.4849603),2023-07-13T00:00:00,2023-07-14T00:19:36.453
CYI137922,137922,嘉義榮民醫院,POINT (120.42251 23.46751),2023-07-13T00:00:00,2023-07-14T00:19:36.407
CYI138006,138006,獄政博物館,POINT (120.4583502 23.48644),2023-07-13T00:00:00,2023-07-14T00:19:36.483
CYI137999,137999,北香湖公園,POINT (120.44573 23.49054),2023-07-13T00:00:00,2023-07-14T00:19:36.467
CYI138005,138005,檜意森活村(北門),POINT (120.454846 23.48666),2023-07-13T00:00:00,2023-07-14T00:19:36.42
CYI138004,138004,市政府(吳鳳北路),POINT (120.4525915 23.4822715),2023-07-13T00:00:00,2023-07-14T00:19:36.5
CYI138001,138001,秀泰影城,POINT (120.448429 23.4849262),2023-07-13T00:00:00,2023-07-14T00:19:36.467
CYI138008,138008,下山仔頂(大雅商圈),POINT (120.468339 23.477409),2023-07-13T00:00:00,2023-07-14T00:19:36.53
CYI138002,138002,嘉邑城隍廟,POINT (120.453542 23.4773691),2023-07-13T00:00:00,2023-07-14T00:19:36.5
CYI138345,138345,育人國小,POINT (120.41871 23.47248),2023-07-13T00:00:00,2023-07-14T00:19:36.563
CYI138009,138009,下山仔頂(大雅商圈),POINT (120.469083 23.477665),2023-07-13T00:00:00,2023-07-14T00:19:36.563
CYI138007,138007,嘉義高中(啟明路),POINT (120.4627651 23.4793941),2023-07-13T00:00:00,2023-07-14T00:19:36.563
CYI138011,138011,蘭潭DC,POINT (120.473923 23.474077),2023-07-13T00:00:00,2023-07-14T00:19:36.53
CYI138013,138013,蘭潭,POINT (120.4763277 23.4688335),2023-07-13T00:00:00,2023-07-14T00:19:36.53
CYI138012,138012,蘭潭,POINT (120.4762331 23.4685715),2023-07-13T00:00:00,2023-07-14T00:19:36.593
CYI138010,138010,蘭潭DC,POINT (120.473866 23.473795),2023-07-13T00:00:00,2023-07-14T00:19:36.593
CYI138355,138355,大業國中,POINT (120.45539 23.46394),2023-07-13T00:00:00,2023-07-14T00:19:36.657
CYI138347,138347,二二八國家紀念公園,POINT (120.415001 23.464857),2023-07-13T00:00:00,2023-07-14T00:19:36.623
CYI138350,138350,嘉大新民校區,POINT (120.44081 23.46324),2023-07-13T00:00:00,2023-07-14T00:19:36.64
CYI138352,138352,西區區公所,POINT (120.436192 23.463949),2023-07-13T00:00:00,2023-07-14T00:19:36.61
CYI138353,138353,經國新城,POINT (120.44234 23.468139999999998),2023-07-13T00:00:00,2023-07-14T00:19:36.657
CYI138346,138346,育人國小,POINT (120.41873 23.47233),2023-07-13T00:00:00,2023-07-14T00:19:36.64
CYI138354,138354,經國新城,POINT (120.4432 23.4683),2023-07-13T00:00:00,2023-07-14T00:19:36.61
CYI138351,138351,西區區公所,POINT (120.436326 23.463632),2023-07-13T00:00:00,2023-07-14T00:19:36.687
CYI138407,138407,體育館,POINT (120.462515 23.473535),2023-07-13T00:00:00,2023-07-14T00:19:36.767
CYI138404,138404,勞工育樂中心,POINT (120.4673 23.46678),2023-07-13T00:00:00,2023-07-14T00:19:36.717
CYI138357,138357,立仁高中,POINT (120.45904 23.4631),2023-07-13T00:00:00,2023-07-14T00:19:36.717
CYI138358,138358,彌陀夜市,POINT (120.46664 23.465776),2023-07-13T00:00:00,2023-07-14T00:19:36.733
CYI138405,138405,大同技術學院,POINT (120.46566 23.46944),2023-07-13T00:00:00,2023-07-14T00:19:36.767
CYI138356,138356,大業國中,POINT (120.455526 23.46398),2023-07-13T00:00:00,2023-07-14T00:19:36.733
CYI138406,138406,嘉義高工,POINT (120.464267 23.470923),2023-07-13T00:00:00,2023-07-14T00:19:36.717
CYI138403,138403,嘉義大學蘭潭校區,POINT (120.483404 23.463498),2023-07-13T00:00:00,2023-07-14T00:19:36.78
CYI138501,138501,輔仁中學,POINT (120.45719 23.4611),2023-07-13T00:00:00,2023-07-14T00:19:36.843
CYI138498,138498,輔仁中學,POINT (120.45705 23.461063),2023-07-13T00:00:00,2023-07-14T00:19:36.813
CYI138446,138446,金山路口,POINT (120.42412 23.47173),2023-07-13T00:00:00,2023-07-14T00:19:36.813
CYI138408,138408,嘉義火車站,POINT (120.440943 23.477689),2023-07-13T00:00:00,2023-07-14T00:19:36.843
CYI138500,138500,興村,POINT (120.459059 23.455834),2023-07-13T00:00:00,2023-07-14T00:19:36.813
CYI138499,138499,興村,POINT (120.458958 23.45579),2023-07-13T00:00:00,2023-07-14T00:19:36.843
CYI138447,138447,金山路口,POINT (120.42403 23.47149),2023-07-13T00:00:00,2023-07-14T00:19:36.827
CYI138637,138637,嘉樂福觀光夜市,POINT (120.4315 23.47206),2023-07-13T00:00:00,2023-07-14T00:19:36.937
CYI138633,138633,嘉義醫院(中興路),POINT (120.4301 23.48044),2023-07-13T00:00:00,2023-07-14T00:19:36.873
CYI138496,138496,崇文國小,POINT (120.453888 23.474658),2023-07-13T00:00:00,2023-07-14T00:19:36.86
CYI138635,138635,港坪運動公園,POINT (120.422299 23.476037),2023-07-13T00:00:00,2023-07-14T00:19:36.89
CYI138502,138502,彰化銀行,POINT (120.44592 23.479611),2023-07-13T00:00:00,2023-07-14T00:19:36.937
CYI138634,138634,港坪運動公園,POINT (120.42227 23.4759),2023-07-13T00:00:00,2023-07-14T00:19:36.937
CYI138628,138628,嘉義高中(啟明路),POINT (120.4628684 23.4790297),2023-07-13T00:00:00,2023-07-14T00:19:36.937
CYI138504,138504,崇文國小,POINT (120.45367 23.47465),2023-07-13T00:00:00,2023-07-14T00:19:36.89
CYI139107,139107,市政府,POINT (120.452739 23.481257),2023-07-13T00:00:00,2023-07-14T00:19:37.017
CYI138632,138632,嘉義醫院(中興路),POINT (120.430069 23.480804),2023-07-13T00:00:00,2023-07-14T00:19:36.937
CYI138642,138642,蘭潭國小,POINT (120.47112 23.47585),2023-07-13T00:00:00,2023-07-14T00:19:36.967
CYI138645,138645,嘉義市轉運中心,POINT (120.439723 23.480167),2023-07-13T00:00:00,2023-07-14T00:19:36.967
CYI138644,138644,嘉義市轉運中心,POINT (120.43983 23.48008),2023-07-13T00:00:00,2023-07-14T00:19:37.03
CYI138640,138640,嘉義高中,POINT (120.465225 23.476868),2023-07-13T00:00:00,2023-07-14T00:19:37.017
CYI138638,138638,嘉樂福觀光夜市,POINT (120.431196 23.47206),2023-07-13T00:00:00,2023-07-14T00:19:37.017
CYI138639,138639,嘉義高中,POINT (120.46529 23.47668),2023-07-13T00:00:00,2023-07-14T00:19:36.967
CYI139473,139473,劉厝玉山路口,POINT (120.418592 23.470757),2023-07-13T00:00:00,2023-07-14T00:19:37.123
CYI138641,138641,蘭潭國小,POINT (120.47118 23.47564),2023-07-13T00:00:00,2023-07-14T00:19:37.017
CYI139148,139148,中央噴水站,POINT (120.4503 23.48025),2023-07-13T00:00:00,2023-07-14T00:19:37.047
CYI139471,139471,中興友愛路口,POINT (120.436501 23.482241),2023-07-13T00:00:00,2023-07-14T00:19:37.123
CYI139472,139472,大潤發(博愛路),POINT (120.436725 23.478294),2023-07-13T00:00:00,2023-07-14T00:19:37.077
CYI139111,139111,劉厝大信路口,POINT (120.418823 23.467016),2023-07-13T00:00:00,2023-07-14T00:19:37.093
CYI139108,139108,市政府,POINT (120.452639 23.48134),2023-07-13T00:00:00,2023-07-14T00:19:37.123
CYI139110,139110,劉厝大信路口,POINT (120.418925 23.466983),2023-07-13T00:00:00,2023-07-14T00:19:37.047
CYI139730,139730,新民南京路口,POINT (120.438579 23.458079),2023-07-13T00:00:00,2023-07-14T00:19:37.217
CYI139137,139137,行政執行署,POINT (120.458332 23.482469),2023-07-13T00:00:00,2023-07-14T00:19:37.093
CYI139728,139728,興業西徐州六街路口,POINT (120.437411 23.467817),2023-07-13T00:00:00,2023-07-14T00:19:37.187
CYI139727,139727,自由友忠路口,POINT (120.44189 23.48707),2023-07-13T00:00:00,2023-07-14T00:19:37.157
CYI139476,139476,劉厝玉山路口,POINT (120.418489 23.470693),2023-07-13T00:00:00,2023-07-14T00:19:37.203
CYI139729,139729,興業西徐州六街路口,POINT (120.437114 23.467635),2023-07-13T00:00:00,2023-07-14T00:19:37.187
CYI139474,139474,中興友愛路口,POINT (120.437199 23.48204),2023-07-13T00:00:00,2023-07-14T00:19:37.203
CYI139738,139738,荖籘宅,POINT (120.44586 23.50924),2023-07-13T00:00:00,2023-07-14T00:19:37.327
CYI139736,139736,後湖,POINT (120.45052 23.49938),2023-07-13T00:00:00,2023-07-14T00:19:37.267
CYI139475,139475,大潤發(博愛路),POINT (120.437469 23.478652),2023-07-13T00:00:00,2023-07-14T00:19:37.157
CYI139735,139735,台斗坑,POINT (120.45256 23.49132),2023-07-13T00:00:00,2023-07-14T00:19:37.25
CYI139726,139726,自由友忠路口,POINT (120.442031 23.486433),2023-07-13T00:00:00,2023-07-14T00:19:37.203
CYI139737,139737,宏仁女中,POINT (120.44687 23.50667),2023-07-13T00:00:00,2023-07-14T00:19:37.267
CYI139731,139731,新民南京路口,POINT (120.438316 23.458263),2023-07-13T00:00:00,2023-07-14T00:19:37.28
CYI139991,139991,民生公園,POINT (120.44646 23.46784),2023-07-13T00:00:00,2023-07-14T00:19:37.407
CYI139733,139733,文化中心(檜意森活村),POINT (120.453533 23.486864),2023-07-13T00:00:00,2023-07-14T00:19:37.28
CYI139976,139976,嘉大林森校區,POINT (120.45922 23.48714),2023-07-13T00:00:00,2023-07-14T00:19:37.36
CYI139743,139743,忠孝北街成功三路口,POINT (120.446518 23.516601),2023-07-13T00:00:00,2023-07-14T00:19:37.313
CYI139734,139734,文化中心(檜意森活村),POINT (120.45313 23.48756),2023-07-13T00:00:00,2023-07-14T00:19:37.28
CYI139990,139990,民生公園,POINT (120.44648 23.46832),2023-07-13T00:00:00,2023-07-14T00:19:37.343
CYI139732,139732,京城銀行(新民路),POINT (120.439698 23.46993),2023-07-13T00:00:00,2023-07-14T00:19:37.233
CYI139739,139739,忠孝北街,POINT (120.44185 23.51561),2023-07-13T00:00:00,2023-07-14T00:19:37.36
CYI140574,140574,劉厝大忠街口,POINT (120.418469 23.464021),2023-07-13T00:00:00,2023-07-14T00:19:37.5
CYI139741,139741,大寶鎮(忠孝北街),POINT (120.444495 23.516381),2023-07-13T00:00:00,2023-07-14T00:19:37.373
CYI140572,140572,劉厝大聖路口,POINT (120.416831 23.461575),2023-07-13T00:00:00,2023-07-14T00:19:37.437
CYI140571,140571,劉厝大聖路口,POINT (120.416862 23.461401),2023-07-13T00:00:00,2023-07-14T00:19:37.373
