StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
CYI501001001,501001001,1,2,1,23,2023-07-13T07:59:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 1}"
CYI501001002,501001002,1,2,1,9,2023-07-08T08:39:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
CYI501001003,501001003,1,2,5,20,2023-07-05T12:53:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
CYI501001004,501001004,1,2,1,15,2023-07-08T03:47:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
CYI501001005,501001005,1,2,2,32,2023-07-07T03:03:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 1}"
CYI501001006,501001006,1,2,0,20,2023-07-13T15:05:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
CYI501001007,501001007,1,2,9,11,2023-07-13T17:22:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
CYI501001008,501001008,1,2,25,31,2023-07-12T22:08:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 25, 'ElectricBikes': 0}"
CYI501001009,501001009,1,2,8,34,2023-07-13T17:01:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
CYI501001010,501001010,1,2,1,9,2023-07-04T23:35:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
CYI501001012,501001012,1,2,9,5,2023-07-03T23:06:16+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
CYI501001013,501001013,1,2,1,18,2023-07-03T22:44:05+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
CYI501001014,501001014,1,2,4,11,2023-07-12T20:09:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
