StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
CYQ121320,121320,第四莊,POINT (120.56894 23.23834),2023-07-13T00:00:00,2023-07-14T00:19:27.483
CYQ121326,121326,第一莊,POINT (120.552636 23.22627),2023-07-13T00:00:00,2023-07-14T00:19:27.483
CYQ121317,121317,第一莊,POINT (120.5524 23.22628),2023-07-13T00:00:00,2023-07-14T00:19:27.5
CYQ121325,121325,第二莊,POINT (120.55733 23.23193),2023-07-13T00:00:00,2023-07-14T00:19:27.467
CYQ109804,109804,瑞里,POINT (120.6832 23.54332),2023-07-13T00:00:00,2023-07-14T00:19:27.467
CYQ109805,109805,瑞里,POINT (120.683362 23.543426),2023-07-13T00:00:00,2023-07-14T00:19:27.467
CYQ121323,121323,第四莊,POINT (120.56934 23.238468),2023-07-13T00:00:00,2023-07-14T00:19:27.467
CYQ121318,121318,第二莊,POINT (120.55708 23.23195),2023-07-13T00:00:00,2023-07-14T00:19:27.467
CYQ131477,131477,鹽水分駐所,POINT (120.26553 23.3211),2023-07-13T00:00:00,2023-07-14T00:19:27.563
CYQ131478,131478,鹽水分駐所,POINT (120.265418 23.32102),2023-07-13T00:00:00,2023-07-14T00:19:27.547
CYQ125843,125843,竹崎火車站,POINT (120.55335 23.52614),2023-07-13T00:00:00,2023-07-14T00:19:27.563
CYQ131088,131088,東石漁人碼頭,POINT (120.13644 23.45215),2023-07-13T00:00:00,2023-07-14T00:19:27.547
CYQ134176,134176,梅山,POINT (120.55952 23.57869),2023-07-13T00:00:00,2023-07-14T00:19:27.547
CYQ124669,124669,十字村,POINT (120.754668 23.492168),2023-07-13T00:00:00,2023-07-14T00:19:27.593
CYQ134202,134202,大雅站,POINT (120.46526 23.47667),2023-07-13T00:00:00,2023-07-14T00:19:27.563
CYQ125010,125010,竹崎火車站,POINT (120.55371 23.52627),2023-07-13T00:00:00,2023-07-14T00:19:27.547
CYQ134208,134208,嘉義高工,POINT (120.464525 23.471341),2023-07-13T00:00:00,2023-07-14T00:19:27.64
CYQ134211,134211,嘉義高商(嘉義公園),POINT (120.463003 23.482664),2023-07-13T00:00:00,2023-07-14T00:19:27.623
CYQ134207,134207,嘉義家職,POINT (120.46095 23.47163),2023-07-13T00:00:00,2023-07-14T00:19:27.623
CYQ134209,134209,文化路口,POINT (120.450006 23.473799),2023-07-13T00:00:00,2023-07-14T00:19:27.623
CYQ134203,134203,華南商職,POINT (120.45888 23.48132),2023-07-13T00:00:00,2023-07-14T00:19:27.687
CYQ134206,134206,嘉義高中,POINT (120.46277 23.47913),2023-07-13T00:00:00,2023-07-14T00:19:27.64
CYQ134204,134204,嘉義高商(嘉義公園),POINT (120.462941 23.482557),2023-07-13T00:00:00,2023-07-14T00:19:27.623
CYQ134231,134231,宏仁女中,POINT (120.447312 23.506337),2023-07-13T00:00:00,2023-07-14T00:19:27.717
CYQ134237,134237,忠孝北街,POINT (120.442173 23.515837),2023-07-13T00:00:00,2023-07-14T00:19:27.687
CYQ134227,134227,後湖,POINT (120.450899 23.499565),2023-07-13T00:00:00,2023-07-14T00:19:27.687
CYQ134225,134225,台斗坑,POINT (120.452859 23.491344),2023-07-13T00:00:00,2023-07-14T00:19:27.717
CYQ134214,134214,中央噴水站,POINT (120.45027 23.480111),2023-07-13T00:00:00,2023-07-14T00:19:27.657
CYQ134218,134218,市政府,POINT (120.45257 23.48228),2023-07-13T00:00:00,2023-07-14T00:19:27.767
CYQ134236,134236,荖籘宅,POINT (120.446159 23.509432),2023-07-13T00:00:00,2023-07-14T00:19:27.703
CYQ134220,134220,文化中心,POINT (120.453507 23.486882),2023-07-13T00:00:00,2023-07-14T00:19:27.687
CYQ134247,134247,中正大鎮,POINT (120.4588013 23.54598045),2023-07-13T00:00:00,2023-07-14T00:19:27.78
CYQ134249,134249,東湖仔,POINT (120.4672623 23.54110909),2023-07-13T00:00:00,2023-07-14T00:19:27.78
CYQ134245,134245,北勢子,POINT (120.4528275 23.531629),2023-07-13T00:00:00,2023-07-14T00:19:27.797
