RouteName,AuthorityName,CityCode,City,Town,RoadSectionStart,RoadSectionEnd,Direction,CyclingLength,FinishedTime,UpdateTime,Geometry
 番路自行車道,番路鄉公所,CYQ,嘉義縣,番路鄉,台三線童年渡假飯店前,159甲線清水溪,單向,6500.0,1030318,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.53698399809 23.4703680043404,120.536947999849 23.4703580005825,120.536959001272 23.4703640020744,120.536998998381 23.4703809978875,120.537000998805 23.4703800014973,120.537013996294 23.4703610048583,120.537327999335 23.470202999841,120.537820998969 23.470341004255,120.538019001273 23.4703210025555,120.538130002787 23.4703000024992,120.538686997531 23.4701160034709,120.539137999097 23.4699030009368,120.539558997941 23.4696500049382,120.539840995642 23.4694639975963,120.540261996607 23.469186997922,120.54066799595 23.4688939968877,120.540991999764 23.4684969987628,120.541191996705 23.4680689963698,120.541384004739 23.4675390034182,120.541677001406 23.4670260034492,120.541902000538 23.4667890038492,120.541890999254 23.466799997169,120.542022004254 23.4666629994491,120.542425001393 23.4662380022543,120.542965002135 23.4658600003005,120.543674000685 23.4655900021874,120.544316002121 23.465346001132,120.544914997021 23.4651200041764,120.545318002902 23.4649370034727,120.546023000636 23.4647549983539,120.546913003334 23.464658003272,120.547782002601 23.4646920037638,120.548704001201 23.4646760000955,120.549362001251 23.4645709962311,120.550178001922 23.4643749983785,120.550925996293 23.464150997032,120.551657004684 23.4638170028169,120.552365002485 23.4633710030146,120.553152001659 23.4628570044728,120.553518997266 23.462645001142,120.554039997702 23.4623440039971,120.554515999574 23.4620690004123,120.555095004493 23.4619890034548,120.555243996246 23.4621019965459,120.556040996187 23.4615159972133,120.556112004545 23.4614679970387,120.55641699544 23.461301998854,120.556764002626 23.4611900015866,120.557191003922 23.4611470032772,120.557500999243 23.4611469979836,120.557784002937 23.4610809963968,120.558456997981 23.4604419968493,120.558115002664 23.4601520045157,120.558333000946 23.4603329965904,120.558751999777 23.460703004598,120.559588001742 23.4604149975755,120.55986599754 23.4601670049697,120.559866004485 23.460159004387,120.559876004125 23.4601719997156,120.5598740007 23.4601739987289,120.560136001245 23.4600619978291,120.560610000394 23.4598210038334,120.561203995542 23.459631997687,120.561760998115 23.4593930034673,120.562117996029 23.4595639961954,120.56256399717 23.4600950030419,120.562993001325 23.4607950031151,120.563588001097 23.4610659984008,120.564357002406 23.4612289997447,120.564618003083 23.4616960029244,120.564728995392 23.4617579967872,120.564738000607 23.4617610018237,120.564756004566 23.4617660005138,120.565167004434 23.4620089979614,120.565460003087 23.4626090019016,120.56574700032 23.4632639994916,120.56586699963 23.4633529993485,120.565924001691 23.4628100018715,120.566179998418 23.4621570032457,120.566463001877 23.461494001662,120.566739003867 23.4607889994193,120.567293001473 23.4600709971311,120.567897001201 23.4594009994457,120.568412996252 23.4587290040286,120.568644997908 23.4580470021624,120.56958800481 23.4576200026803,120.5701059953 23.4579020031241,120.570452998241 23.4582420006571,120.570790004082 23.4586260003763,120.571039999089 23.458724004663,120.5712000041 23.4590699969189,120.571715998099 23.4594670021512,120.572276002659 23.4598549970013,120.572438998056 23.4602890029152,120.57245099749 23.4606510047622,120.572573995755 23.4613020009688,120.57270399522 23.4619099971364,120.572912999355 23.4623320011768,120.572913002041 23.4624619975438,120.572265002263 23.4629230021465,120.571337002202 23.4635829970928,120.57028400257 23.4640950010574,120.569201998235 23.4644390043083,120.568184000503 23.4645890045167,120.567527997622 23.4646290050786,120.567439995591 23.4655159972081,120.567071001574 23.466617999943,120.566893998688 23.4674469974143,120.566713997996 23.4683359997647,120.566765998401 23.4691209975321,120.567446003674 23.4692170049803,120.568360999097 23.4686790030045,120.569286000866 23.4688710012263,120.569612000047 23.4693749999158,120.569551000383 23.4697930028653,120.569186002424 23.4703290013353,120.569264999716 23.4699610023642,120.569262999475 23.4699590012047))"
12號道路(左側),溪口鄉公所,CYQ,嘉義縣,溪口鄉,溪民路,美安橋,雙向,1500.0,931101,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.390742420189 23.5985596398053,120.391345922998 23.5990635067015,120.391785803308 23.5994174425415,120.39190649648 23.5995477080826,120.391992329245 23.5994862629583,120.396042466831 23.5987833027638,120.401897725566 23.5977608105982))"
中林自行車道(中林段),大林鎮公所,CYQ,嘉義縣,大林鎮,中林里,三和里,雙向,450.0,1021123,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.472983998851 23.5950200028207,120.474110997437 23.59578700269,120.475429999631 23.5967599986264,120.47806999592 23.5989330001045))"
信義二路(北側),嘉義縣政府建設處,CYQ,嘉義縣,太保市,博學路,太子大道,雙向,1190.0,931101,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.290331996038 23.4673430046343,120.293766998822 23.4668050027115,120.29702799635 23.46643899654,120.299979004161 23.4660869987203))"
信義二路(南側),嘉義縣政府建設處,CYQ,嘉義縣,太保市,博學路,太子大道,雙向,1190.0,931101,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.290282515611 23.4670757344167,120.29372469142 23.4665368087654,120.296991010613 23.4661701771861,120.299944677226 23.4658158892905))"
北回地區自行車道,水上鄉公所,CYQ,嘉義縣,水上鄉,北回歸線站天文廣場,嘉42-1,雙向,1200.0,1080715,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.413503998905 23.4487980019887,120.419769003672 23.4559629971812))"
南靖自行車道,水上鄉公所,CYQ,嘉義縣,水上鄉,82快速道路橋下公園,三鎮村社區,雙向,263.0,1000322,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.389321002169 23.4182719975435,120.389015004456 23.417577999701,120.388708998059 23.4176170036767,120.388199995287 23.4177109988992,120.388006995256 23.4176859976172,120.387830002777 23.4176419967049,120.387663004206 23.4175930051134,120.387475001654 23.4175240019942,120.387315001391 23.4174299963232,120.387142998203 23.4173119961017,120.387040999117 23.4172040046264,120.386934001464 23.4170659961343))"
博學路(西側),嘉義縣政府建設處,CYQ,嘉義縣,太保市,故宮大道,嘉朴路東段,雙向,700.0,931110,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.300278998769 23.4684409977815,120.299094004194 23.4591379974622))"
嘉油鐵馬道,水上鄉公所、嘉義市政府,CYQ,嘉義縣,水上鄉,嘉42,重慶一街,雙向,991.7,990206,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.420348646884 23.455955869052,120.421228405386 23.4564713559597,120.422016981931 23.4568441348651,120.42287260651 23.457186149213,120.424044724148 23.4574543433902,120.429398418107 23.4579021688942))"
嘉義縣自行車道環狀遊程新港太保線,嘉義縣文化觀光局,CYQ,嘉義縣,新港太保水上鹿草,中洋工業區南側萬仁公廟與山線自行車道銜接,賢皆保鹿線自行車道,雙向,1578.0,103年9月25日,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.373824816679 23.5107467931931,120.373453262021 23.5099657399276,120.37290753715 23.5088622174072,120.372868260108 23.5088173257284,120.371868102525 23.5079404407017,120.371809704107 23.5079304620468,120.371714828301 23.5079440123156,120.369919052908 23.5087460068237,120.369877727189 23.508800605236,120.369901800287 23.5091411703703,120.369616311647 23.509582248424,120.36894529158 23.5099454445943,120.368532723116 23.5106961963445,120.368912206224 23.5122303759685,120.368201767613 23.5124910563456,120.366792718161 23.5123964986297),(120.366739013695 23.5123956752633,120.366462120046 23.5125408313271,120.365983759524 23.5130660243458,120.36564987057 23.5133571658753,120.364544224568 23.51420586258,120.36411171648 23.5144700055397,120.363257994849 23.5148598896063,120.361960795937 23.5152414509776,120.360681838288 23.5153114954358,120.36012607277 23.5152196103829),(120.360134967068 23.5152291010879,120.3596887013 23.5151323097491,120.358398198563 23.5149114395233,120.356855022109 23.5146109112846,120.356079412411 23.5144444751276,120.355332858288 23.5142054839707,120.354501011409 23.5139419089201,120.353715625844 23.5135629595355,120.353217514053 23.5132974755844,120.352646833855 23.5129343838179,120.351570777478 23.511967678701,120.350643488262 23.5109380262501,120.349766076174 23.5099614819622,120.348544211528 23.5088211104538,120.347734874789 23.5083585964299,120.346823863961 23.5078811591751,120.346061647836 23.5077355887994,120.344843858515 23.5077516910552,120.342993492703 23.5078974386211,120.341056558624 23.5083143854804,120.338957618334 23.508877100926,120.33724996264 23.5092246131465,120.336705676824 23.509240337516,120.336569337501 23.5092581594185),(120.336610668415 23.5092287179345,120.336737024412 23.5080837436607,120.336954691181 23.5059922722117,120.337396604515 23.5013601877014,120.336132765691 23.5013084213426,120.334705711634 23.5012352877668,120.333432122687 23.5011759361225,120.33211075866 23.5010809094853,120.331197840491 23.5008281063011,120.330290420613 23.500354065785,120.32890627295 23.4994230039572,120.327906778958 23.4986110486907,120.325948641865 23.4972014453154,120.325826997896 23.4971176287286),(120.325825617574 23.4971426170661,120.326064258793 23.5003725471648,120.325620223905 23.5004854297106,120.325469255953 23.494847638856,120.324764952355 23.4821033385306,120.324194933697 23.4710831192657,120.32381758696 23.4633653662431),(120.323791948473 23.4634428569585,120.32460055272 23.4627134768491,120.327263957617 23.4625509285622,120.329002519923 23.4625754562488,120.329909856088 23.4626345918854,120.330785039194 23.4627073005532,120.331200671539 23.4628980855643,120.331615133727 23.4631893208009,120.331713288945 23.4628278276789,120.332014032101 23.4621952611909,120.332413783802 23.4616745633869,120.332775990641 23.4610535003408,120.333047793433 23.4603484069262,120.332993589019 23.4596603852627,120.332219359069 23.4572559076929,120.331868460295 23.455993061023,120.331818108709 23.4558576694176),(120.331883247012 23.455795119087,120.33450818944 23.4541948173137,120.334954165884 23.4537965273024,120.335239258558 23.4533033065871,120.335605383556 23.4529598644867,120.336282597179 23.4526384594156,120.336957120413 23.452443610626,120.337778941655 23.4521447828497,120.338535015438 23.4517736683094,120.340071308755 23.4508968414681,120.341691160612 23.4498944940612),(120.341730715794 23.4498618827133,120.337210264623 23.4453226435277,120.333335283495 23.4418905428016,120.327205553648 23.4369668917156),(120.327154049445 23.4369125992599,120.328213384448 23.4362613986161,120.329213011277 23.4360605486408,120.330822172668 23.4360432364049,120.33908756412 23.4361293109255,120.343521775207 23.4361050919833),(120.343598283212 23.436095300273,120.344263410122 23.4300270228724,120.344588458311 23.4293869259967,120.345499822774 23.4280964746345,120.346243937547 23.4269308321585,120.34851463367 23.423271187652,120.348866687833 23.4227935499996,120.34945080973 23.4222889940661,120.350395281721 23.4216128868503,120.350589322972 23.4208068492066,120.349111082207 23.4165486006753))"
