RouteName,RouteLength,Geometry
六腳鄉自行車道, ,"LINESTRING (120.25106172961523 23.497887046350172, 120.25251249795349 23.497926710049683, 120.2542283774377 23.498077690932746, 120.25866278336082 23.498455363024618, 120.26140276492572 23.498743672182798, 120.2637666230313 23.498969639437348, 120.26588411006367 23.499132973408052, 120.26677391728253 23.499211694664041, 120.26762451316085 23.499281774334463, 120.268297629632 23.499274381007922, 120.26903616908396 23.499275672434408, 120.26988688816937 23.499268581280035, 120.27082172174516 23.499270205455673, 120.2712407545572 23.499279498150372, 120.27156794860196 23.499280071917838, 120.27192315832713 23.499297831729621, 120.27277286297726 23.499307895143318, 120.27367055635114 23.499463853773875, 120.27471809836163 23.499534271589425, 120.27565325119667 23.499673127812628, 120.27606662457515 23.499673830183156, 120.27634696034397 23.49982872761376, 120.27681462309647 23.499863829951835, 120.27748801745815 23.499933602054114, 120.27806606569641 23.499986044220634, 120.27861041633776 23.500004115197783, 120.27975175763754 23.499954558955778, 120.2817349165332 23.499940715691537, 120.28267034366149 23.499942271518648, 120.28328773813871 23.499943289551197, 120.2836434056187 23.499840939507806, 120.28403652536542 23.499721487057059, 120.28439232684445 23.499550500755049, 120.28502899559169 23.499259878540613, 120.28830645787684 23.497532326755504, 120.29032182509218 23.49651414850922, 120.2911645734863 23.4960522603036, 120.29153906557553 23.495881288390819, 120.29186743233618 23.495739769274962, 120.29234423130129 23.495505122663303, 120.29266269023105 23.495282587221652, 120.29295059739218 23.495086748154961, 120.29323076588719 23.494830700376554, 120.29360666811328 23.49454106202046, 120.29393098882417 23.494285077194604, 120.29421130210994 23.493948031076798, 120.29438121192345 23.493617564399131, 120.29452157630976 23.493334296840374, 120.29455141401661 23.493125096546009, 120.29457421722645 23.492740389957078, 120.29454519970125 23.492517595510662, 120.29453115498882 23.492159829012962, 120.29444380653649 23.491646700135163)"
朴子溪自行車道_1, ,"LINESTRING (120.2447605091902 23.474504790064088, 120.24278640646753 23.474819696671716, 120.24141311922017 23.474426064311444, 120.24064064115271 23.473717513652389, 120.24055480985669 23.472221686581634, 120.24012565337625 23.470725829833214, 120.23909568951456 23.46852139184881, 120.23806572205547 23.467104234772648, 120.23583411914933 23.466316910696946, 120.23291588116308 23.466159447500559, 120.23008346547965 23.466001982505531, 120.22802352606493 23.467340430016861, 120.22536278016821 23.470253460928518, 120.22330283805559 23.474189882557084, 120.22064209125961 23.476866582426908, 120.21746635668705 23.479307053777575, 120.214376451612 23.481432594238868, 120.21042824256938 23.483007047237493, 120.20759582598669 23.483007040042935, 120.20347595435192 23.481590041247443, 120.20107269514881 23.479858122354528)"
朴子溪自行車道_2, ,"LINESTRING (120.15094757257248 23.456711263613954, 120.15377998465863 23.457656107543357, 120.15678405663891 23.457419898809349, 120.15884399605363 23.456317568301188, 120.16098976226783 23.454585327450957, 120.162534716604 23.452538095456816, 120.16442298713116 23.450254612460469, 120.16656875424462 23.448758511995777, 120.16957283072168 23.447813599717904, 120.17326354497663 23.44986090455717, 120.17480850021218 23.452616835598519, 120.17549514968152 23.457498637152412, 120.17601013026331 23.461829112023963, 120.17849922615846 23.465293395873573, 120.18296242027952 23.465450857271321, 120.18476486130942 23.465135928180587, 120.18794059678123 23.465057197032081, 120.19034386048088 23.466316911596266, 120.19163131553285 23.468678856843837, 120.19248962399706 23.473796240304296, 120.19463538841251 23.478204913026389, 120.19643783573758 23.4813538693856, 120.19858360464968 23.483636820882623, 120.20107269514881 23.484817637024378, 120.20364761154815 23.485919727413545, 120.20690918191326 23.487336683041519, 120.21085739005662 23.487730278529568, 120.21626472483729 23.48678564504155, 120.21755218798319 23.485683568142179, 120.22021293747719 23.48536868581624, 120.22381782853006 23.485998444172935, 120.22776603577404 23.488123879413536, 120.22716522569465 23.492768214981197, 120.22587775895147 23.495680679319946, 120.22587775715283 23.49945892548908, 120.22896767122108 23.499616347316646, 120.23231506568777 23.499301500064234, 120.23574828785331 23.499695058680061, 120.24012565247699 23.49969506137802, 120.24742126857677 23.499380215924248, 120.25033951105968 23.498986651013183, 120.25205612528998 23.497963383503418, 120.25969505668161 23.498435665173872, 120.265102387865 23.499222789600083, 120.27420044049802 23.499616350913925, 120.27995109596634 23.499852487702185, 120.2837276487121 23.500246045418692, 120.28621673741259 23.498750515124243, 120.28982162037153 23.497176247385937, 120.29291152724522 23.494972255465257, 120.29471397636894 23.493240509242185, 120.29462814687156 23.4893833727445, 120.29454231197815 23.486628210623451, 120.29488563716245 23.484817637024378, 120.29608726811296 23.481117697523757)"
田園鐵馬道, ,"LINESTRING (120.25648148043604 23.465869312718667, 120.27126800131725 23.472186811772019, 120.28287896749043 23.477371464521525)"
朴子溪自行車道,36500,"LINESTRING (120.17575099870965 23.459397995421227, 120.17576599670349 23.459358001670466, 120.17587299624188 23.459338999894953, 120.17620099607916 23.459285994752918, 120.17672000382515 23.4591869991807, 120.17772700169985 23.459002996091442, 120.17872600010492 23.458837997475655, 120.17924500245499 23.458744003932679, 120.17950399551307 23.458685003909864, 120.17964199917901 23.458659994663094, 120.1797030001934 23.458674998052743, 120.17974099565049 23.458728996046375, 120.1797559972415 23.458852996368762, 120.17977899560424 23.459099001417826, 120.17980200296017 23.459550998879536, 120.17990099853228 23.45996100159897, 120.18009200104507 23.460320001067259, 120.1804809974002 23.460770002033996, 120.18092299619934 23.461090002401761, 120.1814119953674 23.461290000832946, 120.18183900426675 23.461370003622847, 120.18260199538588 23.461370003622847, 120.18582899581156 23.461317000279394, 120.18904099734425 23.461169998896366, 120.18984999777922 23.461241003069858, 120.19078099844444 23.46145099746559, 120.19129199862687 23.461629994928387, 120.19213900081434 23.462089999054285, 120.19271099841387 23.4624999963778, 120.19315300170967 23.46285099727578, 120.19332100316183 23.463070002878396, 120.19521300227825 23.464799994524185, 120.19541199616674 23.465070997128862, 120.19574000229932 23.4657499987635, 120.19596900116858 23.466570000605088, 120.19604499657942 23.467112998665982, 120.19605300504224 23.46767999873299, 120.19601400414308 23.468221997647106, 120.19596100349759 23.469320001516905, 120.19606000176771 23.470754997545157, 120.19611400066071 23.471449000770804, 120.1961139979627 23.471799998970823, 120.19616700400411 23.472093995441583, 120.1964190039339 23.472813001618761, 120.19670100344865 23.473519999148664, 120.19692200464681 23.473921003251746, 120.1997530003008 23.478380001136202, 120.20062999847573 23.479480998849056, 120.20114099865827 23.479949996195444, 120.20172100382138 23.480412997761675, 120.20233199782353 23.480826998866974, 120.20302600104912 23.481225998381149, 120.20375100120782 23.481580999463631, 120.20509300194055 23.482139999161689, 120.2064819994448 23.482589994732507, 120.20809199994585 23.482966995930155, 120.208541999114 23.483037996506368, 120.20900000314771 23.483079997543882, 120.20938899500618 23.483109998927375, 120.20980100501242 23.483110002524654, 120.21037299631678 23.483079997543882, 120.21112099573747 23.482940999227765, 120.21233400131314 23.4825399978227, 120.21285200091916 23.482303998630698, 120.21334099559056 23.482031001329688, 120.21730000369223 23.479570001154684, 120.22161099834898 23.47664999869852, 120.22174099984727 23.476526002872788, 120.2218479984864 23.476395002227605, 120.22202299576475 23.476092995495378, 120.2228929972141 23.474734999420718, 120.2237629977642 23.473339000694352, 120.225494002946 23.470538997476808, 120.22579200499706 23.469800995819355, 120.22612799980743 23.46920600345436, 120.22650899669293 23.468629996677066, 120.22698199782099 23.468062996610058, 120.22782100323673 23.467260002746968, 120.22856100408717 23.466761003117824, 120.22896599668343 23.466529996062491, 120.22934000044074 23.466289994887404, 120.23006399785527 23.466017002083049, 120.23033099757754 23.465966995280667, 120.2305829957088 23.465940003028777, 120.23184999747946 23.465960000353789, 120.23509999626788 23.466289997585363, 120.23561900491325 23.466415002450447, 120.23613000059913 23.466569998806449, 120.23835000315023 23.467477996612331, 120.23946399516728 23.467926003782111, 120.24007399991524 23.468172001636617, 120.24037200016778 23.46830000394209, 120.24055499691565 23.468408998176756, 120.24065399968242 23.468472001082034, 120.24070699673052 23.468539999721258, 120.24085199712204 23.468747999420714, 120.24111199652145 23.469100996813609, 120.24146999684297 23.469789994412736, 120.24214200265135 23.470770000035543, 120.24282100428593 23.472090002451694, 120.24327100165544 23.472780002794934, 120.24349200375298 23.472959997605869, 120.24379000040824 23.47314099785882, 120.24397999837834 23.473186001732643, 120.24410199770909 23.473215000372022, 120.24414099591024 23.473233997650937, 120.24420899544884 23.47327399499892, 120.24427800132878 23.473420998180586, 120.24436200070579 23.473639001938466, 120.2444920022042 23.474030001983067, 120.24481199537729 23.475194995452739, 120.24502600434664 23.475873996188, 120.24506399800521 23.476061003912264, 120.24507099832795 23.47609700287444, 120.24507900139486 23.476158000291548, 120.24506399710583 23.476172998285278, 120.24505600483087 23.476191000914014, 120.245026002548 23.476196002943254, 120.24488800158008 23.476232996555609, 120.24463700079696 23.476294997616094, 120.24420899544884 23.476410002020032, 120.24301899992702 23.4765799999671, 120.24223299695529 23.476569996807939, 120.2412409979737 23.476400001558886, 120.24054000161982 23.476150999968752, 120.24027300099829 23.475980998424404, 120.23956300153134 23.475219995706311, 120.23880000051963 23.473979996979324, 120.23847199798433 23.472900002932818, 120.23831199780057 23.471920000907346, 120.23802900093767 23.471129995952595, 120.23767099611962 23.470479999252632, 120.23715999593708 23.470110002874378, 120.23561900131597 23.4695800018157, 120.23513799622162 23.469480999048926, 120.23422200254345 23.469431003038437, 120.2337419992939 23.469468999394849, 120.23310099671369 23.4696099969039, 120.23200200358963 23.470050995656948, 120.23145300075544 23.47036899683178, 120.23062099925971 23.471108999480805, 120.23030099619405 23.471549999133231, 120.22831700452616 23.474951000388387, 120.22486100073468 23.479860003736235, 120.22177099943212 23.482799999920132, 120.21965799552015 23.484190001067759, 120.21762800442889 23.485399001962435, 120.21604900265936 23.486249998938376, 120.21421100153657 23.487019997574862, 120.21349300439874 23.487208995498804, 120.21224999833885 23.487431003937729, 120.21064799910596 23.487539000824256, 120.21011400415807 23.487538995428338, 120.20800800326685 23.487328997435327, 120.20729100167841 23.487160003131692, 120.20519999788166 23.486441000551793, 120.20504799626804 23.486299996747505, 120.19863100072018 23.483899996687569, 120.19841000042129 23.483740002798925, 120.19719699934205 23.48193899708707, 120.19702900148729 23.481759996027051, 120.19699100063428 23.481589998979302, 120.19429799605575 23.477279995375511, 120.19387799827109 23.476431003887797, 120.19296300104168 23.474849995730779, 120.19264999739949 23.474179996309829, 120.19204700106832 23.472039996548631, 120.1919710020602 23.471590002776452, 120.19177999595013 23.470110003773698, 120.19159699560487 23.467698996911224, 120.19129899715108 23.466868996407129, 120.19101000181024 23.466458999982933, 120.19071999922869 23.466159997885654, 120.19042999574776 23.465940003928097, 120.18975100310638 23.4656299959276, 120.18734000074051 23.465231003607983, 120.18559999964032 23.465129998050998, 120.18393700029242 23.465130000749014, 120.1805880023345 23.465469001992915, 120.1796800036293 23.465440995305755, 120.17900099569943 23.46528999643624, 120.17832900068288 23.465031002478838, 120.17765000264558 23.464680002480179, 120.1772690021628 23.464350003449965, 120.17674999621545 23.463769995588848, 120.17636899932995 23.463131002993464, 120.17608600336644 23.4623909985458, 120.17575099601174 23.459400000010021)"
梅山鄉環南路自行車道, ,"LINESTRING (120.54928779469606 23.587547769014407, 120.54945945548957 23.586289204683112, 120.54997443876937 23.585463271812614, 120.55074692223275 23.584892977528966, 120.55143356270878 23.584735656425437, 120.55190562764267 23.584362016893635, 120.55222749500297 23.583988376462457, 120.55310726039181 23.583693393435397, 120.55435180699033 23.583142759231009, 120.55533886060005 23.582592118731327, 120.55591822004988 23.58233646845332, 120.55639028588303 23.581903822603408, 120.5569052700622 23.581097524631105, 120.55716276574913 23.58040922400653, 120.55757045721089 23.579642248890707, 120.55804252214477 23.578894933854144, 120.55840730785098 23.578304946216349, 120.5586218878899 23.578009953296771)"
新港市區自行車道,4200,"LINESTRING (120.31958800018617 23.566810999827851, 120.31463600025131 23.562651000443338, 120.31347699986372 23.562360999660484, 120.31330900021021 23.563100999611493, 120.31318699998008 23.563199999680307, 120.31307200007279 23.56349899997889, 120.31275900002788 23.56481000018141, 120.31259200042052 23.564730000089469, 120.31227900037561 23.568729000143264, 120.31243899966012 23.569228999818563, 120.31265999995912 23.569558999748097, 120.31318699998008 23.570080000391783, 120.31359900009386 23.570410000321317, 120.31392699993114 23.570601000136094, 120.31445299990605 23.57082899985852, 120.31487999981221 23.570958999558229, 120.31523900017976 23.57103899965017, 120.31575799983193 23.571078999696113, 120.31629200017574 23.571059999719239, 120.31671900008189 23.5709900000885, 120.31668899959766 23.57088099955854, 120.31604799971547 23.570641000182036, 120.31639100024449 23.569619999863164, 120.31636800008323 23.569410000071514, 120.3164219998755 23.569129999749748, 120.31658900038212 23.568710000166448, 120.31758100026298 23.568180000007033, 120.31852000039771 23.567579000170781, 120.32157099990184 23.565590000178418, 120.32195999985413 23.565220000202885, 120.3235169997098 23.564328999583722, 120.32544699967934 23.563040000395745, 120.32553099995573 23.563088999957415, 120.32576800009315 23.56292899977359, 120.32801800043046 23.56294100032693, 120.32811699959996 23.562981000372929, 120.32819399955349 23.562869999750717, 120.32840700038287 23.56294100032693, 120.34281900039662 23.563129000003414, 120.34284199965862 23.559799000223734, 120.34348300044019 23.55978000024686, 120.34275800028161 23.557110000326304, 120.34364299972469 23.55691000009648, 120.34406300020737 23.556290000283354, 120.34423099986077 23.556199999730268, 120.34388700018496 23.554330999875788, 120.34545100036348 23.554220000152952, 120.3469310002655 23.554210999737904, 120.34715299971128 23.554159000037885, 120.3473509998488 23.554050000407244, 120.34735900021769 23.554199000083827, 120.34977700020841 23.554180000106953, 120.34971600009339 23.549580000216906, 120.3522799996224 23.549580000216906, 120.35394299986956 23.546379000090838, 120.35430100019107 23.545899999585345, 120.35424000007606 23.545730999885791, 120.35430100019107 23.545521000094141, 120.3550869995654 23.544049999707795, 120.35549200025571 23.543610000101467, 120.3559879997465 23.543180000057021, 120.35820799959959 23.54171900013182, 120.35816200017621 23.5385210001441, 120.35050999983673 23.538629999774741)",2018-06-06T00:00:00
12號道路(左側),1500,"LINESTRING (120.39074241982689 23.598559640115354, 120.39134592337575 23.599063506875382, 120.39178580337216 23.5994174422612, 120.39190649688737 23.59954770816023, 120.39199232908277 23.59948626288076, 120.3960424663868 23.598783302407526, 120.40189772559961 23.597760811012677)",2019-11-21T00:00:00
太保市自行車道(太保國中-嘉168),350,"LINESTRING (120.33132076154402 23.456652209631841, 120.33157825633157 23.456337261655335, 120.33181428879845 23.45596324710624, 120.33230781425425 23.455746721833805, 120.33273697073469 23.455412080503152, 120.33363818855162 23.454919962486315, 120.33462524126196 23.454290057540163)",2019-11-21T00:00:00
朴子市台糖廢鐵道改建計畫-自行車道整體路網串連建設計畫,1600,"LINESTRING (120.25648148043604 23.465869313617986, 120.27126800131725 23.472186812671339, 120.28287896749043 23.477371465420845)",2019-11-21T00:00:00
大林自行車道,8000,"LINESTRING (120.45597099516533 23.612460997876781, 120.45581100127674 23.61183900066942, 120.4555819961123 23.611037998804647, 120.45530699781978 23.609982999615795, 120.45530700321569 23.609931999961873, 120.45533000517571 23.609898001991269, 120.45560499627368 23.609486000078903, 120.45561999966333 23.609340998788127, 120.45555100367596 23.609201003123871, 120.45535300084043 23.608809997683295, 120.45529900464544 23.608594999459683, 120.45526900056393 23.60812999690188, 120.45523099701302 23.607775003014012, 120.45578799931673 23.606555997161593, 120.45592500383589 23.606347998361514, 120.45811500410423 23.606745003179412, 120.45860299962874 23.606865004216615, 120.45877800140374 23.60695300467745, 120.45912200018017 23.607224003684848, 120.46081499551565 23.609167002455251, 120.46125800155562 23.60966899682677, 120.46141100051727 23.609884002244939, 120.46151000328405 23.610101998808261, 120.46033499946077 23.610750003509906, 120.45951799595878 23.611204003761827, 120.45936600423772 23.611333998964938, 120.4592900025317 23.611391001593518, 120.45719899873484 23.612412996562568, 120.45629099733173 23.6128689996047, 120.45618400318926 23.612877004470249, 120.45612300397352 23.612860004585571, 120.45606200385851 23.612792997898566, 120.45598599855509 23.612499003226446, 120.45511599980364 23.612699996307811, 120.45527599998752 23.613569004006365, 120.45525400436884 23.613830997202797, 120.45468100222649 23.614479001005122, 120.45353700073201 23.615191000564266, 120.45339999711223 23.615430998142074, 120.45304899801295 23.615841003559524, 120.45288100195671 23.616240004872395, 120.45278900041205 23.618970997713404, 120.45269000214194 23.618971000411364, 120.45266000435583 23.621941002475353, 120.45272799759903 23.621940997978697, 120.45276600204943 23.6222100013905, 120.45295700276358 23.622708999221004, 120.453430002093 23.623211003485096, 120.45393400015405 23.623488997419372, 120.45523099971092 23.624019999423467, 120.45540599788853 23.624160998731156, 120.46765899726495 23.629298996451553, 120.4689709966143 23.629801005212244, 120.46932200470678 23.629840998063685, 120.47202299616436 23.6298199997932, 120.47258799523991 23.629681003275721, 120.47296099625305 23.629459001132034, 120.47318300109464 23.629290005029759, 120.47344999721963 23.628959997905611, 120.47634899600939 23.623631001269757, 120.47669200373309 23.623150005168668, 120.47705799632956 23.622801001664925, 120.47759200386793 23.622471001735391, 120.47782900040806 23.622360002012556, 120.47876000377119 23.622150002220849, 120.48934900285428 23.621799004020886, 120.48979199540429 23.621829998255862, 120.49745199881079 23.62451900444853, 120.49813100494202 23.624549997784243, 120.49851199912951 23.624479000805309, 120.49903899645255 23.624800004816393, 120.49996900246754 23.625719004028838, 120.50023700133659 23.626190002366741, 120.50032800193583 23.626450000866896)",2019-11-21T00:00:00
滿竹自行車道,2565,"LINESTRING (120.53139210076495 23.504279958053644, 120.53293168255118 23.50550117803698, 120.53706765115123 23.508709748656031, 120.54531812693006 23.514890539067153, 120.54655194641521 23.5157980791181, 120.54692208398706 23.516256767535822, 120.54720639745733 23.516774477560148, 120.5482470974257 23.519273233972626)",2019-11-21T00:00:00
鹿紫自行車道,5600,"LINESTRING (120.53175687478006 23.505165439533471, 120.53211093157427 23.50456527966395, 120.53173005789597 23.5042258467455, 120.53282707790743 23.503032906843202, 120.53398713050171 23.501924811680738, 120.53469590689065 23.502453033880442, 120.53560819895927 23.503582955588968, 120.53604287907569 23.503577261981093, 120.53645334404666 23.504912479127654, 120.53728084803276 23.506032657581159, 120.53789541684012 23.506248744883692, 120.53813833181857 23.506533882133, 120.54018368512902 23.507606099741736, 120.54116303964258 23.50644481057958, 120.54206041285784 23.504949164272546, 120.54185464257773 23.504683430795751, 120.54195876248696 23.50443498858391, 120.54152345014722 23.504141670201989, 120.54130271784618 23.50428124678217, 120.54087814341165 23.50399776428543, 120.54087506683095 23.50379207044773, 120.53947723798422 23.502956700991035, 120.54014462667328 23.501630897947621, 120.54120251448455 23.500864682758959, 120.54146323693885 23.500422539168881, 120.5425591957503 23.500299856353365, 120.54321446787344 23.499874471629596, 120.54352064746001 23.499538795179319, 120.54299781040072 23.499016748624115, 120.54257547078146 23.498549102059485, 120.53971427499391 23.497931550200917, 120.53965696659577 23.497435834895896, 120.54048662265961 23.496961673642375, 120.54124476553352 23.4962621431834, 120.5415648315518 23.495474534022605, 120.54162339270545 23.4952530301033, 120.54140299765027 23.495149593678832, 120.54147720700757 23.494706593934211)",2019-11-21T00:00:00
昇平自行車道,7600,"LINESTRING (120.56372881043626 23.476039960675678, 120.56200146729395 23.474460509245148, 120.56212753156035 23.47365723749158, 120.56276857550938 23.472972060212442, 120.56658536212478 23.471243724218539, 120.5683006300701 23.469651297369523, 120.56924410343265 23.469917934664977, 120.56990895153695 23.469618239190424, 120.57057380773506 23.468806790800784, 120.57093858714609 23.467660277499874, 120.57187199529642 23.467047644932904, 120.57216703498079 23.4659736916326, 120.57183176502394 23.464659227241611, 120.57295158734598 23.464336602652168, 120.57342566586181 23.463663527549784, 120.57445663606495 23.463523823265859, 120.57504697623699 23.463616833849869, 120.57546565201824 23.46418225200938, 120.57613632952803 23.463977802833369, 120.57749365021186 23.462592331570875, 120.57790684102793 23.463096487013331, 120.57836419035516 23.462907587115524, 120.57864987709024 23.462364380411884, 120.57945790176086 23.462289616172882, 120.58005136258043 23.461899916547964, 120.58065553972142 23.462612494371172, 120.58113097891157 23.462970765388548)",2019-11-21T00:00:00
大林自行車道(義和段),1000,"LINESTRING (120.47705054005041 23.611821815524422, 120.47712027797854 23.612573852001731, 120.47717928609529 23.613345544960964, 120.47725975923061 23.614269616349759, 120.47728121705461 23.615011809747273, 120.47734558782872 23.615812985181151, 120.47745824230412 23.616992616016489, 120.47756552692761 23.618152580477272, 120.47770500008573 23.619853183177895, 120.47636389417846 23.619941653084879, 120.47948599318408 23.622104237520603)",2019-11-21T00:00:00
中林自行車道(中林段),450,"LINESTRING (120.47298431117713 23.59502021161353, 120.47411084064288 23.595787092300498, 120.47543048782677 23.596760442940138, 120.47806977949676 23.598933233781736)",2019-11-21T00:00:00
觸口自行車道,567,"LINESTRING (120.58387799767149 23.445747001722793, 120.58526999801211 23.445461997573204, 120.58666799772993 23.445077999650039, 120.58917000429233 23.444219001405827, 120.58924299866555 23.444136000276217, 120.58921299998008 23.443955996472084, 120.58930399878057 23.443548004636739, 120.58929599931093 23.443510996635212, 120.58894799765199 23.443347999910316, 120.58891799986588 23.443268998065832, 120.58897700348598 23.44310199845853, 120.58911400081058 23.442978999081618, 120.58921300357736 23.443043002932313, 120.59015499935379 23.442790000258356, 120.59036099896105 23.442684004363343, 120.59059399891396 23.442422996823893)",2019-11-21T00:00:00
