RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,RouteMapImageUrl,City,CityCode,UpdateTime,VersionID
CYQ0035,0035,False,"[{'OperatorID': '22', 'OperatorName': {'Zh_tw': '嘉義縣公車處', 'En': 'Chiayi County Bus Service Administration'}, 'OperatorCode': 'ChiayiBusOffice', 'OperatorNo': '1402'}]",018,010,"[{'SubRouteUID': 'CYQ003501', 'SubRouteID': '003501', 'OperatorIDs': ['22'], 'SubRouteName': {'Zh_tw': '幸福六腳1路', 'En': '幸福六腳1路'}, 'Headsign': '六腳環狀線', 'HeadsignEn': 'Lioujiao Circular Line', 'Direction': 0}]",11,"{'Zh_tw': '幸福六腳1路', 'En': '幸福六腳1路'}",高鐵嘉義站,HSR Chiayi Station,高鐵嘉義站,HSR Chiayi Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0035.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0036,0036,True,"[{'OperatorID': '22', 'OperatorName': {'Zh_tw': '嘉義縣公車處', 'En': 'Chiayi County Bus Service Administration'}, 'OperatorCode': 'ChiayiBusOffice', 'OperatorNo': '1402'}]",018,010,"[{'SubRouteUID': 'CYQ003601', 'SubRouteID': '003601', 'OperatorIDs': ['22'], 'SubRouteName': {'Zh_tw': '110', 'En': '110'}, 'Headsign': '嘉義火車站—瑞太資訊站(瑞里線)', 'HeadsignEn': 'Chiayi Train Station—Ruitai Information Station(Ruili Line)', 'Direction': 0}, {'SubRouteUID': 'CYQ003602', 'SubRouteID': '003602', 'OperatorIDs': ['22'], 'SubRouteName': {'Zh_tw': '110', 'En': '110'}, 'Headsign': '瑞太資訊站→嘉義火車站(瑞里線)', 'HeadsignEn': 'Ruitai Information Station→Chiayi Train Station(Ruili Line)', 'Direction': 1}]",11,"{'Zh_tw': '110', 'En': '110'}",嘉義火車站,Chiayi Train Station,瑞太資訊站,Ruitai Information Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0036.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0037,0037,True,"[{'OperatorID': '115', 'OperatorName': {'Zh_tw': '台一大車隊'}}]",018,010,"[{'SubRouteUID': 'CYQ003701', 'SubRouteID': '003701', 'OperatorIDs': ['115'], 'SubRouteName': {'Zh_tw': '幸福布袋1路', 'En': '幸福布袋1路'}, 'Headsign': '布袋環狀線(主線)', 'HeadsignEn': 'Budai Circular Line(Main)', 'Direction': 0}, {'SubRouteUID': 'CYQ003702', 'SubRouteID': '003702', 'OperatorIDs': ['115'], 'SubRouteName': {'Zh_tw': '幸福布袋1路', 'En': '幸福布袋1路'}, 'Headsign': '布袋環狀線(主線)', 'HeadsignEn': 'Budai Circular Line(Main)', 'Direction': 1}, {'SubRouteUID': 'CYQ0037A1', 'SubRouteID': '0037A1', 'OperatorIDs': ['115'], 'SubRouteName': {'Zh_tw': '幸福布袋1路A', 'En': '幸福布袋1路A'}, 'Headsign': '布袋環狀線(支線—延駛布袋商港)', 'HeadsignEn': 'Budai Circular Line(Via Budai Port)', 'Direction': 0}, {'SubRouteUID': 'CYQ0037A2', 'SubRouteID': '0037A2', 'OperatorIDs': ['115'], 'SubRouteName': {'Zh_tw': '幸福布袋1路A', 'En': '幸福布袋1路A'}, 'Headsign': '布袋環狀線(支線—延駛布袋商港)', 'HeadsignEn': 'Budai Circular Line(Via Budai Port)', 'Direction': 1}]",11,"{'Zh_tw': '幸福布袋1路', 'En': '幸福布袋1路'}",武聖宮,WuSheng Temple,武聖宮,WuSheng Temple,http://web.taiwanbus.tw/TMSData/Schematic/file/0037.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0051,0051,True,"[{'OperatorID': '91', 'OperatorName': {'Zh_tw': '阿里山鄉公所'}, 'OperatorCode': '', 'OperatorNo': '0819'}]",018,010,"[{'SubRouteUID': 'CYQ005101', 'SubRouteID': '005101', 'OperatorIDs': ['91'], 'SubRouteName': {'Zh_tw': '幸福阿里山3路', 'En': '幸福阿里山3路'}, 'Headsign': '十字→里佳', 'HeadsignEn': 'Shizi Lijia Line', 'Direction': 0}, {'SubRouteUID': 'CYQ005102', 'SubRouteID': '005102', 'OperatorIDs': ['91'], 'SubRouteName': {'Zh_tw': '幸福阿里山3路', 'En': '幸福阿里山3路'}, 'Headsign': '里佳→十字', 'HeadsignEn': 'Shizi Lijia Line', 'Direction': 1}]",11,"{'Zh_tw': '幸福阿里山3路', 'En': '幸福阿里山3路'}",十字村,Shizi Village,里佳,Lijia,http://web.taiwanbus.tw/TMSData/Schematic/file/0051.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0088,0088,True,"[{'OperatorID': '23', 'OperatorName': {'Zh_tw': '嘉義客運', 'En': 'Chiayi Bus Co., Ltd.'}, 'OperatorCode': 'ChiayiBus', 'OperatorNo': '1401'}]",018,010,"[{'SubRouteUID': 'CYQ008801', 'SubRouteID': '008801', 'OperatorIDs': ['23'], 'SubRouteName': {'Zh_tw': '幸福大林1路', 'En': '幸福大林1路'}, 'Headsign': '大林轉運站→大林轉運站(西線，經三村里→湖北里→西結里→明華里→大林國小)', 'HeadsignEn': 'Dalin Bus Station→Dalin Bus Station(Western Lin,via Sancun Village→Hubei Village→Xijie Village→Minghua Village→Talin Elementary School)', 'Direction': 0}, {'SubRouteUID': 'CYQ008802', 'SubRouteID': '008802', 'OperatorIDs': ['23'], 'SubRouteName': {'Zh_tw': '幸福大林1路', 'En': '幸福大林1路'}, 'Headsign': '大林轉運站→大林轉運站(西線，經大林國小→明華里→西結里→湖北里→三村里)', 'HeadsignEn': 'Dalin Bus Station→Dalin Bus Station(Western Lin,via Talin Elementary School→Minghua Village→Xijie Village→Hubei Village→Sancun Village)', 'Direction': 1}]",11,"{'Zh_tw': '幸福大林1路', 'En': '幸福大林1路'}",大林轉運站,Dalin Bus Station,大林轉運站,Dalin Bus Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0088.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0089,0089,True,"[{'OperatorID': '23', 'OperatorName': {'Zh_tw': '嘉義客運', 'En': 'Chiayi Bus Co., Ltd.'}, 'OperatorCode': 'ChiayiBus', 'OperatorNo': '1401'}]",018,010,"[{'SubRouteUID': 'CYQ008901', 'SubRouteID': '008901', 'OperatorIDs': ['23'], 'SubRouteName': {'Zh_tw': '幸福大林2路', 'En': '幸福大林2路'}, 'Headsign': '大林轉運站→大林轉運站(東線，經中坑里→大美里→三角里→大林國小)', 'HeadsignEn': 'Dalin Bus Station→Dalin Bus Station(Eastern Line,via Zhongkeng Village→Damei Village→Sanjiau Village→Talin Elementary School)', 'Direction': 0}, {'SubRouteUID': 'CYQ008902', 'SubRouteID': '008902', 'OperatorIDs': ['23'], 'SubRouteName': {'Zh_tw': '幸福大林2路', 'En': '幸福大林2路'}, 'Headsign': '大林轉運站→大林轉運站(東線，經大林國小→三角里→大美里→中坑里)', 'HeadsignEn': 'Dalin Bus Station→Dalin Bus Station(Eastern Line,via Talin Elementary School、Sanjiau Village、Damei Village、Zhongkeng Village)', 'Direction': 1}]",11,"{'Zh_tw': '幸福大林2路', 'En': '幸福大林2路'}",大林轉運站,Dalin Bus Station,大林轉運站,Dalin Bus Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0089.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0091,0091,True,"[{'OperatorID': '90', 'OperatorName': {'Zh_tw': '大埔鄉公所'}, 'OperatorCode': '', 'OperatorNo': '0309'}]",018,010,"[{'SubRouteUID': 'CYQ009101', 'SubRouteID': '009101', 'OperatorIDs': ['90'], 'SubRouteName': {'Zh_tw': '幸福大埔1路', 'En': '幸福大埔1路'}, 'Headsign': '大埔鄉公所→分水嶺(永樂線)', 'HeadsignEn': 'Dapu Township Office→Fenshuiling(Yongle Line)', 'Direction': 0}, {'SubRouteUID': 'CYQ009102', 'SubRouteID': '009102', 'OperatorIDs': ['90'], 'SubRouteName': {'Zh_tw': '幸福大埔1路', 'En': '幸福大埔1路'}, 'Headsign': '分水嶺→大埔鄉公所(永樂線)', 'HeadsignEn': 'Fenshuiling→Dapu Township Office(Yongle Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福大埔1路', 'En': '幸福大埔1路'}",大埔鄉公所,Dapu Township Office,分水嶺,Fenshuiling,http://web.taiwanbus.tw/TMSData/Schematic/file/0091.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0092,0092,True,"[{'OperatorID': '90', 'OperatorName': {'Zh_tw': '大埔鄉公所'}, 'OperatorCode': '', 'OperatorNo': '0309'}]",018,010,"[{'SubRouteUID': 'CYQ009201', 'SubRouteID': '009201', 'OperatorIDs': ['90'], 'SubRouteName': {'Zh_tw': '幸福大埔2路', 'En': '幸福大埔2路'}, 'Headsign': '大埔鄉公所→菜瓜坪(西興茄苳線)', 'HeadsignEn': 'Dapu Township Office→Caiguaping(Xixing Jiadong Line)', 'Direction': 0}, {'SubRouteUID': 'CYQ009202', 'SubRouteID': '009202', 'OperatorIDs': ['90'], 'SubRouteName': {'Zh_tw': '幸福大埔2路', 'En': '幸福大埔2路'}, 'Headsign': '菜瓜坪→大埔鄉公所(西興茄苳線)', 'HeadsignEn': 'Caiguaping→Dapu Township Office(Xixing Jiadong Line)', 'Direction': 1}, {'SubRouteUID': 'CYQ0092A1', 'SubRouteID': '0092A1', 'OperatorIDs': ['90'], 'SubRouteName': {'Zh_tw': '幸福大埔2路A', 'En': '幸福大埔2路A'}, 'Headsign': '大埔鄉公所→木瓜坑土地公廟(西興茄苳線)', 'HeadsignEn': 'Dapu Township Office→Muguakeng Tudigong Temple(Xixing Jiadong Line A)', 'Direction': 0}, {'SubRouteUID': 'CYQ0092A2', 'SubRouteID': '0092A2', 'OperatorIDs': ['90'], 'SubRouteName': {'Zh_tw': '幸福大埔2路A', 'En': '幸福大埔2路A'}, 'Headsign': '木瓜坑土地公廟→大埔鄉公所(西興茄苳線)', 'HeadsignEn': 'Muguakeng Tudigong Temple→Dapu Township Office(Xixing Jiadong Line A)', 'Direction': 1}, {'SubRouteUID': 'CYQ0092B1', 'SubRouteID': '0092B1', 'OperatorIDs': ['90'], 'SubRouteName': {'Zh_tw': '幸福大埔2路B', 'En': '幸福大埔2路B'}, 'Headsign': '大埔鄉公所→三腳石(西興茄苳線)', 'HeadsignEn': 'Dapu Township Office→Sanjiaoshi(Xixing Jiadong Line B)', 'Direction': 0}, {'SubRouteUID': 'CYQ0092B2', 'SubRouteID': '0092B2', 'OperatorIDs': ['90'], 'SubRouteName': {'Zh_tw': '幸福大埔2路B', 'En': '幸福大埔2路B'}, 'Headsign': '三腳石→大埔鄉公所(西興茄苳線)', 'HeadsignEn': 'Sanjiaoshi→Dapu Township Office(Xixing Jiadong Line B)', 'Direction': 1}]",11,"{'Zh_tw': '幸福大埔2路', 'En': '幸福大埔2路'}",大埔鄉公所,Dapu Township Office,菜瓜坪,Caiguaping,http://web.taiwanbus.tw/TMSData/Schematic/file/0092.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0093,0093,True,"[{'OperatorID': '91', 'OperatorName': {'Zh_tw': '阿里山鄉公所'}, 'OperatorCode': '', 'OperatorNo': '0819'}]",018,010,"[{'SubRouteUID': 'CYQ009301', 'SubRouteID': '009301', 'OperatorIDs': ['91'], 'SubRouteName': {'Zh_tw': '幸福阿里山1路', 'En': '幸福阿里山1路'}, 'Headsign': '龍美→茶山', 'HeadsignEn': 'Longmei→Chashan(Longmei Chashan Line)', 'Direction': 0}, {'SubRouteUID': 'CYQ009302', 'SubRouteID': '009302', 'OperatorIDs': ['91'], 'SubRouteName': {'Zh_tw': '幸福阿里山1路', 'En': '幸福阿里山1路'}, 'Headsign': '茶山→龍美', 'HeadsignEn': 'Chashan→Longmei(Longmei Chashan Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福阿里山1路', 'En': '幸福阿里山1路'}",龍美,Longmei,茶山,Chashan,http://web.taiwanbus.tw/TMSData/Schematic/file/0093.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
CYQ0094,0094,True,"[{'OperatorID': '91', 'OperatorName': {'Zh_tw': '阿里山鄉公所'}, 'OperatorCode': '', 'OperatorNo': '0819'}]",018,010,"[{'SubRouteUID': 'CYQ009401', 'SubRouteID': '009401', 'OperatorIDs': ['91'], 'SubRouteName': {'Zh_tw': '幸福阿里山2路', 'En': '幸福阿里山2路'}, 'Headsign': '石棹→豐山(主線)', 'HeadsignEn': 'Shizhao→Fengshan(Shizhao Fengshan Line )', 'Direction': 0}, {'SubRouteUID': 'CYQ009402', 'SubRouteID': '009402', 'OperatorIDs': ['91'], 'SubRouteName': {'Zh_tw': '幸福阿里山2路', 'En': '幸福阿里山2路'}, 'Headsign': '豐山→石棹(主線)', 'HeadsignEn': 'Fengshan→Shizhao(Shizhao Fengshan Line )', 'Direction': 1}, {'SubRouteUID': 'CYQ0094A1', 'SubRouteID': '0094A1', 'OperatorIDs': ['91'], 'SubRouteName': {'Zh_tw': '幸福阿里山2路A', 'En': '幸福阿里山2路A'}, 'Headsign': '石棹→豐山(支線，預約行駛大凍山—多林—得恩亞納)', 'HeadsignEn': 'Shizhao→Fengshan(Shizhao Fengshan Line )', 'Direction': 0}, {'SubRouteUID': 'CYQ0094A2', 'SubRouteID': '0094A2', 'OperatorIDs': ['91'], 'SubRouteName': {'Zh_tw': '幸福阿里山2路A', 'En': '幸福阿里山2路A'}, 'Headsign': '豐山→石棹(支線，預約行駛大凍山—多林—得恩亞納)', 'HeadsignEn': 'Shizhao Fengshan Line A', 'Direction': 1}]",11,"{'Zh_tw': '幸福阿里山2路', 'En': '幸福阿里山2路'}",石棹,Shizhao,豐山村辦公處,Fengshan Village Office,http://web.taiwanbus.tw/TMSData/Schematic/file/0094.jpg,ChiayiCounty,CYQ,2023-07-13T07:38:39+08:00,1790
