StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
KEE124789,124789,自強隧道口,POINT (121.732650415996 25.1275579132937),2023-07-13T00:00:00,2023-07-14T00:18:38.5
KEE140582,140582,深美國小(消防分隊),POINT (121.778675 25.136638),2023-07-13T00:00:00,2023-07-14T00:18:38.56
KEE140581,140581,第一特獎社區,POINT (121.782348 25.132913),2023-07-13T00:00:00,2023-07-14T00:18:38.5
KEE140580,140580,第一特獎社區,POINT (121.782411 25.133053),2023-07-13T00:00:00,2023-07-14T00:18:38.513
KEE140583,140583,深美街,POINT (121.780183 25.1355),2023-07-13T00:00:00,2023-07-14T00:18:38.5
KEE140578,140578,深溪路口,POINT (121.782438 25.134931),2023-07-13T00:00:00,2023-07-14T00:18:38.513
KEE140565,140565,深美國小(消防分隊),POINT (121.778546 25.136411),2023-07-13T00:00:00,2023-07-14T00:18:38.513
KEE140570,140570,深美街,POINT (121.779916 25.135676),2023-07-13T00:00:00,2023-07-14T00:18:38.5
KEE140584,140584,深溪路口,POINT (121.78222 25.135071),2023-07-13T00:00:00,2023-07-14T00:18:38.577
KEE140591,140591,孝東路,POINT (121.78085 25.12906),2023-07-13T00:00:00,2023-07-14T00:18:38.717
KEE140592,140592,住安城堡社區,POINT (121.776126 25.128353),2023-07-13T00:00:00,2023-07-14T00:18:38.577
KEE140589,140589,孝東路,POINT (121.77948 25.128476),2023-07-13T00:00:00,2023-07-14T00:18:38.64
KEE140585,140585,又一村,POINT (121.78273 25.13436),2023-07-13T00:00:00,2023-07-14T00:18:38.64
KEE140587,140587,麗景江山社區,POINT (121.78186 25.13149),2023-07-13T00:00:00,2023-07-14T00:18:38.623
KEE140588,140588,孝忠里民活動中心,POINT (121.780927 25.130337),2023-07-13T00:00:00,2023-07-14T00:18:38.703
KEE140586,140586,麗景江山社區,POINT (121.78202 25.131799),2023-07-13T00:00:00,2023-07-14T00:18:38.607
KEE140593,140593,住安城堡社區,POINT (121.777083 25.127966),2023-07-13T00:00:00,2023-07-14T00:18:38.703
KEE140599,140599,韋昌嶺,POINT (121.77185 25.129366),2023-07-13T00:00:00,2023-07-14T00:18:38.873
KEE140600,140600,東光市場,POINT (121.766105 25.127454),2023-07-13T00:00:00,2023-07-14T00:18:38.763
KEE140594,140594,培德工家,POINT (121.773311 25.128743),2023-07-13T00:00:00,2023-07-14T00:18:38.797
KEE140598,140598,信義國中,POINT (121.76805 25.127838),2023-07-13T00:00:00,2023-07-14T00:18:38.78
KEE140596,140596,太陽宮廟,POINT (121.774733 25.127933),2023-07-13T00:00:00,2023-07-14T00:18:38.763
KEE140597,140597,信義國中,POINT (121.768063 25.127936),2023-07-13T00:00:00,2023-07-14T00:18:38.907
KEE140595,140595,培德工家,POINT (121.772838 25.128978),2023-07-13T00:00:00,2023-07-14T00:18:38.763
KEE140602,140602,地方法院,POINT (121.764244 25.128286),2023-07-13T00:00:00,2023-07-14T00:18:39.14
KEE140601,140601,東光市場,POINT (121.765605 25.127508),2023-07-13T00:00:00,2023-07-14T00:18:38.907
KEE140607,140607,光華巷口,POINT (121.760408 25.127781),2023-07-13T00:00:00,2023-07-14T00:18:39.22
KEE140606,140606,市立醫院,POINT (121.760955 25.128723),2023-07-13T00:00:00,2023-07-14T00:18:39.093
KEE140604,140604,東明市場,POINT (121.763053 25.128185),2023-07-13T00:00:00,2023-07-14T00:18:38.937
KEE140603,140603,地方法院,POINT (121.76416 25.128088),2023-07-13T00:00:00,2023-07-14T00:18:38.92
KEE140608,140608,基隆女中,POINT (121.758885 25.128583),2023-07-13T00:00:00,2023-07-14T00:18:39.123
KEE140605,140605,東橋,POINT (121.762035 25.127648),2023-07-13T00:00:00,2023-07-14T00:18:39.14
KEE140610,140610,義九路口,POINT (121.755788 25.128506),2023-07-13T00:00:00,2023-07-14T00:18:39.39
KEE140615,140615,劉銘傳路口,POINT (121.751383 25.128033),2023-07-13T00:00:00,2023-07-14T00:18:39.547
