PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopCountDown,CurrentStop,DestinationStop,StopSequence,StopStatus,MessageType,IsLastBus,DataTime,SrcTransTime,UpdateTime
-1,KEE306173,306173,"{'Zh_tw': '深美國小(消防分隊)', 'En': 'Shen-Mei Elementary School ( Fire Units)'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,1,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306179,306179,"{'Zh_tw': '深美街', 'En': 'Shenmei St.'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,2,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306191,306191,"{'Zh_tw': '深溪路口', 'En': 'Shenxi Rd. Intersection'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,3,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306193,306193,"{'Zh_tw': '第一特獎社區', 'En': 'Diyitejiang Community'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,4,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306194,306194,"{'Zh_tw': '第一特獎社區', 'En': 'Diyitejiang Community'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,41,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306194,306194,"{'Zh_tw': '第一特獎社區', 'En': 'Diyitejiang Community'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE0212A1,0212A1,"{'Zh_tw': '202A', 'En': '202A'}",0,0,-1,306195,20,3,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306195,306195,"{'Zh_tw': '深美國小(消防分隊)', 'En': 'Shen-Mei Elementary School ( Fire Units)'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,45,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306195,306195,"{'Zh_tw': '深美國小(消防分隊)', 'En': 'Shen-Mei Elementary School ( Fire Units)'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE0212A1,0212A1,"{'Zh_tw': '202A', 'En': '202A'}",0,0,-1,306195,24,3,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306196,306196,"{'Zh_tw': '深美街', 'En': 'Shenmei St.'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,44,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306196,306196,"{'Zh_tw': '深美街', 'En': 'Shenmei St.'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE0212A1,0212A1,"{'Zh_tw': '202A', 'En': '202A'}",0,0,-1,306195,23,3,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306197,306197,"{'Zh_tw': '深溪路口', 'En': 'Shenxi Rd. Intersection'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,43,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306197,306197,"{'Zh_tw': '深溪路口', 'En': 'Shenxi Rd. Intersection'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE0212A1,0212A1,"{'Zh_tw': '202A', 'En': '202A'}",0,0,-1,306195,22,3,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306198,306198,"{'Zh_tw': '又一村', 'En': 'Youyi Village'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,42,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306198,306198,"{'Zh_tw': '又一村', 'En': 'Youyi Village'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE0212A1,0212A1,"{'Zh_tw': '202A', 'En': '202A'}",0,0,-1,306195,21,3,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306199,306199,"{'Zh_tw': '麗景江山社區', 'En': 'Lijingjiangshan Community'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,5,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306200,306200,"{'Zh_tw': '麗景江山社區', 'En': 'Lijingjiangshan Community'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,40,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306200,306200,"{'Zh_tw': '麗景江山社區', 'En': 'Lijingjiangshan Community'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE0212A1,0212A1,"{'Zh_tw': '202A', 'En': '202A'}",0,0,-1,306195,19,3,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306201,306201,"{'Zh_tw': '孝忠里民活動中心', 'En': 'Xiaozhong Village Activity Center'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,6,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
-1,KEE306202,306202,"{'Zh_tw': '孝東路', 'En': 'Xiaodong Rd.'}",KEE0212,0212,"{'Zh_tw': '202', 'En': '202'}",KEE021201,021201,"{'Zh_tw': '202', 'En': '202'}",0,0,-1,306195,7,1,2,False,2023-07-14T00:46:53+08:00,2023-07-14T00:46:54+08:00,2023-07-14T00:46:59+08:00
