RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,RouteMapImageUrl,City,CityCode,UpdateTime,VersionID
KEE0211,0211,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE021101', 'SubRouteID': '021101', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '201', 'En': '201'}, 'Headsign': '深美國小→經仁一路', 'HeadsignEn': 'Shenmei Elementary School→Via Ren 1st Rd.', 'Direction': 0}]",11,"{'Zh_tw': '201', 'En': '201'}",深美國小(消防分隊),Shen-Mei Elementary School ( Fire Units),深美國小(消防分隊),Shen-Mei Elementary School ( Fire Units),http://web.taiwanbus.tw/TMSData/Schematic/file/0211.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0212,0212,True,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE021201', 'SubRouteID': '021201', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '202', 'En': '202'}, 'Headsign': '深美國小→經信二路', 'HeadsignEn': 'Shenmei Elementary School→Via Xin 2nd Rd.', 'Direction': 0}, {'SubRouteUID': 'KEE0212A1', 'SubRouteID': '0212A1', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '202A', 'En': '202A'}, 'Headsign': '深美國小→經信二路', 'HeadsignEn': 'Shenmei Elementary School→Via Xin 2nd Rd.', 'Direction': 0}]",11,"{'Zh_tw': '202', 'En': '202'}",深美國小(消防分隊),Shen-Mei Elementary School ( Fire Units),深美國小(消防分隊),Shen-Mei Elementary School ( Fire Units),http://web.taiwanbus.tw/TMSData/Schematic/file/0212.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0231,0231,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023101', 'SubRouteID': '023101', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '203', 'En': '203'}, 'Headsign': '深澳坑→經美的世界(經八斗山莊)', 'HeadsignEn': 'Shenaokeng→Via Meideshijie Community(Badoushanzhuang Community)', 'Direction': 0}]",11,"{'Zh_tw': '203', 'En': '203'}",八斗子分站,Badouzi Substation,基隆漁會,Keelung District Fishmens` Association,http://web.taiwanbus.tw/TMSData/Schematic/file/0231.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0232,0232,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023201', 'SubRouteID': '023201', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '203', 'En': '203'}, 'Headsign': '深澳坑→深澳坑→經富貴社區(經八斗山莊)', 'HeadsignEn': 'Shenaokeng→Via Fugui Community(Badoushanzhuang Community)', 'Direction': 0}]",11,"{'Zh_tw': '203', 'En': '203'}",八斗子分站,Badouzi Substation,基隆漁會,Keelung District Fishmens` Association,http://web.taiwanbus.tw/TMSData/Schematic/file/0232.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0233,0233,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023301', 'SubRouteID': '023301', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '203', 'En': '203'}, 'Headsign': '深澳坑→經富貴社區(去八斗山莊)', 'HeadsignEn': 'Shenaokeng→Via Fugui Community(Badoushanzhuang Community)', 'Direction': 0}]",11,"{'Zh_tw': '203', 'En': '203'}",八斗子分站,Badouzi Substation,基隆漁會,Keelung District Fishmens` Association,http://web.taiwanbus.tw/TMSData/Schematic/file/0233.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0234,0234,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023401', 'SubRouteID': '023401', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '203', 'En': '203'}, 'Headsign': '深澳坑→深澳坑→經富貴社區(回八斗山莊)', 'HeadsignEn': 'Shenaokeng→Via Fugui Community(Badoushanzhuang Community)', 'Direction': 0}]",11,"{'Zh_tw': '203', 'En': '203'}",八斗子分站,Badouzi Substation,基隆漁會,Keelung District Fishmens` Association,http://web.taiwanbus.tw/TMSData/Schematic/file/0234.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0235,0235,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023501', 'SubRouteID': '023501', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '203', 'En': '203'}, 'Headsign': '深澳坑→去經美的世界(回經富貴社區)', 'HeadsignEn': 'Shenaokeng→Via Meideshijie Community(Fugui Community)', 'Direction': 0}]",11,"{'Zh_tw': '203', 'En': '203'}",八斗子分站,Badouzi Substation,基隆漁會,Keelung District Fishmens` Association,http://web.taiwanbus.tw/TMSData/Schematic/file/0235.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0236,0236,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023601', 'SubRouteID': '023601', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204', 'En': '204'}, 'Headsign': '教忠街→經美的世界', 'HeadsignEn': 'Jiaozhong St.→Via Meideshijie Community', 'Direction': 0}]",11,"{'Zh_tw': '204', 'En': '204'}",深美分站,Shenmei Substation,深美國小正門口,Shen-Mei Elementary School,http://web.taiwanbus.tw/TMSData/Schematic/file/0236.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0237,0237,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023701', 'SubRouteID': '023701', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204', 'En': '204'}, 'Headsign': '教忠街→經美的世界(總站發車)', 'HeadsignEn': 'Jiaozhong St.→Via Meideshijie Community', 'Direction': 0}]",11,"{'Zh_tw': '204', 'En': '204'}",公車總站,Keelung City Bus Station,深美國小正門口,Shen-Mei Elementary School,http://web.taiwanbus.tw/TMSData/Schematic/file/0237.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0238,0238,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023801', 'SubRouteID': '023801', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204', 'En': '204'}, 'Headsign': '教忠街→經富貴社區(經月眉路)', 'HeadsignEn': 'Jiaozhong St.→Via Fugui Community(Yuemei Rd.)', 'Direction': 0}]",11,"{'Zh_tw': '204', 'En': '204'}",深美分站,Shenmei Substation,深美國小正門口,Shen-Mei Elementary School,http://web.taiwanbus.tw/TMSData/Schematic/file/0238.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0239,0239,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE023901', 'SubRouteID': '023901', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204', 'En': '204'}, 'Headsign': '教忠街→經富貴社區', 'HeadsignEn': 'Jiaozhong St.→Via Fugui Community', 'Direction': 0}]",11,"{'Zh_tw': '204', 'En': '204'}",深美分站,Shenmei Substation,深美國小正門口,Shen-Mei Elementary School,http://web.taiwanbus.tw/TMSData/Schematic/file/0239.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0245,0245,True,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE024501', 'SubRouteID': '024501', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204', 'En': '204'}, 'Headsign': '教忠街→經美的世界(經月眉路)', 'HeadsignEn': 'Jiaozhong St.→Via Meideshijie Community(Yuemei Rd.)', 'Direction': 0}, {'SubRouteUID': 'KEE0245A1', 'SubRouteID': '0245A1', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204A', 'En': '204A'}, 'Headsign': '教忠街→經美的世界(經教孝街)', 'HeadsignEn': 'Jiaozhong St.→Via Meideshijie Community(Jiaohau St.)', 'Direction': 0}, {'SubRouteUID': 'KEE0245B1', 'SubRouteID': '0245B1', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204B', 'En': '204B'}, 'Headsign': '教忠街—經美的世界(經仁五路)', 'HeadsignEn': 'Jiaozhong St. — Via Meideshijie Community(Ren 5th Rd.)', 'Direction': 0}, {'SubRouteUID': 'KEE0245C1', 'SubRouteID': '0245C1', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204C', 'En': '204C'}, 'Headsign': '教忠街—基隆車站(經富貴社區)', 'HeadsignEn': 'Jiaozhong St. — Keelung Station(Fugui Community)', 'Direction': 0}, {'SubRouteUID': 'KEE0245D1', 'SubRouteID': '0245D1', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '204D', 'En': '204D'}, 'Headsign': '教忠街—基隆車站(經美的世界)', 'HeadsignEn': 'Jiaozhong St. — Keelung Station(Fugui Community)', 'Direction': 0}]",11,"{'Zh_tw': '204', 'En': '204'}",深美分站,Shenmei Substation,深美國小正門口,Shen-Mei Elementary School,http://web.taiwanbus.tw/TMSData/Schematic/file/0245.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0251,0251,True,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE025101', 'SubRouteID': '025101', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '205', 'En': '205'}, 'Headsign': '信義國中—深美國小(經和平島)', 'HeadsignEn': 'Xinyi Junior High School — Shenmei Elementary School(Heping Island)', 'Direction': 0}, {'SubRouteUID': 'KEE025102', 'SubRouteID': '025102', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '205', 'En': '205'}, 'Headsign': '深美國小(經和平島)→信義國中', 'HeadsignEn': 'Shenmei Elementary School(Heping Island)→Xinyi Junior High School', 'Direction': 1}, {'SubRouteUID': 'KEE0251A1', 'SubRouteID': '0251A1', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '205A', 'En': '205A'}, 'Headsign': '信義國中—和平島(經祥豐街)', 'HeadsignEn': 'Xinyi Junior High School — Heping Island(Xiangfeng St.)', 'Direction': 0}]",11,"{'Zh_tw': '205', 'En': '205'}",信義國中,Sinyi Junior High School,和平島,Heping Island,http://web.taiwanbus.tw/TMSData/Schematic/file/0251.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0318,0318,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE031801', 'SubRouteID': '031801', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '301', 'En': '301'}, 'Headsign': '太白莊—經成功市場', 'HeadsignEn': 'Taibai Village — Via Chengong Market', 'Direction': 0}]",11,"{'Zh_tw': '301', 'En': '301'}",太白莊,Taibai Village,太白莊,Taibai Village,http://web.taiwanbus.tw/TMSData/Schematic/file/0318.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0352,0352,True,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE035201', 'SubRouteID': '035201', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '101', 'En': '101'}, 'Headsign': '和平島—經中正路', 'HeadsignEn': 'Heping Island — Via Zhongzheng Rd.', 'Direction': 0}, {'SubRouteUID': 'KEE0352A1', 'SubRouteID': '0352A1', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '101A', 'En': '101A'}, 'Headsign': '和平島—經中正路', 'HeadsignEn': 'Heping Island — Via Zhongzheng Rd.', 'Direction': 0}]",11,"{'Zh_tw': '101', 'En': '101'}",阿拉寶灣,Alabao Bay,阿拉寶灣,Alabao Bay,http://web.taiwanbus.tw/TMSData/Schematic/file/0352.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
KEE0353,0353,False,"[{'OperatorID': '109', 'OperatorName': {'Zh_tw': '基隆市公車處'}, 'OperatorCode': '', 'OperatorNo': '1107'}]",011,010,"[{'SubRouteUID': 'KEE035301', 'SubRouteID': '035301', 'OperatorIDs': ['109'], 'SubRouteName': {'Zh_tw': '101', 'En': '101'}, 'Headsign': '和平島—經祥豐街', 'HeadsignEn': 'Heping Island — Via Xiangfeng St.', 'Direction': 0}]",11,"{'Zh_tw': '101', 'En': '101'}",阿拉寶灣,Alabao Bay,阿拉寶灣,Alabao Bay,http://web.taiwanbus.tw/TMSData/Schematic/file/0353.jpg,Keelung,KEE,2023-07-13T07:38:39+08:00,1790
