StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
ILA105729,105729,27k水門,POINT (121.54987 24.62399),2023-07-13T00:00:00,2023-07-14T00:19:50.267
ILA104728,104728,康樂村(慈濟精舍),POINT (121.60512 24.051802),2023-07-13T00:00:00,2023-07-14T00:19:50.267
ILA105759,105759,八仙橋,POINT (121.77576 24.66211),2023-07-13T00:00:00,2023-07-14T00:19:50.267
ILA104729,104729,康樂村(慈濟精舍),POINT (121.60512 24.051802),2023-07-13T00:00:00,2023-07-14T00:19:50.267
ILA105738,105738,七結,POINT (121.734143 24.749191),2023-07-13T00:00:00,2023-07-14T00:19:50.267
ILA105739,105739,七結,POINT (121.73407 24.74938),2023-07-13T00:00:00,2023-07-14T00:19:50.28
ILA105730,105730,27k水門,POINT (121.55798 24.625549),2023-07-13T00:00:00,2023-07-14T00:19:50.267
ILA105752,105752,二結,POINT (121.76801 24.70344),2023-07-13T00:00:00,2023-07-14T00:19:50.267
ILA105760,105760,八仙橋,POINT (121.775468 24.661938),2023-07-13T00:00:00,2023-07-14T00:19:50.343
ILA105782,105782,十六結,POINT (121.76723 24.80986),2023-07-13T00:00:00,2023-07-14T00:19:50.327
ILA105805,105805,三星二站,POINT (121.65164 24.66587),2023-07-13T00:00:00,2023-07-14T00:19:50.327
ILA105802,105802,三星一站,POINT (121.653315167359 24.6664515058384),2023-07-13T00:00:00,2023-07-14T00:19:50.373
ILA105799,105799,三官廟,POINT (121.74325 24.78141),2023-07-13T00:00:00,2023-07-14T00:19:50.343
ILA105794,105794,三角,POINT (121.756719 24.742592),2023-07-13T00:00:00,2023-07-14T00:19:50.327
ILA105804,105804,三星一站,POINT (121.653381 24.666595),2023-07-13T00:00:00,2023-07-14T00:19:50.327
ILA105795,105795,三角,POINT (121.7564 24.74301),2023-07-13T00:00:00,2023-07-14T00:19:50.327
ILA105806,105806,三星二站,POINT (121.651617265402 24.6660610788393),2023-07-13T00:00:00,2023-07-14T00:19:50.42
ILA105825,105825,三寶竹,POINT (121.82233 24.83134),2023-07-13T00:00:00,2023-07-14T00:19:50.42
ILA105841,105841,下壯五,POINT (121.80055 24.73585),2023-07-13T00:00:00,2023-07-14T00:19:50.42
ILA105848,105848,下粗溪口,POINT (121.65908 24.70669),2023-07-13T00:00:00,2023-07-14T00:19:50.42
ILA105826,105826,三寶竹,POINT (121.82246 24.83126),2023-07-13T00:00:00,2023-07-14T00:19:50.42
ILA105840,105840,下壯五,POINT (121.80052 24.73627),2023-07-13T00:00:00,2023-07-14T00:19:50.42
ILA105842,105842,下香和,POINT (121.80025 24.62726),2023-07-13T00:00:00,2023-07-14T00:19:50.467
ILA105849,105849,下粗溪口,POINT (121.65918 24.70674),2023-07-13T00:00:00,2023-07-14T00:19:50.5
ILA105843,105843,下香和,POINT (121.80031 24.6276),2023-07-13T00:00:00,2023-07-14T00:19:50.42
ILA105856,105856,下湖路,POINT (121.62846 24.66232),2023-07-13T00:00:00,2023-07-14T00:19:50.5
ILA105864,105864,下福活動中心,POINT (121.82368 24.66257),2023-07-13T00:00:00,2023-07-14T00:19:50.517
ILA105854,105854,下湖口,POINT (121.667893 24.712792),2023-07-13T00:00:00,2023-07-14T00:19:50.5
ILA105853,105853,下湖口,POINT (121.66778 24.71259),2023-07-13T00:00:00,2023-07-14T00:19:50.5
ILA105855,105855,下湖路,POINT (121.6284 24.66245),2023-07-13T00:00:00,2023-07-14T00:19:50.5
ILA105862,105862,下福村,POINT (121.49882 23.45971),2023-07-13T00:00:00,2023-07-14T00:19:50.547
ILA105865,105865,下福活動中心,POINT (121.823850836402 24.6626144494579),2023-07-13T00:00:00,2023-07-14T00:19:50.61
ILA105890,105890,王爺廟,POINT (121.833339 24.687579),2023-07-13T00:00:00,2023-07-14T00:19:50.577
ILA105863,105863,下福村,POINT (121.49882 23.45971),2023-07-13T00:00:00,2023-07-14T00:19:50.5
ILA105868,105868,下興南路,POINT (121.82513 24.65802),2023-07-13T00:00:00,2023-07-14T00:19:50.563
ILA105897,105897,大同加油站,POINT (121.60438 24.67103),2023-07-13T00:00:00,2023-07-14T00:19:50.593
ILA105867,105867,下興南路,POINT (121.825 24.65797),2023-07-13T00:00:00,2023-07-14T00:19:50.577
ILA105894,105894,大同鄉公所,POINT (121.60987 24.67601),2023-07-13T00:00:00,2023-07-14T00:19:50.623
ILA105913,105913,大坑,POINT (121.68238 24.66739),2023-07-13T00:00:00,2023-07-14T00:19:50.67
ILA105937,105937,大洲,POINT (121.72908 24.69297),2023-07-13T00:00:00,2023-07-14T00:19:50.657
ILA105889,105889,王爺廟,POINT (121.833267 24.687388),2023-07-13T00:00:00,2023-07-14T00:19:50.593
ILA105923,105923,大坡,POINT (121.74118 24.77917),2023-07-13T00:00:00,2023-07-14T00:19:50.64
ILA105963,105963,大湖,POINT (121.67119 24.6678),2023-07-13T00:00:00,2023-07-14T00:19:50.657
ILA105895,105895,大同鄉公所,POINT (121.60976 24.67638),2023-07-13T00:00:00,2023-07-14T00:19:50.563
ILA105938,105938,大洲,POINT (121.728963 24.693018),2023-07-13T00:00:00,2023-07-14T00:19:50.703
ILA105914,105914,大坑,POINT (121.68259 24.66751),2023-07-13T00:00:00,2023-07-14T00:19:50.657
ILA105924,105924,大坡,POINT (121.74127 24.77905),2023-07-13T00:00:00,2023-07-14T00:19:50.67
ILA105989,105989,大福水門,POINT (121.81754 24.8078),2023-07-13T00:00:00,2023-07-14T00:19:50.717
ILA105985,105985,大義,POINT (121.71463 24.68606),2023-07-13T00:00:00,2023-07-14T00:19:50.75
ILA105987,105987,大福海濱遊憩區,POINT (121.816976 24.802297),2023-07-13T00:00:00,2023-07-14T00:19:50.717
ILA106094,106094,中華國中,POINT (121.76749 24.75138),2023-07-13T00:00:00,2023-07-14T00:19:50.75
ILA105962,105962,大湖,POINT (121.67124 24.6679),2023-07-13T00:00:00,2023-07-14T00:19:50.657
ILA105990,105990,大福水門,POINT (121.81741 24.80796),2023-07-13T00:00:00,2023-07-14T00:19:50.78
ILA106123,106123,五大楓林,POINT (121.78243 24.74767),2023-07-13T00:00:00,2023-07-14T00:19:50.797
ILA105986,105986,大義,POINT (121.7146 24.68616),2023-07-13T00:00:00,2023-07-14T00:19:50.733
