StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
PIF114396,114396,介壽路,POINT (120.536167 22.543586),2023-07-13T00:00:00,2023-07-14T00:19:38.873
PIF117967,117967,神山社區,POINT (120.72718 22.750803),2023-07-13T00:00:00,2023-07-14T00:19:38.873
PIF106859,106859,枋寮醫院,POINT (120.59661 22.36433),2023-07-13T00:00:00,2023-07-14T00:19:38.89
PIF117964,117964,神山,POINT (120.727232 22.750775),2023-07-13T00:00:00,2023-07-14T00:19:38.873
PIF114364,114364,介壽路,POINT (120.536170969209 22.5440550720034),2023-07-13T00:00:00,2023-07-14T00:19:38.873
PIF117467,117467,榮民醫院,POINT (120.600656 22.674278),2023-07-13T00:00:00,2023-07-14T00:19:38.873
PIF114385,114385,安泰醫院,POINT (120.45889 22.47433),2023-07-13T00:00:00,2023-07-14T00:19:38.873
PIF117961,117961,三地門鄉公所,POINT (120.65433 22.71592),2023-07-13T00:00:00,2023-07-14T00:19:38.873
PIF118652,118652,玉泉社區,POINT (120.6186 22.70821),2023-07-13T00:00:00,2023-07-14T00:19:38.983
PIF129103,129103,古樓,POINT (120.63611 22.52609),2023-07-13T00:00:00,2023-07-14T00:19:38.953
PIF118441,118441,來義鄉公所,POINT (120.63146 22.5258),2023-07-13T00:00:00,2023-07-14T00:19:38.967
PIF121899,121899,安泰醫院,POINT (120.45894 22.47448),2023-07-13T00:00:00,2023-07-14T00:19:38.967
PIF120647,120647,西勢,POINT (120.525794 22.620788),2023-07-13T00:00:00,2023-07-14T00:19:38.953
PIF118430,118430,來義鄉公所,POINT (120.63146 22.5258),2023-07-13T00:00:00,2023-07-14T00:19:38.967
PIF118651,118651,三和村,POINT (120.608817 22.703018),2023-07-13T00:00:00,2023-07-14T00:19:38.937
PIF120667,120667,西勢,POINT (120.525794 22.620788),2023-07-13T00:00:00,2023-07-14T00:19:38.967
PIF133465,133465,霧台,POINT (120.732097 22.744393),2023-07-13T00:00:00,2023-07-14T00:19:39.03
PIF129105,129105,屏東公園,POINT (120.492684404202 22.6737671682087),2023-07-13T00:00:00,2023-07-14T00:19:39.047
PIF133463,133463,霧台,POINT (120.732097 22.744393),2023-07-13T00:00:00,2023-07-14T00:19:39.047
PIF129329,129329,勵古百合,POINT (120.58597 22.69688),2023-07-13T00:00:00,2023-07-14T00:19:39.063
PIF131626,131626,上水門,POINT (120.6444 22.709962),2023-07-13T00:00:00,2023-07-14T00:19:39.03
PIF129104,129104,來義國小,POINT (120.64934 22.52819),2023-07-13T00:00:00,2023-07-14T00:19:39.047
PIF129328,129328,百合部落園區,POINT (120.58598 22.69634),2023-07-13T00:00:00,2023-07-14T00:19:39.017
PIF133462,133462,霧台鄉公所,POINT (120.727633 22.749208),2023-07-13T00:00:00,2023-07-14T00:19:39.03
PIF134326,134326,四溝,POINT (120.727198 22.009175),2023-07-13T00:00:00,2023-07-14T00:19:39.123
PIF134333,134333,屏東轉運站,POINT (120.485111 22.669445),2023-07-13T00:00:00,2023-07-14T00:19:39.11
PIF134335,134335,博愛路口,POINT (120.482888 22.67083),2023-07-13T00:00:00,2023-07-14T00:19:39.11
PIF134329,134329,恆春監工站,POINT (120.74341 22.00748),2023-07-13T00:00:00,2023-07-14T00:19:39.14
PIF134330,134330,墾丁活動中心,POINT (120.802966 21.942662),2023-07-13T00:00:00,2023-07-14T00:19:39.093
PIF134325,134325,恆春轉運站,POINT (120.744873 22.002817),2023-07-13T00:00:00,2023-07-14T00:19:39.123
PIF134328,134328,小灣,POINT (120.805412 21.941752),2023-07-13T00:00:00,2023-07-14T00:19:39.093
PIF134331,134331,恆春轉運站,POINT (120.7449 22.00273),2023-07-13T00:00:00,2023-07-14T00:19:39.11
PIF134337,134337,光復和平路口,POINT (120.478283 22.670495),2023-07-13T00:00:00,2023-07-14T00:19:39.217
PIF134343,134343,復興圖書館,POINT (120.481399 22.660382),2023-07-13T00:00:00,2023-07-14T00:19:39.187
PIF134339,134339,僑勇國小,POINT (120.74373 22.00906),2023-07-13T00:00:00,2023-07-14T00:19:39.267
PIF134340,134340,建國和平路口,POINT (120.478588 22.66645),2023-07-13T00:00:00,2023-07-14T00:19:39.187
PIF134342,134342,崇大社區,POINT (120.478847 22.662525),2023-07-13T00:00:00,2023-07-14T00:19:39.217
PIF134341,134341,恆春衛生所,POINT (120.74476 21.99766),2023-07-13T00:00:00,2023-07-14T00:19:39.187
PIF134338,134338,恆春衛生所,POINT (120.74476 21.99766),2023-07-13T00:00:00,2023-07-14T00:19:39.187
PIF134336,134336,墾丁國小,POINT (120.801743 21.943498),2023-07-13T00:00:00,2023-07-14T00:19:39.25
PIF134345,134345,五公寺,POINT (120.746162 21.994076),2023-07-13T00:00:00,2023-07-14T00:19:39.327
PIF134349,134349,建國和平路口,POINT (120.478472 22.66651),2023-07-13T00:00:00,2023-07-14T00:19:39.267
PIF134351,134351,博愛路口,POINT (120.482818 22.670718),2023-07-13T00:00:00,2023-07-14T00:19:39.28
PIF134348,134348,崇大社區,POINT (120.478862 22.662432),2023-07-13T00:00:00,2023-07-14T00:19:39.297
PIF134347,134347,永大路,POINT (120.477653 22.659745),2023-07-13T00:00:00,2023-07-14T00:19:39.373
PIF134350,134350,光復和平路口,POINT (120.47851 22.670317),2023-07-13T00:00:00,2023-07-14T00:19:39.327
