RouteName,RouteLength,Geometry,UpdateDate
環灣道路自行車道, ,"LINESTRING (120.49258099991323 22.439546000147857, 120.4924670000521 22.439105999642209, 120.4924320002367 22.4389759999425, 120.49226799986832 22.438686000058908, 120.49195499982341 22.438247999645512, 120.49169899970912 22.437968000223066, 120.49136799973348 22.437653000085959, 120.489751999855 22.436120999584489, 120.48919400020304 22.434700999751385, 120.48911800029555 22.433220999849311, 120.489104999696 22.432999999550361, 120.4890699998806 22.432838000173604, 120.48900499958108 22.432565000174691, 120.4888980000427 22.432379999737236, 120.48881199967411 22.432244999806926, 120.48864500006675 22.432029999784731, 120.48838799990631 22.431824000177528, 120.48780800013913 22.431552000224656, 120.48715199956519 22.431557999602035, 120.48686799995835 22.431590000178403, 120.48662599959027 22.431701999947393, 120.48239799976795 22.433756000239271, 120.48030500037555 22.434643999820764, 120.47804000024587 22.435849999677771, 120.46941199986395 22.440671999912922, 120.4634219997256 22.443628999578721, 120.4603849999678 22.445148000379959, 120.45751900000187 22.446904000419352, 120.45544100040195 22.448710000066512, 120.45276300011244 22.451230000264331, 120.45253999972124 22.451805999847068, 120.45248800002128 22.452342000283124, 120.45250099972145 22.452837999773919, 120.45268500011275 22.45325500011819, 120.45348500013267 22.455257999856883, 120.45441299976017 22.456864000173539, 120.45573200033164 22.458094000237963, 120.45680000011998 22.459079999842174, 120.45786699986218 22.459710000116445, 120.4581409999073 22.459908000254075, 120.45854299955988 22.460007000322832, 120.45926200034114 22.459769000139318, 120.46186900005432 22.459035999611729, 120.46457799997484 22.458197999638003, 120.46560299957878 22.457756999985634, 120.4700660003457 22.456387999806395, 120.47424999993757 22.455297999902825, 120.47595600036914 22.454900999581525, 120.47710400024948 22.454604000274458, 120.47829999964529 22.4544599999291, 120.4787970000815 22.454635999951506, 120.47929200042552 22.4548970002964, 120.47943699991765 22.45521299958034, 120.47958200030916 22.455582999555816, 120.47972999993965 22.456058999922959, 120.47993300030782 22.456529000013404, 120.48000600007686 22.456615000381987, 120.48010700023792 22.456691000289482, 120.48027499989144 22.456788000266044, 120.48038799970652 22.456832999643268, 120.4805170002594 22.456868000357986, 120.48079100030452 22.45686100003519, 120.48106300025734 22.456784000081598, 120.48159599965572 22.456594000312919, 120.48297899958118 22.45614200015325, 120.48350200031712 22.455914000430823, 120.48460299982867 22.455566999717291, 120.4854740004248 22.455356999925641, 120.48566800037793 22.455177999764942, 120.48574799957055 22.454998999604186, 120.48577800005467 22.454895000204147, 120.48578600042367 22.454761000319934, 120.48577599996247 22.454391000344458, 120.48602399970787 22.453981000322983, 120.48689300021181 22.453214000026151, 120.48724800039497 22.452765000004774, 120.48749300000202 22.452275999937513, 120.48756599977116 22.451786999870194, 120.48754100041685 22.447397999817895, 120.48758699984023 22.445907000307841, 120.48758899993243 22.445171999688114, 120.48780500000078 22.444495999990465, 120.488283999607 22.443820000292817, 120.48886999965077 22.443282999810663, 120.49100199994245 22.442399000413616, 120.49274300018942 22.4417189996322, 120.49286500041944 22.441600000439735, 120.49295400002711 22.441461000324978, 120.49294200037309 22.441021999865427, 120.49257499963653 22.439535999686711)",2018-06-06T00:00:00
東港鎮林邊?自行車道路網串連計畫-1,4100,"LINESTRING (120.51280800008919 22.45108599991903, 120.5129100002963 22.449576999578937, 120.51312200018026 22.44946399976385, 120.51313199974209 22.449178000064705, 120.51371699973981 22.4491860004336, 120.51402100026905 22.448524999629058, 120.51394100017706 22.446932999958051, 120.51280800008919 22.446858000096654, 120.51266099960549 22.447068999934459, 120.51098899984254 22.447069999980556, 120.51079699998161 22.44158699984024, 120.51063899989003 22.441640999632455, 120.51078400028143 22.449436000271248, 120.50594900034616 22.445322000310114, 120.50244599978316 22.442656999720839, 120.50157099990179 22.442189999768743, 120.50097999962736 22.441930000369268, 120.50045100041336 22.441766000000939, 120.49991099979286 22.441649000001405, 120.49936899997942 22.441511999978843, 120.49894500021162 22.441455000048279, 120.49842999984469 22.441417000094532, 120.49778000044671 22.441416000048434, 120.49749800003269 22.441422000325133)",2018-06-06T00:00:00
東港鎮林邊?自行車道路網串連計畫-2,10300,"LINESTRING (120.45255599955976 22.465613999886216, 120.45282200013526 22.466203000068447, 120.45297900018079 22.466672000112737, 120.45323100011058 22.467279000225744, 120.45352099999423 22.468059000222752, 120.45367499990141 22.468205999807083, 120.45407100017655 22.468447000129004, 120.45495899975811 22.468909999896653, 120.45682999970484 22.469882999800632, 120.45725999974923 22.470035999661718, 120.46373399972435 22.47005300044566, 120.46374000000105 22.469854000261932, 120.45742700025596 22.46984299975469, 120.45712699991122 22.469778000354495, 120.45678600037365 22.469657000170457, 120.45507899989605 22.468732999828148, 120.45409300029178 22.468233000152907, 120.45382799976244 22.468049999807704, 120.45355699985578 22.467774999716539, 120.45274500018172 22.465533999794332, 120.44853800042847 22.467615999578754, 120.44760599971721 22.468070999876772, 120.44723199955718 22.46831600038314, 120.44713200034164 22.468417999690985, 120.44696399978886 22.468746000427643, 120.44684399965092 22.46882499957411, 120.44583099970089 22.468487000174946, 120.44514300034928 22.468283999806772, 120.44448799982138 22.468056000084403, 120.44387200019275 22.4678790000159, 120.44355299987114 22.467894999854423, 120.44228799999132 22.467894999854423, 120.4407609997204 22.467682999970521, 120.43963700004758 22.467060000019046, 120.43870500023559 22.466341000137106, 120.43837400025996 22.466066000045942, 120.43833900044456 22.465907999954311, 120.4386949997745 22.465566000370643, 120.43898499965803 22.465680000231885, 120.440380000137 22.466752000204679, 120.44085200031964 22.467045000226619, 120.44239200029062 22.467316000133337, 120.44312099973445 22.46743900040957, 120.44405499963864 22.467377000248405, 120.44428000012192 22.467336000156308, 120.44424200016829 22.467104000249435, 120.44450000037477 22.467044000180522, 120.44475699963584 22.466821999835474, 120.44642500011378 22.46496300044214, 120.44602299956182 22.464632999613286, 120.44557999981726 22.464109999776724, 120.44466800002829 22.463192999757212, 120.44242600005987 22.461187999926324, 120.44234299982963 22.461253000225838, 120.44149999962531 22.460850999673937, 120.44118200024923 22.460673999605433)",2018-06-06T00:00:00
東港鎮林邊?自行車道路網串連計畫-3,10000,"LINESTRING (120.51582499982396 22.43122300034122, 120.51386500026956 22.423312999795144, 120.51284199985844 22.419747999970298, 120.51272699995116 22.419574000040143, 120.51085700005058 22.418116000253235, 120.51038299977563 22.417911999838964, 120.50940399959495 22.417629000278168, 120.5092060003567 22.417644000070595, 120.50736099981032 22.418883999696902, 120.50686100013513 22.419225000133679, 120.50657200029764 22.419480000201872, 120.50630999990665 22.419830000154434, 120.50604000004603 22.420083000130376, 120.50565600032417 22.420360000313792, 120.50480000041978 22.420943000219324, 120.50398100042287 22.421531000355458, 120.50354400005563 22.421838000123671, 120.50257600038219 22.422363000052485, 120.50232399955303 22.422502000167242, 120.49962199995537 22.424575000435993, 120.49798399996166 22.425437999763915, 120.49691800026551 22.425890999969738, 120.49536799983343 22.426564999575135, 120.49449099985986 22.427032999573328, 120.4937160000934 22.427406999733307, 120.49205299984612 22.428105000445441, 120.49109899991902 22.42848199984445, 120.49043699996764 22.42869499977445, 120.4899609996005 22.428801000166061, 120.48952700027087 22.428865999566256, 120.48947999990219 22.428885999589284, 120.48891199978902 22.429179999657322, 120.48805599988452 22.429624000347417, 120.48623899973006 22.430284000206484, 120.4847599998742 22.430709000020386, 120.48323799983393 22.431351999994831, 120.48133300011796 22.432226999876207, 120.48009699977683 22.432785000427486, 120.47965400003216 22.432947999850342, 120.47803299992302 22.433735000170145, 120.475488000371 22.434928000326977, 120.47482200023524 22.435227999772394, 120.47450399995967 22.435382999725732, 120.47425200002988 22.435515999563791, 120.47393099961596 22.435698999908993, 120.47311099957301 22.436178999561207, 120.47199899955422 22.43676999983569, 120.47081599985859 22.437506999648349, 120.47058399995171 22.437654000132056, 120.46918200004927 22.438357000175472, 120.46811000007654 22.438898999988908, 120.46592600008489 22.439978000284555, 120.46429999974521 22.440791000004708, 120.46371999997803 22.4410749996116, 120.46240799972952 22.441964000138569, 120.46059999999011 22.443193000156896, 120.45966199990141 22.443895000154157, 120.45869100008963 22.444653000036, 120.45851099988283 22.445208999595707, 120.45885999978918 22.445643999870754, 120.45811699969988 22.446146999684345, 120.4576699997707 22.446443999890732, 120.45728600004895 22.446791999751042, 120.45687099979682 22.447136000326225, 120.45599900005391 22.448005999976942, 120.45509299964226 22.448909000250239, 120.45445699999061 22.449500999671443, 120.45389500015415 22.450007999669481, 120.45373399992422 22.449858999992898, 120.45354500020164 22.449855999854549, 120.45298100027298 22.450214000176004, 120.45273799985887 22.450239999576354, 120.4516419996786 22.450122000430042, 120.45134799961056 22.4502550002681, 120.45052700042083 22.450958000311516, 120.44997099996169 22.451416999894661, 120.44946099982531 22.4519350004, 120.44943000019441 22.45204099989229, 120.44908899975758 22.452247000398813, 120.44812100008414 22.453274000095064, 120.44728700029486 22.454179999607334, 120.44677800020463 22.454725999605273, 120.44621300022982 22.455357999971795, 120.44582999965485 22.455751000108592, 120.44561200039357 22.455969000269192, 120.44506999968075 22.456248999691638, 120.44364300042423 22.457753999847284, 120.44276999973579 22.458700000304816, 120.44229300022187 22.459261000095125, 120.441768000293 22.459858999793084, 120.44157699957896 22.460099000068851, 120.44121900015682 22.460681999974383)",2018-06-06T00:00:00
東港鎮林邊?自行車道路網串連計畫-4,15000,"LINESTRING (120.52730999975677 22.428753999797323, 120.52334300027928 22.423131000395415, 120.52251699995963 22.420869999550916, 120.52198000037674 22.419061999811504, 120.52012000003799 22.417293000071936, 120.51963900033968 22.4172170001645, 120.51960299957886 22.415266000125882, 120.51860600036673 22.413615000432003, 120.51759999984017 22.412192999607271, 120.51759999984017 22.412108000184105, 120.51769399967839 22.411769999885621, 120.51784700043879 22.411528999563757, 120.51986199983151 22.41050700009805, 120.52140900012535 22.409760999870286, 120.52207500026111 22.409382000379082, 120.52440899997544 22.408252000429513, 120.52456700006701 22.40824099992227, 120.52520199967262 22.408383000175377, 120.52615899973807 22.407932000061805, 120.52704400008065 22.407520999994233, 120.5284229998216 22.406816999904663, 120.52867000042022 22.406589000182237, 120.53721299958033 22.402210999737918, 120.54431599978363 22.3985580003515, 120.54566299984765 22.398099999915132, 120.54617800021458 22.397805999847094, 120.54629600026021 22.39762899977859, 120.54814199995337 22.396559999944088, 120.54946199967162 22.395928999623663, 120.54965799971694 22.395845000246595, 120.54988400024649 22.39605299994605, 120.55067599989752 22.395182000249179, 120.55123899978003 22.394874999581589, 120.55163900023967 22.394854999558618, 120.55262499984394 22.394662999697744, 120.55498399981184 22.392903000373224, 120.55567600024733 22.392273000098953, 120.55743000019447 22.391038999850025, 120.5588360002813 22.390416999944648, 120.55981300036979 22.389847999785388, 120.56039300013686 22.389406000086865, 120.56195900040757 22.388177000068538, 120.56564100023206 22.386041999638621, 120.56831100015256 22.384321000313946, 120.57052100044393 22.382858000296551, 120.57106500034956 22.382647999605524, 120.57149400034791 22.38215999958436, 120.57413099964594 22.380393999983141, 120.57462399989777 22.379899999685279, 120.5757309996859 22.379236999687862, 120.57693000011943 22.378491000359418, 120.57777899970108 22.3777890003621, 120.57838799990634 22.377151999765033, 120.57899600006544 22.37668399976684, 120.57996699987723 22.375995000369016, 120.58057600008237 22.375540000071, 120.58127399989519 22.375049999957582, 120.58335899981807 22.373518000355489, 120.58454599969821 22.372685999759142, 120.58518000015692 22.372155999599727, 120.58616799985339 22.371283999856757, 120.58702799994228 22.370555000412992, 120.58884400005059 22.368920999704414, 120.59076799974343 22.367130999895778, 120.59142300027133 22.36766500023964)",2018-06-06T00:00:00
東港鎮林邊?自行車道路網串連計畫-5,8000,"LINESTRING (120.52113500008022 22.431485999879044, 120.52134499987187 22.431723000016461, 120.52178400033142 22.431583999901704, 120.52189199991597 22.431714999647568, 120.52270000030478 22.434876999773792, 120.522611999844 22.43497599984255, 120.52243299968325 22.435496000440139, 120.52247799995985 22.435718999931964, 120.52284199965857 22.437041999788505, 120.52287700037334 22.437655000178154, 120.52301599958878 22.438242000268133, 120.52311699974985 22.438377000198443, 120.52363000002458 22.438596000405141, 120.52374499993186 22.438682999920559, 120.52420899974561 22.439845999593274, 120.52348399958703 22.440013000099952, 120.52113800021857 22.440742000443038, 120.52070900022022 22.44102099981933, 120.52066399994374 22.441173999680416, 120.5207609999203 22.44203299972321, 120.5205089999904 22.44209299979218, 120.52042399966797 22.441597000301385, 120.52033800019865 22.441463999564007, 120.52028200031407 22.441401000256008, 120.52025800010665 22.441359000117814, 120.52013199969213 22.441188000326008, 120.52004300008446 22.441065000049775, 120.51993300040772 22.440922999796669, 120.51979899962419 22.440755000143213, 120.51973999960137 22.440687999751447, 120.51964100043187 22.440566999567409, 120.51960799980941 22.440527999567564, 120.51957400004017 22.440480000051991, 120.51953700013246 22.4404430001444, 120.5194400001559 22.440341999983389, 120.51853399974436 22.439417999641023, 120.51831000020638 22.439158000241548, 120.51823700043724 22.439061000264985, 120.5181970003913 22.439023000311238, 120.51813100004563 22.438947999550578, 120.51804899986155 22.438863000127412, 120.51799199993093 22.43878900031217, 120.51797400000021 22.438767000196947, 120.51795299993103 22.438740999897277, 120.51790799965454 22.438695999620734, 120.51785499990842 22.438635000404986, 120.51778600032367 22.438555000313045, 120.51774600027773 22.438507999944306, 120.5176320004166 22.438378000244541, 120.51748900011728 22.438209999691765, 120.51735900041763 22.437997999807919, 120.51728399965691 22.437896999646853, 120.5173330001179 22.437666999832231, 120.51738499981798 22.437338999994893, 120.51739700037137 22.437255999764602, 120.51738599986402 22.437008000019262, 120.51738299972567 22.436802000412058, 120.5173720001178 22.436692999882098, 120.51737500025615 22.436633999859282, 120.51736299970275 22.436490999560021, 120.51741000007155 22.436258999653148, 120.51743500032512 22.436108999930468, 120.51748399988674 22.435862000231168, 120.51663100012058 22.435609000255226, 120.51537499975655 22.436058000276546, 120.51527399959548 22.435977000138507, 120.51516600001094 22.436914000180991, 120.51521300037973 22.437390999694912, 120.5150560003342 22.437897999693007, 120.5149069997583 22.438304000429355, 120.51475099975892 22.438608000059219, 120.51271899958226 22.437182999995514)",2018-06-06T00:00:00
恆春東門自行車道,1300,"LINESTRING (120.75005927141831 22.001664480731279, 120.75012496869238 22.001657309537279, 120.75024281855133 22.001556992860969, 120.75098627909358 22.000395495955445, 120.75095922119112 22.000322053719856, 120.75081657792282 22.000229622299287, 120.75104420802381 21.999711217998367, 120.75114466049774 21.999411804011572, 120.75122772727786 21.999129307171813, 120.751198738531 21.99888569342005, 120.75108858776821 21.998705197686775, 120.75090147842059 21.998536705204856, 120.75066550620818 21.998470125695803, 120.7499951074883 21.998437900288934, 120.74915365321863 21.998312654405538, 120.74905704804439 21.998289366461165, 120.74884066846209 21.998129949937265, 120.74872474764902 21.997977685721651, 120.74848889684517 21.997711707629264, 120.74818171181664 21.997333753150258, 120.74811023280108 21.997199403429761, 120.74810829386274 21.99705251626068, 120.74817591208875 21.996894166332766, 120.74852751823039 21.996487534272319, 120.74860092449319 21.996303027562703, 120.74862990604538 21.996113151900488, 120.74862077702733 21.995924246606762, 120.74823767752684 21.995156904567523, 120.74815266641247 21.995018975545349, 120.74802516323075 21.994873882523734)",2019-11-21T00:00:00
單車鐵道-廣東南路至竹田鄉豐振路,9500,"LINESTRING (120.49463399656179 22.664634995708525, 120.50016999644822 22.656160998831069, 120.53871999623095 22.597794997141477, 120.53953600418333 22.596448001574061, 120.54039400328065 22.594427003703288, 120.54043700166631 22.593119999188673, 120.54015300295873 22.58992899682579, 120.53987900021571 22.586859000942184)",2019-11-21T00:00:00
屏東潮州鐵路橋下自行車道,1511,"MULTILINESTRING ((120.53736199565958 22.562676004494051, 120.53734099648989 22.562423997369649, 120.53731400513732 22.562070996379418, 120.5372979990035 22.561805997648719, 120.53728799854241 22.561653001384968, 120.53725999725111 22.561141999403787, 120.53722599568323 22.560617000374293, 120.53720700469955 22.560355000882623, 120.53717399868117 22.559995001368293, 120.53714399819705 22.559699004805282, 120.5370549949921 22.558828997959949, 120.53702399805911 22.558481999944377, 120.53698400161045 22.55809599743236, 120.53692799633006 22.557510002784454, 120.53688600428575 22.557087003962124, 120.53681600375558 22.556379997438967, 120.53676599965127 22.555858004843117, 120.53647399877605 22.553013003147612), (120.53557499958663 22.545213004076913, 120.53550600449853 22.544488000320996, 120.53542400431445 22.543643000024474, 120.5353370012017 22.542773998621215, 120.53524699705133 22.54184900452799, 120.53522099585234 22.541559999294577))",2019-11-21T00:00:00
屏東市廣東南路至竹田鄉豐振路鐵路橋下自行車道,1890,"MULTILINESTRING ((120.49466099960546 22.664643001473394, 120.50006799624111 22.656416001597222), (120.54004999641029 22.589186002132351, 120.53999400102236 22.588598998445093))",2019-11-21T00:00:00
