StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
PIF501401001,501401001,1,2,11,28,2023-07-04T00:15:16+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 5}"
PIF501401002,501401002,1,2,5,10,2023-07-10T01:06:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 1}"
PIF501401003,501401003,1,2,11,9,2023-07-12T22:59:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 5}"
PIF501401004,501401004,1,2,4,7,2023-07-11T09:39:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 1}"
PIF501401005,501401005,1,2,10,5,2023-07-13T13:00:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 3}"
PIF501401006,501401006,1,2,9,14,2023-07-11T20:53:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 3}"
PIF501401007,501401007,1,2,8,7,2023-07-06T04:31:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
PIF501401008,501401008,1,2,7,12,2023-07-09T12:38:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 1}"
PIF501401009,501401009,1,2,8,7,2023-07-13T22:57:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 4}"
PIF501401010,501401010,1,2,11,9,2023-07-09T11:29:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 3}"
PIF501401011,501401011,1,2,13,28,2023-07-12T16:24:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 6}"
PIF501401012,501401012,1,2,8,7,2023-07-09T15:03:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 1}"
PIF501401013,501401013,1,2,76,18,2023-07-13T00:19:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 59, 'ElectricBikes': 17}"
PIF501401014,501401014,1,2,4,11,2023-07-12T15:40:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 1}"
PIF501401015,501401015,1,2,7,23,2023-07-11T07:41:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 1}"
PIF501401016,501401016,1,2,38,18,2023-07-13T12:48:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 34, 'ElectricBikes': 4}"
PIF501401017,501401017,1,2,11,13,2023-07-13T00:23:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
