RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,RouteMapImageUrl,City,CityCode,UpdateTime,VersionID
PIF0032,0032,True,"[{'OperatorID': '97', 'OperatorName': {'Zh_tw': '屏東縣春日鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF003201', 'SubRouteID': '003201', 'OperatorIDs': ['97'], 'SubRouteName': {'Zh_tw': '幸福春日1路', 'En': '幸福春日1路'}, 'Headsign': '南和橋→春日鄉公所(北三村線)', 'HeadsignEn': 'Nan—He Bridge→Chunrih Township Office(North Three Village Line)', 'Direction': 0}, {'SubRouteUID': 'PIF003202', 'SubRouteID': '003202', 'OperatorIDs': ['97'], 'SubRouteName': {'Zh_tw': '幸福春日1路', 'En': '幸福春日1路'}, 'Headsign': '春日鄉公所→南和橋(北三村線)', 'HeadsignEn': 'Chunrih Township Office→Nan—He Bridge(North Three Village Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福春日1路', 'En': '幸福春日1路'}",南和橋,Nan-He Bridge,春日鄉公所,Chunrih Township Office,http://web.taiwanbus.tw/TMSData/Schematic/file/0032.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0033,0033,True,"[{'OperatorID': '97', 'OperatorName': {'Zh_tw': '屏東縣春日鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF003301', 'SubRouteID': '003301', 'OperatorIDs': ['97'], 'SubRouteName': {'Zh_tw': '幸福春日2路', 'En': '幸福春日2路'}, 'Headsign': '士文分駐所—春日鄉公所(南三村線)', 'HeadsignEn': 'Shih—Wun Police Station—Chunrih Township Office(South Three Village Line)', 'Direction': 0}, {'SubRouteUID': 'PIF003302', 'SubRouteID': '003302', 'OperatorIDs': ['97'], 'SubRouteName': {'Zh_tw': '幸福春日2路', 'En': '幸福春日2路'}, 'Headsign': '春日鄉公所—士文分駐所(南三村線)', 'HeadsignEn': 'Chunrih Township Office—Shih—Wun Police Station(South Three Village Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福春日2路', 'En': '幸福春日2路'}",士文分駐所,Shih-Wun Police Station,春日鄉公所,Chunrih Township Office,http://web.taiwanbus.tw/TMSData/Schematic/file/0033.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0039,0039,True,"[{'OperatorID': '110', 'OperatorName': {'Zh_tw': '屏東縣枋山鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF003901', 'SubRouteID': '003901', 'OperatorIDs': ['110'], 'SubRouteName': {'Zh_tw': '幸福枋山1路', 'En': '幸福枋山1路'}, 'Headsign': '東港醫療線', 'HeadsignEn': 'Donggang Medical Line', 'Direction': 0}, {'SubRouteUID': 'PIF003902', 'SubRouteID': '003902', 'OperatorIDs': ['110'], 'SubRouteName': {'Zh_tw': '幸福枋山1路', 'En': '幸福枋山1路'}, 'Headsign': '東港醫療線', 'HeadsignEn': 'Donggang Medical Line', 'Direction': 1}]",11,"{'Zh_tw': '幸福枋山1路', 'En': '幸福枋山1路'}",枋山鄉公所,Fangshan Township Office,東港漁港漁產品直銷中心,Hua Qiao Market,http://web.taiwanbus.tw/TMSData/Schematic/file/0039.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0040,0040,True,"[{'OperatorID': '107', 'OperatorName': {'Zh_tw': '一粒麥子基金會'}, 'OperatorCode': '', 'OperatorNo': '0101'}]",020,010,"[{'SubRouteUID': 'PIF004001', 'SubRouteID': '004001', 'OperatorIDs': ['107'], 'SubRouteName': {'Zh_tw': '幸福滿州2路', 'En': '幸福滿州2路'}, 'Headsign': '滿州鄉公所→恆春旅遊醫院(龍滿線)', 'HeadsignEn': 'Manjhou Township Office→Hengchun Tourism Hospital (Dragon Full Line)', 'Direction': 0}, {'SubRouteUID': 'PIF004002', 'SubRouteID': '004002', 'OperatorIDs': ['107'], 'SubRouteName': {'Zh_tw': '幸福滿州2路', 'En': '幸福滿州2路'}, 'Headsign': '恆春旅遊醫院→滿州鄉公所(龍滿線)', 'HeadsignEn': 'Hengchun Tourism Hospital →Manjhou Township Office(Dragon full Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福滿州2路', 'En': '幸福滿州2路'}",滿州鄉公所,Manjhou Township Office,恆春旅遊醫院,Hengchun Tourism Hospital,http://web.taiwanbus.tw/TMSData/Schematic/file/0040.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0043,0043,True,"[{'OperatorID': '95', 'OperatorName': {'Zh_tw': '屏東縣泰武鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF004301', 'SubRouteID': '004301', 'OperatorIDs': ['95'], 'SubRouteName': {'Zh_tw': '幸福泰武3路', 'En': '幸福泰武3路'}, 'Headsign': '泰武鄉公所→屏東火車站(屏東路線)', 'HeadsignEn': 'Taiwu Township Office→Pingtung Railway Station(Pingtung Line)', 'Direction': 0}, {'SubRouteUID': 'PIF004302', 'SubRouteID': '004302', 'OperatorIDs': ['95'], 'SubRouteName': {'Zh_tw': '幸福泰武3路', 'En': '幸福泰武3路'}, 'Headsign': '屏東火車站→泰武鄉公所(屏東路線)', 'HeadsignEn': 'Pingtung Railway Station→Taiwu Township Office(Pingtung Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福泰武3路', 'En': '幸福泰武3路'}",泰武鄉公所,Taiwu Township Office,屏東火車站,Pingtung Railway Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0043.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0044,0044,True,"[{'OperatorID': '95', 'OperatorName': {'Zh_tw': '屏東縣泰武鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF004401', 'SubRouteID': '004401', 'OperatorIDs': ['95'], 'SubRouteName': {'Zh_tw': '幸福泰武5路', 'En': '幸福泰武5路'}, 'Headsign': '泰武鄉公所→東港安泰醫院(潮州路線)', 'HeadsignEn': 'Taiwu Township Office→Donggang An Tai Hospital(Chaozhou Line)', 'Direction': 0}, {'SubRouteUID': 'PIF004402', 'SubRouteID': '004402', 'OperatorIDs': ['95'], 'SubRouteName': {'Zh_tw': '幸福泰武5路', 'En': '幸福泰武5路'}, 'Headsign': '東港安泰醫院→泰武鄉公所(潮州路線)', 'HeadsignEn': 'Donggang An Tai Hospital→Taiwu Township Office(Chaozhou Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福泰武5路', 'En': '幸福泰武5路'}",泰武鄉公所,Taiwu Township Office,東港安泰醫院,Donggang An Tai Hospital,http://web.taiwanbus.tw/TMSData/Schematic/file/0044.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0045,0045,True,"[{'OperatorID': '96', 'OperatorName': {'Zh_tw': '屏東縣來義鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF004501', 'SubRouteID': '004501', 'OperatorIDs': ['96'], 'SubRouteName': {'Zh_tw': '幸福來義5路', 'En': '幸福來義5路'}, 'Headsign': '來義鄉公所→屏東基督教醫院(大後—屏基醫院線)', 'HeadsignEn': 'Laiyi Township Office→Pingtung Christian Hospital(Da—Hou — Pingtung Christian Hospital Line)', 'Direction': 0}, {'SubRouteUID': 'PIF004502', 'SubRouteID': '004502', 'OperatorIDs': ['96'], 'SubRouteName': {'Zh_tw': '幸福來義5路', 'En': '幸福來義5路'}, 'Headsign': '屏東基督教醫院→來義鄉公所(大後—屏基醫院線)', 'HeadsignEn': 'Pingtung Christian Hospital→Laiyi Township Office(Da—Hou — Pingtung Christian Hospital Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福來義5路', 'En': '幸福來義5路'}",來義鄉公所,Laiyi Township Office,屏東基督教醫院,Pingtung Christian Hospital,http://web.taiwanbus.tw/TMSData/Schematic/file/0045.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0047,0047,True,"[{'OperatorID': '96', 'OperatorName': {'Zh_tw': '屏東縣來義鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF004701', 'SubRouteID': '004701', 'OperatorIDs': ['96'], 'SubRouteName': {'Zh_tw': '幸福來義7路', 'En': '幸福來義7路'}, 'Headsign': '來義鄉公所→潮榮聯合診所(醫療(潮州診所)接駁路線)', 'HeadsignEn': 'Laiyi Township Office→Chao Rong Clinic(Medical Shuttle Line)', 'Direction': 0}, {'SubRouteUID': 'PIF004702', 'SubRouteID': '004702', 'OperatorIDs': ['96'], 'SubRouteName': {'Zh_tw': '幸福來義7路', 'En': '幸福來義7路'}, 'Headsign': '潮榮聯合診所→來義鄉公所(醫療(潮州診所)接駁路線)', 'HeadsignEn': 'Chao Rong Clinic→Laiyi Township Office(Medical Shuttle Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福來義7路', 'En': '幸福來義7路'}",來義鄉公所,Laiyi Township Office,潮榮聯合診所,Chao Rong Clinic,http://web.taiwanbus.tw/TMSData/Schematic/file/0047.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0048,0048,True,"[{'OperatorID': '96', 'OperatorName': {'Zh_tw': '屏東縣來義鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF004801', 'SubRouteID': '004801', 'OperatorIDs': ['96'], 'SubRouteName': {'Zh_tw': '幸福來義2路', 'En': '幸福來義2路'}, 'Headsign': '來義鄉公所→屏東基督教醫院(南和—屏基醫院線)', 'HeadsignEn': 'Laiyi Township Office→Pingtung Christian Hospital(Nan—He — Pingtung Christian Hospital Line)', 'Direction': 0}, {'SubRouteUID': 'PIF004802', 'SubRouteID': '004802', 'OperatorIDs': ['96'], 'SubRouteName': {'Zh_tw': '幸福來義2路', 'En': '幸福來義2路'}, 'Headsign': '屏東基督教醫院→來義鄉公所(南和—屏基醫院線)', 'HeadsignEn': 'Pingtung Christian Hospital→Laiyi Township Office(Nan—He — Pingtung Christian Hospital Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福來義2路', 'En': '幸福來義2路'}",來義鄉公所,Laiyi Township Office,屏東基督教醫院,Pingtung Christian Hospital,http://web.taiwanbus.tw/TMSData/Schematic/file/0048.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
PIF0049,0049,True,"[{'OperatorID': '96', 'OperatorName': {'Zh_tw': '屏東縣來義鄉公所'}}]",020,010,"[{'SubRouteUID': 'PIF004901', 'SubRouteID': '004901', 'OperatorIDs': ['96'], 'SubRouteName': {'Zh_tw': '幸福來義3路', 'En': '幸福來義3路'}, 'Headsign': '來義鄉公所→枋寮醫院(新來義—枋寮醫院線)', 'HeadsignEn': 'Laiyi Township Office→FangLiao General Hospital(New Lai—Yi — FangLiao General Hospital Line)', 'Direction': 0}, {'SubRouteUID': 'PIF004902', 'SubRouteID': '004902', 'OperatorIDs': ['96'], 'SubRouteName': {'Zh_tw': '幸福來義3路', 'En': '幸福來義3路'}, 'Headsign': '枋寮醫院→來義鄉公所(新來義—枋寮醫院線)', 'HeadsignEn': 'FangLiao General Hospital→Laiyi Township Office(New Lai—Yi — FangLiao General Hospital Line)', 'Direction': 1}]",11,"{'Zh_tw': '幸福來義3路', 'En': '幸福來義3路'}",來義鄉公所,Laiyi Township Office,枋寮醫院,Fangliao Hospital,http://web.taiwanbus.tw/TMSData/Schematic/file/0049.jpg,PingtungCounty,PIF,2023-07-13T07:38:39+08:00,1790
