StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
CHA113168,113168,二林站,POINT (120.36983 23.90008),2023-07-13T00:00:00,2023-07-14T00:19:14.89
CHA115675,115675,市公所,POINT (120.5424987 24.0813976),2023-07-13T00:00:00,2023-07-14T00:19:14.89
CHA116244,116244,中小企銀,POINT (120.54128 24.08064),2023-07-13T00:00:00,2023-07-14T00:19:14.89
CHA117611,117611,民生路口,POINT (120.54192 24.08237),2023-07-13T00:00:00,2023-07-14T00:19:14.907
CHA104983,104983,彰化縣原住民生活館,POINT (120.56004 24.0865),2023-07-13T00:00:00,2023-07-14T00:19:14.89
CHA112329,112329,草屯,POINT (120.68385 23.97627),2023-07-13T00:00:00,2023-07-14T00:19:14.89
CHA116573,116573,橋南,POINT (120.478803 24.084552),2023-07-13T00:00:00,2023-07-14T00:19:14.89
CHA115937,115937,西門,POINT (120.475805240922 23.9594715357827),2023-07-13T00:00:00,2023-07-14T00:19:14.907
CHA117621,117621,二林工商,POINT (120.37744 23.89943),2023-07-13T00:00:00,2023-07-14T00:19:14.967
CHA119784,119784,工藝中心,POINT (120.69182 23.97979),2023-07-13T00:00:00,2023-07-14T00:19:14.967
CHA119875,119875,南開科技大學,POINT (120.697367 23.978959),2023-07-13T00:00:00,2023-07-14T00:19:14.967
CHA123390,123390,中庄子(彰南路),POINT (120.56678 24.08797),2023-07-13T00:00:00,2023-07-14T00:19:14.967
CHA123393,123393,大竹,POINT (120.58053251605 24.0850346205956),2023-07-13T00:00:00,2023-07-14T00:19:14.967
CHA123391,123391,山子腳,POINT (120.573210678256 24.0858950333836),2023-07-13T00:00:00,2023-07-14T00:19:14.967
CHA117683,117683,二林工商,POINT (120.3761861 23.8996375),2023-07-13T00:00:00,2023-07-14T00:19:14.967
CHA119877,119877,工藝中心,POINT (120.6915 23.97988),2023-07-13T00:00:00,2023-07-14T00:19:14.983
CHA123405,123405,溪尾寮路,POINT (120.62124 24.05022),2023-07-13T00:00:00,2023-07-14T00:19:15.03
CHA123394,123394,鮮乳廠,POINT (120.585498374022 24.0829555818905),2023-07-13T00:00:00,2023-07-14T00:19:15.047
CHA123406,123406,新厝子,POINT (120.622 24.04563),2023-07-13T00:00:00,2023-07-14T00:19:15.047
CHA123407,123407,觀光果園,POINT (120.62272 24.03895),2023-07-13T00:00:00,2023-07-14T00:19:15.047
CHA123397,123397,田中路,POINT (120.6033459 24.0808559),2023-07-13T00:00:00,2023-07-14T00:19:15.03
CHA123395,123395,香山里,POINT (120.589498 24.082732),2023-07-13T00:00:00,2023-07-14T00:19:15.03
CHA123403,123403,石牌坑,POINT (120.618129238567 24.0596676491839),2023-07-13T00:00:00,2023-07-14T00:19:15.047
CHA123404,123404,福田里,POINT (120.61958 24.05486),2023-07-13T00:00:00,2023-07-14T00:19:15.063
CHA123415,123415,下山腳,POINT (120.63058 24.00053),2023-07-13T00:00:00,2023-07-14T00:19:15.107
CHA123409,123409,竹林,POINT (120.62518 24.0214),2023-07-13T00:00:00,2023-07-14T00:19:15.107
CHA123417,123417,縣庄,POINT (120.635037 23.992347),2023-07-13T00:00:00,2023-07-14T00:19:15.107
CHA123412,123412,電信局,POINT (120.62837 24.00995),2023-07-13T00:00:00,2023-07-14T00:19:15.107
CHA123411,123411,社口,POINT (120.6285 24.01421),2023-07-13T00:00:00,2023-07-14T00:19:15.107
CHA123416,123416,猴坑口,POINT (120.6314 23.9975),2023-07-13T00:00:00,2023-07-14T00:19:15.123
CHA123413,123413,芬園,POINT (120.62835 24.0071),2023-07-13T00:00:00,2023-07-14T00:19:15.107
CHA123414,123414,寶藏寺,POINT (120.62982 24.00307),2023-07-13T00:00:00,2023-07-14T00:19:15.123
CHA123439,123439,碧山,POINT (120.6447 23.97091),2023-07-13T00:00:00,2023-07-14T00:19:15.17
CHA123418,123418,謝厝,POINT (120.635299575359 23.9912373742987),2023-07-13T00:00:00,2023-07-14T00:19:15.187
CHA123444,123444,縣庄,POINT (120.635082 23.992449),2023-07-13T00:00:00,2023-07-14T00:19:15.187
CHA123440,123440,靈安宮,POINT (120.64495 23.9731),2023-07-13T00:00:00,2023-07-14T00:19:15.203
CHA123419,123419,派出所前,POINT (120.637616921988 23.9879219694772),2023-07-13T00:00:00,2023-07-14T00:19:15.187
CHA123420,123420,寶山國小,POINT (120.6406179 23.9860011),2023-07-13T00:00:00,2023-07-14T00:19:15.17
CHA123421,123421,靈安宮,POINT (120.64485 23.97315),2023-07-13T00:00:00,2023-07-14T00:19:15.187
CHA123422,123422,碧山,POINT (120.644563160436 23.9708736414312),2023-07-13T00:00:00,2023-07-14T00:19:15.217
CHA123451,123451,芬園農會,POINT (120.6275692 24.0182379),2023-07-13T00:00:00,2023-07-14T00:19:15.25
CHA123445,123445,猴坑口,POINT (120.63143 23.99772),2023-07-13T00:00:00,2023-07-14T00:19:15.25
CHA123453,123453,舊社,POINT (120.62449 24.02632),2023-07-13T00:00:00,2023-07-14T00:19:15.267
CHA123452,123452,竹林,POINT (120.62542 24.0215),2023-07-13T00:00:00,2023-07-14T00:19:15.267
CHA123446,123446,下山腳,POINT (120.63077 24.00018),2023-07-13T00:00:00,2023-07-14T00:19:15.267
CHA123449,123449,電信局,POINT (120.62851 24.01013),2023-07-13T00:00:00,2023-07-14T00:19:15.25
CHA123460,123460,快官,POINT (120.61457 24.06709),2023-07-13T00:00:00,2023-07-14T00:19:15.313
CHA123447,123447,寶藏寺,POINT (120.62993 24.00303),2023-07-13T00:00:00,2023-07-14T00:19:15.233
CHA123462,123462,下快官,POINT (120.61014 24.07327),2023-07-13T00:00:00,2023-07-14T00:19:15.327
CHA123450,123450,社口,POINT (120.6285674 24.0141533),2023-07-13T00:00:00,2023-07-14T00:19:15.297
CHA123455,123455,新厝子,POINT (120.62219 24.04545),2023-07-13T00:00:00,2023-07-14T00:19:15.327
CHA123454,123454,觀光果園,POINT (120.6229089 24.0391212),2023-07-13T00:00:00,2023-07-14T00:19:15.313
CHA123461,123461,快官國小,POINT (120.6131272 24.0693135),2023-07-13T00:00:00,2023-07-14T00:19:15.327
CHA123472,123472,市子尾,POINT (120.5510646 24.0843369),2023-07-13T00:00:00,2023-07-14T00:19:15.373
