RouteName,RouteLength,Geometry,UpdateDate
百果山區自行車路線,22800,"LINESTRING (120.63638299797708 23.927581999409767, 120.63722999746642 23.927053001095203, 120.63831299974515 23.926541998214702)",2016-08-25T00:00:00
復興南路- 光復路-復興路,4400,"LINESTRING (120.42802999988464 24.060277999729976, 120.42907100022649 24.060860999635452, 120.4309650003346 24.060525000328539, 120.43217200023764 24.059876000077395, 120.43372800004727 24.058930999665961, 120.4375150002171 24.057829000108313, 120.43878100014308 24.052333000267822, 120.43967099981683 24.048448000075211, 120.43764399987072 24.047149999572866, 120.43528299981062 24.047580999663467, 120.43423199990696 24.048187999776417, 120.43084100001215 24.052302999783649, 120.42927499974155 24.055653999632455, 120.427557999702 24.057359000017868, 120.42762300000152 24.060257999706948)",2018-06-06T00:00:00
舊溪路一段與舊溪路二段,3600,"LINESTRING (120.50038600011385 23.894411000367427, 120.5005899996288 23.89328000037176, 120.50036399999863 23.892148000329996, 120.49922699972637 23.889884000246468, 120.49987099974692 23.882610000251361, 120.50214500029165 23.879754999893407, 120.50248899996745 23.875771999678079, 120.50288600028875 23.875164000418351, 120.5034540004018 23.874870000350313, 120.50427000026036 23.874615000282063, 120.50761699992472 23.871004000134576, 120.51306700034183 23.870729000043355, 120.51426900001445 23.870061999861434)",2018-06-06T00:00:00
二水名間段自行車道,3000,"LINESTRING (120.6363199995684 23.786689999743771, 120.63715999963438 23.79160299967873, 120.63712099963448 23.792023000161407, 120.63687600002743 23.792441999698553, 120.63721000014141 23.79265200038958, 120.63842500041346 23.791837999723953, 120.63933700020243 23.791411999863953, 120.6398969999467 23.791335999956459, 120.6404599998292 23.791321000164089, 120.64125699971078 23.791541999563663, 120.64273500041998 23.792538999675173, 120.64997899993091 23.794852000219691, 120.65141300040966 23.796717999935822, 120.65219799973795 23.797463000117432, 120.65296199989643 23.798015000392013, 120.65456299998255 23.798692000135759, 120.65486799965856 23.799025000203642, 120.65510399974983 23.799436000271271, 120.65519899963419 23.800148999876512)",2018-06-06T00:00:00
晉北路,130,"LINESTRING (120.51825600041411 24.148435000175141, 120.51868300032027 24.148345999668209, 120.51876899978959 24.148316000083412, 120.51882899985856 24.148261000245043, 120.51890499976594 24.148153999807278, 120.51900099969646 24.147971000361451, 120.51904900011129 24.147840999762366, 120.51907500041102 24.147716000293258, 120.51968899994745 24.147797999578074)",2018-06-06T00:00:00
地潭堤防,950,"LINESTRING (120.5169810000732 24.140099999815163, 120.51644499963709 24.142411000267487, 120.51624100012214 24.143800999616474, 120.51618200009932 24.14514200030311, 120.51653900037468 24.145196000095382, 120.51669200023571 24.145395000279109, 120.5168029999586 24.145614999632585, 120.51697199965815 24.145995000069263, 120.51725900030272 24.146588000435941, 120.51756099984038 24.14721599971864, 120.5179020002771 24.147837999624016, 120.5182199996533 24.14844099955252)",2018-06-06T00:00:00
和厝路,3426,"LINESTRING (120.4952869996954 24.120830999750865, 120.49514600038765 24.121282999910591, 120.49506800038796 24.121813000069949, 120.49519299985707 24.122404000344375, 120.49582800036194 24.122508999790568, 120.49636800008318 24.122835000434975, 120.49648400003662 24.123174999926334, 120.49700399973483 24.123336000156314, 120.4980240000076 24.123755999739672, 120.49898999958884 24.124439999806214, 120.49957100030144 24.125042999734717, 120.50019600034523 24.125916000423103, 120.50060799955963 24.126995999865528, 120.50322599978017 24.13062399989775, 120.50412099968446 24.131730999685942, 120.50495200023465 24.132741000396891, 120.50681599985853 24.134867999558594, 120.50857099985183 24.13637299971424, 120.50950499975602 24.137158999987889, 120.51032299970677 24.137693000331751, 120.51181800030054 24.138496999636857, 120.51291999985813 24.139223999887747, 120.51490999989664 24.139992000230677, 120.51605799977688 24.139909000000387, 120.51691699981973 24.140001999792503)",2018-06-06T00:00:00
嘉卿路,398,"LINESTRING (120.49179599968568 24.121896000300239, 120.49530499962611 24.120632999613292)",2018-06-06T00:00:00
和港路,1975,"LINESTRING (120.48875799988184 24.13725299982616, 120.49044799957562 24.128274000344902, 120.49165699957098 24.121954000276958, 120.49185399966245 24.12090400041933, 120.49203399986925 24.120330000029526, 120.49222299959183 24.1198830001004)",2018-06-06T00:00:00
彰美路6段,322,"LINESTRING (120.49222999991457 24.119855999754634, 120.49262900032818 24.11922999966481, 120.49310899998045 24.118627999782404, 120.49415000032229 24.117394000432796)",2018-06-06T00:00:00
