RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,RouteMapImageUrl,City,CityCode,UpdateTime,VersionID
CHA0016,0016,True,"[{'OperatorID': '55', 'OperatorName': {'Zh_tw': '中鹿客運', 'En': 'Chung-Lu Bus Co., Ltd.'}, 'OperatorCode': 'ChungluBus', 'OperatorNo': '0402'}]",015,010,"[{'SubRouteUID': 'CHA001601', 'SubRouteID': '001601', 'OperatorIDs': ['55'], 'SubRouteName': {'Zh_tw': '16路', 'En': '16路'}, 'Headsign': '彰化→朝馬(經台74線)', 'HeadsignEn': 'Changhua→Chaoma(via Provincial Highway No.74)', 'Direction': 0}, {'SubRouteUID': 'CHA001602', 'SubRouteID': '001602', 'OperatorIDs': ['55'], 'SubRouteName': {'Zh_tw': '16路', 'En': '16路'}, 'Headsign': '朝馬→彰化(經台74線)', 'HeadsignEn': 'Chaoma→Changhua(via Provincial Highway No.74)', 'Direction': 1}]",11,"{'Zh_tw': '16路', 'En': '16路'}",彰化火車站,Changhua Station,朝馬轉運站(朝富路),Chaoma Transfer Station(Chaofu Rd.),http://web.taiwanbus.tw/TMSData/Schematic/file/0016.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0465,0465,False,"[{'OperatorID': '60', 'OperatorName': {'Zh_tw': '彰化客運', 'En': 'Chang Hua Bus Co., Ltd.'}, 'OperatorCode': 'ChangHuaBus', 'OperatorNo': '1403'}]",015,010,"[{'SubRouteUID': 'CHA046501', 'SubRouteID': '046501', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '18路', 'En': '18路'}, 'Headsign': '彰化→八卦山→彰化(八卦山大佛線)', 'HeadsignEn': 'Changhua→Bagua Mountain→Changhua(Changhua Great Buddha Line)', 'Direction': 0}]",11,"{'Zh_tw': '18路', 'En': '18路'}",彰客彰化站,Changhua Station,彰客彰化站,Changhua Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0465.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0466,0466,True,"[{'OperatorID': '60', 'OperatorName': {'Zh_tw': '彰化客運', 'En': 'Chang Hua Bus Co., Ltd.'}, 'OperatorCode': 'ChangHuaBus', 'OperatorNo': '1403'}, {'OperatorID': '61', 'OperatorName': {'Zh_tw': '員林客運', 'En': 'Yuan Lin Bus Co., Ltd.'}, 'OperatorCode': 'YuanLinBus', 'OperatorNo': '1001'}]",015,010,"[{'SubRouteUID': 'CHA046601', 'SubRouteID': '046601', 'OperatorIDs': ['60', '61'], 'SubRouteName': {'Zh_tw': '19路', 'En': '19路'}, 'Headsign': '彰化→二林(經國道1號)', 'HeadsignEn': 'Changhua→Erlin(Via National Freeway No.1)', 'Direction': 0}, {'SubRouteUID': 'CHA046602', 'SubRouteID': '046602', 'OperatorIDs': ['60', '61'], 'SubRouteName': {'Zh_tw': '19路', 'En': '19路'}, 'Headsign': '二林→彰化(經國道1號)', 'HeadsignEn': 'Erlin→Changhua(Via National Freeway No.1)', 'Direction': 1}]",11,"{'Zh_tw': '19路', 'En': '19路'}",彰客彰化站,Changhua Station,員客二林站,Yuanlin Passenger Transport Erlin Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0466.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0502,0502,True,"[{'OperatorID': '61', 'OperatorName': {'Zh_tw': '員林客運', 'En': 'Yuan Lin Bus Co., Ltd.'}, 'OperatorCode': 'YuanLinBus', 'OperatorNo': '1001'}]",015,010,"[{'SubRouteUID': 'CHA050201', 'SubRouteID': '050201', 'OperatorIDs': ['61'], 'SubRouteName': {'Zh_tw': '20路', 'En': '20路'}, 'Headsign': '員林－經溪湖－二林', 'HeadsignEn': 'Yuanlin－Via Xihu Station－Erlin', 'Direction': 0}, {'SubRouteUID': 'CHA050202', 'SubRouteID': '050202', 'OperatorIDs': ['61'], 'SubRouteName': {'Zh_tw': '20路', 'En': '20路'}, 'Headsign': '二林－經溪湖－員林', 'HeadsignEn': 'Erlin－Via Xihu Station－Yuanlin', 'Direction': 1}]",11,"{'Zh_tw': '20路', 'En': '20路'}",員林站,Yuanlin Station,員客二林站,Yuanlin Passenger Transport Erlin Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0502.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0625,0625,True,"[{'OperatorID': '60', 'OperatorName': {'Zh_tw': '彰化客運', 'En': 'Chang Hua Bus Co., Ltd.'}, 'OperatorCode': 'ChangHuaBus', 'OperatorNo': '1403'}]",015,010,"[{'SubRouteUID': 'CHA062501', 'SubRouteID': '062501', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '17路', 'En': '17路'}, 'Headsign': '彰化→芬園(經縣庄)→草屯', 'HeadsignEn': 'Changhua→Fenyuan(Via Xianzhuang)→Caotun', 'Direction': 0}, {'SubRouteUID': 'CHA062502', 'SubRouteID': '062502', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '17路', 'En': '17路'}, 'Headsign': '草屯→芬園(經縣庄)→彰化', 'HeadsignEn': 'Caotun→Fenyuan(Via Xianzhuang)→Changhua', 'Direction': 1}, {'SubRouteUID': 'CHA0625A1', 'SubRouteID': '0625A1', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '17路A', 'En': '17路A'}, 'Headsign': '彰化→芬園(經縣庄)→草屯(繞駛台鳳社區)', 'HeadsignEn': 'Changhua→Fenyuan(Via Xianzhuang)→Caotun[VIA Taifeng Community]', 'Direction': 0}, {'SubRouteUID': 'CHA0625B1', 'SubRouteID': '0625B1', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '17路B', 'En': '17路B'}, 'Headsign': '彰化→芬園(經縣庄)→草屯（延駛 南開科技大學）', 'HeadsignEn': 'Changhua→Fenyuan(Via Xianzhuang)→Caotun(VIA Nankai University of Science and Technology)', 'Direction': 0}, {'SubRouteUID': 'CHA0625B2', 'SubRouteID': '0625B2', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '17路B', 'En': '17路B'}, 'Headsign': '草屯→芬園(經縣庄)→彰化（延駛 南開科技大學）', 'HeadsignEn': 'Caotun→Fenyuan(Via Xianzhuang)→Changhua(VIA Nankai University of Science and Technology)', 'Direction': 1}]",11,"{'Zh_tw': '17路', 'En': '17路'}",彰化,Changhua,草屯,Caotun,http://web.taiwanbus.tw/TMSData/Schematic/file/0625.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0702,0702,True,"[{'OperatorID': '61', 'OperatorName': {'Zh_tw': '員林客運', 'En': 'Yuan Lin Bus Co., Ltd.'}, 'OperatorCode': 'YuanLinBus', 'OperatorNo': '1001'}]",015,010,"[{'SubRouteUID': 'CHA070201', 'SubRouteID': '070201', 'OperatorIDs': ['61'], 'SubRouteName': {'Zh_tw': '6路', 'En': '6路'}, 'Headsign': '鹿港→員林(經員林轉運站)', 'HeadsignEn': 'Lukang→Yuanlin[Via Yuanlin Transfer Station]', 'Direction': 0}, {'SubRouteUID': 'CHA070202', 'SubRouteID': '070202', 'OperatorIDs': ['61'], 'SubRouteName': {'Zh_tw': '6路', 'En': '6路'}, 'Headsign': '員林→鹿港(經員林轉運站)', 'HeadsignEn': 'Yuanlin→Lukang[Via Yuanlin Transfer Station]', 'Direction': 1}]",11,"{'Zh_tw': '6路', 'En': '6路'}",鹿港乘車處,Lukang stop,員林站,Yuanlin Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0702.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0703,0703,False,"[{'OperatorID': '60', 'OperatorName': {'Zh_tw': '彰化客運', 'En': 'Chang Hua Bus Co., Ltd.'}, 'OperatorCode': 'ChangHuaBus', 'OperatorNo': '1403'}]",015,010,"[{'SubRouteUID': 'CHA070301', 'SubRouteID': '070301', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '1路', 'En': '1路'}, 'Headsign': '彰化→台鳳社區→彰化火車站', 'HeadsignEn': 'Changhua→Tai Feng→TRA Changhua station', 'Direction': 0}]",11,"{'Zh_tw': '1路', 'En': '1路'}",彰化站,Changhua Station,彰化站,Changhua Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0703.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0704,0704,True,"[{'OperatorID': '60', 'OperatorName': {'Zh_tw': '彰化客運', 'En': 'Chang Hua Bus Co., Ltd.'}, 'OperatorCode': 'ChangHuaBus', 'OperatorNo': '1403'}]",015,010,"[{'SubRouteUID': 'CHA070401', 'SubRouteID': '070401', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '2路', 'En': '2路'}, 'Headsign': '彰化→保警→彰化火車站', 'HeadsignEn': 'Changhua→Bao Jing→TRA Changhua station', 'Direction': 0}, {'SubRouteUID': 'CHA0704A1', 'SubRouteID': '0704A1', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '2路A', 'En': '2路A'}, 'Headsign': '彰化→保警→彰化火車站[延駛彰師大進德校區]', 'HeadsignEn': 'Changhua→Bao Jing→TRA Changhua station(Extended Changhua Universtiy of Education)', 'Direction': 0}]",11,"{'Zh_tw': '2路', 'En': '2路'}",彰化(三民路),Changhua Station,彰化(三民路),Changhua Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0704.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0705,0705,False,"[{'OperatorID': '60', 'OperatorName': {'Zh_tw': '彰化客運', 'En': 'Chang Hua Bus Co., Ltd.'}, 'OperatorCode': 'ChangHuaBus', 'OperatorNo': '1403'}]",015,010,"[{'SubRouteUID': 'CHA070501', 'SubRouteID': '070501', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '3路', 'En': '3路'}, 'Headsign': '彰化→彰基醫院→彰化火車站', 'HeadsignEn': 'Changhua→Changhua Christian Hospital→TRA Changhua station', 'Direction': 0}]",11,"{'Zh_tw': '3路', 'En': '3路'}",彰化(三民路),Changhua Station,彰化(三民路1),Train Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0705.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
CHA0717,0717,True,"[{'OperatorID': '60', 'OperatorName': {'Zh_tw': '彰化客運', 'En': 'Chang Hua Bus Co., Ltd.'}, 'OperatorCode': 'ChangHuaBus', 'OperatorNo': '1403'}]",015,010,"[{'SubRouteUID': 'CHA071701', 'SubRouteID': '071701', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '7路', 'En': '7路'}, 'Headsign': '員林→高鐵彰化站→田中火車站', 'HeadsignEn': 'Yuanlin→HSR Changhua Station→TRA Tianzhong Station', 'Direction': 0}, {'SubRouteUID': 'CHA071702', 'SubRouteID': '071702', 'OperatorIDs': ['60'], 'SubRouteName': {'Zh_tw': '7路', 'En': '7路'}, 'Headsign': '田中火車站→高鐵彰化站→員林', 'HeadsignEn': 'TRA Tianzhong Station→Speed Rail Changhua Station→Yuanlin', 'Direction': 1}]",11,"{'Zh_tw': '7路', 'En': '7路'}",員林轉運站,Yuanlin Bus Station,田中火車站,TRA Tianzhong Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0717.jpg,ChanghuaCounty,CHA,2023-07-13T07:38:39+08:00,1790
