CMSID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CMS-11-0090-037-01,THB,19.05.1,3000900003681F,道路新增,道路分段,,"['3000900003681F', '3000900003782F']","[{'LinkID': '3000900003681F', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900003782F', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-13-0010-015-01,THB,19.05.1,3000100001393H,道路新增,道路分段,,"['3000100001393H', '3000100001421H']","[{'LinkID': '3000100001393H', 'RoadID': '300010', 'RoadName': '台1線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000100001421H', 'RoadID': '300010', 'RoadName': '台1線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-23-0010-206-02,THB,19.05.1,3000100020634N,道路異動,數化精進,"EndNode,Length",['3000100020634N'],"[{'LinkID': '3000100020634N', 'RoadID': '300010', 'RoadName': '台1線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-31-0290-085-01,THB,19.05.1,3002900108530E,道路新增,道路合併,,['3002900108530E'],"[{'LinkID': '3002900108530E', 'RoadID': '300290', 'RoadName': '台29線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-33-0090-414-01,THB,19.05.1,3000900041433V,道路刪除,道路刪除,,[''],"[{'LinkID': '', 'RoadID': '', 'RoadName': '', 'RoadClass': None, 'RoadDirection': '', 'RoadDirectionID': '', 'Bearing': '', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0090-0-01,THB,19.05.1,3000900041338V,道路新增,道路分段/修改路名,,['3000900041338V'],"[{'LinkID': '3000900041338V', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0090-0-02,THB,19.05.1,3000900041527V,道路刪除,道路刪除,,[''],"[{'LinkID': '', 'RoadID': '', 'RoadName': '', 'RoadClass': None, 'RoadDirection': '', 'RoadDirectionID': '', 'Bearing': '', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0090-412-01,THB,19.05.1,3000900041338V,道路新增,道路分段/修改路名,,['3000900041338V'],"[{'LinkID': '3000900041338V', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0090-414-01,THB,19.05.1,3000900141561V,道路異動,路型改變,"EndMile,MileLength,Bearing,TypeName",['3000900141561V'],"[{'LinkID': '3000900141561V', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0260-003-01,THB,19.05.1,3002600000412T,道路新增,錯誤修正,,['3002600100412T'],"[{'LinkID': '3002600100412T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0260-013-01,THB,19.05.1,3002600001411T,道路新增,錯誤修正,,['3002600101411T'],"[{'LinkID': '3002600101411T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0260-018-01,THB,19.05.1,3002600001853T,道路新增,錯誤修正,,['3002600101853T'],"[{'LinkID': '3002600101853T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0260-018-02,THB,19.05.1,3002600001853T,道路新增,錯誤修正,,['3002600101853T'],"[{'LinkID': '3002600101853T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0260-028-01,THB,19.05.1,3002600002934T,道路新增,單變雙/錯誤修正,,['3002600102934T'],"[{'LinkID': '3002600102934T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0260-039-01,THB,19.05.1,3002600003984T,道路新增,錯誤修正,,['3002600103984T'],"[{'LinkID': '3002600103984T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-35-0260-041-01,THB,19.05.1,3002600004221T,道路新增,錯誤修正,,['3002600104221T'],"[{'LinkID': '3002600104221T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-41-0090-071-02,THB,19.05.1,3000900107073G,道路新增,道路合併,,['3000900107070G'],"[{'LinkID': '3000900107070G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
