VDID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
VD-35-0260-021-02,THB,19.05.1,3002600102377T,道路新增,錯誤修正,,['3002600002377T'],"[{'LinkID': '3002600002377T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-42-0090-124-01,THB,19.05.1,3000900013108G,道路新增,道路分段,,"['3000900013108G', '3000900013131G']","[{'LinkID': '3000900013108G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900013131G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-41-0070-122-01,THB,19.05.1,3000700012257G,道路異動,數化精進,"StartMile,MileLength,Bearing",['3000700012257G'],"[{'LinkID': '3000700012257G', 'RoadID': '300070', 'RoadName': '台7線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-023-01,THB,19.05.1,3002600102473T,道路新增,錯誤修正,,['3002600002473T'],"[{'LinkID': '3002600002473T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-33-0090-414-01,THB,19.05.1,3000900041338V,道路新增,道路分段/修改路名,,['3000900041338V'],"[{'LinkID': '3000900041338V', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-35-0260-042-02,THB,19.05.1,3002600104327T,道路新增,錯誤修正,,['3002600004327T'],"[{'LinkID': '3002600004327T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-12-001A-009-01,THB,19.05.1,3000110000940F,道路新增,錯誤修正,,['3000110100927F'],"[{'LinkID': '3000110100927F', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-16-0010-087-01,THB,19.05.1,3000110100450F,道路新增,錯誤修正,,['3000110000429F'],"[{'LinkID': '3000110000429F', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-13-001A-021-01,THB,19.05.1,3000110102065H,道路新增,錯誤修正,,['3000110002011H'],"[{'LinkID': '3000110002011H', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
VD-24-014B-016-01,THB,19.05.1,3001420001580M,道路新增,單變雙/道路合併,,['3001420001580M'],"[{'LinkID': '3001420001580M', 'RoadID': '300142', 'RoadName': '台14乙線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
