CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-12-0010-013-01,THB,19.05.1,3000110101492F,道路新增,錯誤修正,,['3000110001439F'],"[{'LinkID': '3000110001439F', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-12-001A-004-01,THB,19.05.1,3000110000451F,道路新增,錯誤修正,,['3000110100429F'],"[{'LinkID': '3000110100429F', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-12-001A-009-01,THB,19.05.1,3000110100989F,道路新增,錯誤修正,,['3000110000940F'],"[{'LinkID': '3000110000940F', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-12-0090-037-02,THB,19.05.1,3000900003681F,道路新增,道路分段,,"['3000900003681F', '3000900003782F']","[{'LinkID': '3000900003681F', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900003782F', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-13-0010-014-01,THB,19.05.1,3000110001616H,道路新增,錯誤修正,,['3000110101521H'],"[{'LinkID': '3000110101521H', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-13-0010-020-01,THB,19.05.1,3000110102154H,道路新增,錯誤修正,,['3000110002087H'],"[{'LinkID': '3000110002087H', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-13-001A-017-01,THB,19.05.1,3000110101719H,道路新增,錯誤修正,,['3000110001618H'],"[{'LinkID': '3000110001618H', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-13-001A-021-01,THB,19.05.1,3000110102087H,道路新增,錯誤修正,,['3000110002075H'],"[{'LinkID': '3000110002075H', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-13-001A-025-01,THB,19.05.1,3000110002545H,道路新增,錯誤修正,,['3000110102508H'],"[{'LinkID': '3000110102508H', 'RoadID': '300011', 'RoadName': '台1甲線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-26-014A-032-01,THB,19.05.1,3001410003284U,道路刪除,道路合併,,['3001410003284U'],"[{'LinkID': '3001410003284U', 'RoadID': '300141', 'RoadName': '台14甲線', 'RoadClass': 3, 'RoadDirection': '0', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-26-014A-032-02,THB,19.05.1,3001410003284U,道路刪除,道路合併,,['3001410003284U'],"[{'LinkID': '3001410003284U', 'RoadID': '300141', 'RoadName': '台14甲線', 'RoadClass': 3, 'RoadDirection': '0', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-27-0210-109-01,THB,19.05.1,3002100010861M,道路異動,路型改變,"EndNode,Length",['3002100010861M'],"[{'LinkID': '3002100010861M', 'RoadID': '300210', 'RoadName': '台21線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-27-0210-110-01,THB,19.05.1,3002100010861M,道路異動,路型改變,"EndNode,Length",['3002100010861M'],"[{'LinkID': '3002100010861M', 'RoadID': '300210', 'RoadName': '台21線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-31-0010-360-01,THB,19.05.1,3000100135958E,道路異動,數化精進,"StartNode,Length",['3000100135958E'],"[{'LinkID': '3000100135958E', 'RoadID': '300010', 'RoadName': '台1線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-31-0290-085-02,THB,19.05.1,3002900108530E,道路新增,道路合併,,['3002900108530E'],"[{'LinkID': '3002900108530E', 'RoadID': '300290', 'RoadName': '台29線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-33-0090-000-01,THB,19.05.1,3000900141338V,道路新增,道路分段/修改路名,,['3000900141338V'],"[{'LinkID': '3000900141338V', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-33-0090-412-01,THB,19.05.1,3000900141338V,道路新增,道路分段/修改路名,,['3000900141338V'],"[{'LinkID': '3000900141338V', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-33-0090-414-01,THB,19.05.1,3000900141338V,道路新增,道路分段/修改路名,,['3000900141338V'],"[{'LinkID': '3000900141338V', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-34-0200-058-01,THB,19.05.1,3002000005760E,道路新增,道路合併,,['3002000005760E'],"[{'LinkID': '3002000005760E', 'RoadID': '300200', 'RoadName': '台20線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-35-0010-460-01,THB,19.05.1,3000100045977T,道路新增,數化精進,,['3000100045985T'],"[{'LinkID': '3000100045985T', 'RoadID': '300010', 'RoadName': '台1線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-35-0260-000-01,THB,19.05.1,3002600100312T,道路新增,錯誤修正,,['3002600000312T'],"[{'LinkID': '3002600000312T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-35-0260-003-01,THB,19.05.1,3002600000412T,道路新增,錯誤修正,,['3002600100412T'],"[{'LinkID': '3002600100412T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-35-0260-018-01,THB,19.05.1,3002600001853T,道路新增,錯誤修正,,['3002600101853T'],"[{'LinkID': '3002600101853T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-35-0260-018-02,THB,19.05.1,3002600101853T,道路新增,錯誤修正,,['3002600001853T'],"[{'LinkID': '3002600001853T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-35-0260-021-01,THB,19.05.1,3002600002167T,道路新增,錯誤修正,,['3002600102167T'],"[{'LinkID': '3002600102167T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-35-0260-021-02,THB,19.05.1,3002600102377T,道路新增,錯誤修正,,['3002600002377T'],"[{'LinkID': '3002600002377T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-35-0260-029-01,THB,19.05.1,3002600103033T,道路新增,錯誤修正,,['3002600003033T'],"[{'LinkID': '3002600003033T', 'RoadID': '300260', 'RoadName': '台26線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
