CMSID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CMS-N1-L-250-W-1,NFB,19.05.1,0000101153030Q,道路異動,數化精進,"EndNode,Length",['0000101153030Q'],"[{'LinkID': '0000101153030Q', 'RoadID': '000010', 'RoadName': '大林交流道', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-N1-N-338-L-W-1,NFB,19.05.1,6210860600120E,道路異動,數化精進,"EndNode,Length",['6210860600120E'],"[{'LinkID': '6210860600120E', 'RoadID': '621086', 'RoadName': '環球路', 'RoadClass': 6, 'RoadDirection': 'W', 'RoadDirectionID': '6', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-N1-S-197.200-M,NFB,19.05.1,0000100019700N,道路異動,數化精進,"EndNode,Length",['0000100019700N'],"[{'LinkID': '0000100019700N', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-N1-S-228.790-M,NFB,19.05.1,0000100022900P,道路異動,數化精進,"StartNode,EndNode,Length",['0000100022900P'],"[{'LinkID': '0000100022900P', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-N1-S-249.310-M,NFB,19.05.1,0000100024900Q,道路異動,數化精進,"EndNode,Length",['0000100024900Q'],"[{'LinkID': '0000100024900Q', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-N1-S-371.330-M,NFB,19.05.1,0000100037100E,道路異動,數化精進,"EndNode,Length",['0000100037100E'],"[{'LinkID': '0000100037100E', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-N1-S-374-L-E-1,NFB,19.05.1,0000101076010E,道路異動,數化精進,"StartNode,Length",['0000101076010E'],"[{'LinkID': '0000101076010E', 'RoadID': '000010', 'RoadName': '高雄端', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-N3-N-280.495-M,NFB,19.05.1,0000300128040Q,道路異動,數化精進,"EndNode,Length",['0000300128040Q'],"[{'LinkID': '0000300128040Q', 'RoadID': '000030', 'RoadName': '國道3號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-T86-E-5.661-M,NFB,19.05.1,1008600000540D,道路異動,分段位置改變,"EndMile,MileLength,Bearing",['1008600000540D'],"[{'LinkID': '1008600000540D', 'RoadID': '100860', 'RoadName': '台86線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-T86-W-6.695-M,NFB,19.05.1,1008600100610D,道路異動,分段位置改變,"EndMile,MileLength,Bearing",['1008600100610D'],"[{'LinkID': '1008600100610D', 'RoadID': '100860', 'RoadName': '台86線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
