CCTVID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CCTV-N1-N-250.5-M,NFB,19.05.1,0000100125010Q,道路異動,數化精進,"EndNode,Length",['0000100125010Q'],"[{'LinkID': '0000100125010Q', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N1-N-303.48-M,NFB,19.05.1,0000101160050D,道路異動,道路延伸,"EndNode,Length,Bearing",['0000101160050D'],"[{'LinkID': '0000101160050D', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N1-N-303.65-M,NFB,19.05.1,0000100130350D,道路異動,數化精進,"EndMile,MileLength,Bearing",['0000100130350D'],"[{'LinkID': '0000100130350D', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'N', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N1-N-372.41-M,NFB,19.05.1,0000101175050E,道路異動,數化精進,"StartNode,Length",['0000101175050E'],"[{'LinkID': '0000101175050E', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N1-N-372.6-M,NFB,19.05.1,0000100137300E,道路異動,數化精進,"StartNode,EndNode,Length",['0000100137300E'],"[{'LinkID': '0000100137300E', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N1-S-228.5-M,NFB,19.05.1,0000100022800P,道路異動,數化精進,"StartNode,EndNode,Length,NodeID",['0000100022800P'],"[{'LinkID': '0000100022800P', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N1-S-229.6-M,NFB,19.05.1,0000100022920P,道路異動,數化精進,"StartNode,Length",['0000100022920P'],"[{'LinkID': '0000100022920P', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N1-S-303.8-M,NFB,19.05.1,0000100030350D,道路異動,數化精進,"StartMile,MileLength,Bearing",['0000100030350D'],"[{'LinkID': '0000100030350D', 'RoadID': '000010', 'RoadName': '國道1號', 'RoadClass': 0, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'S', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N3-N-279.255-M,NFB,19.05.1,0000300127910Q,道路異動,數化精進,"StartNode,Length",['0000300127910Q'],"[{'LinkID': '0000300127910Q', 'RoadID': '000030', 'RoadName': '國道3號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-N3-N-280.495-M,NFB,19.05.1,0000300128040Q,道路異動,數化精進,"EndNode,Length",['0000300128040Q'],"[{'LinkID': '0000300128040Q', 'RoadID': '000030', 'RoadName': '國道3號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-T86-E-5.576-M,NFB,19.05.1,1008600000540D,道路異動,分段位置改變,"EndMile,MileLength,Bearing",['1008600000540D'],"[{'LinkID': '1008600000540D', 'RoadID': '100860', 'RoadName': '台86線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-T86-W-0.035-M,NFB,19.05.1,1008601101000D,道路異動,分段位置改變,"StartNode,Length,Bearing",['1008601101000D'],"[{'LinkID': '1008601101000D', 'RoadID': '100860', 'RoadName': '台86線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-T86-W-6.319-M,NFB,19.05.1,1008600100610D,道路異動,分段位置改變,"EndMile,MileLength,Bearing",['1008600100610D'],"[{'LinkID': '1008600100610D', 'RoadID': '100860', 'RoadName': '台86線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CCTV-T76-W-28.24-M,NFB,20.07.1,1007600102750N,道路異動,數化精進,"StartNode,Length",['1007600102750N'],"[{'LinkID': '1007600102750N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'W', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-N5-N-53.9-M,NFB,20.07.1,0000501107030G,道路異動,路型改變,"Bearing,StartNode,Length",['0000501107030G'],"[{'LinkID': '0000501107030G', 'RoadID': '000050', 'RoadName': '國道5號', 'RoadClass': 0, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CCTV-T76-E-29.84-M,NFB,20.07.1,1007600002900N,道路異動,數化精進,"StartNode,EndNode,Length",['1007600002900N'],"[{'LinkID': '1007600002900N', 'RoadID': '100760', 'RoadName': '台76線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
