StationUID,StationName,City,Exits,Version,UpdateDate,InfoDate,SrcUpdateDate,DataSource
TYMC-A1,臺北車站,Taipei,"[{'ExitName': '臺北車站出口1', 'LocationNote': '市民大道臺北地下街出口Y12西面', 'PositionLat': 25.04855, 'PositionLon': 121.5149, 'RoadID': '600817A', 'RoadName': '鄭州路', 'LinkID': '6008170200040A', 'Bearing': 'E'}, {'ExitName': '臺北車站出口3', 'LocationNote': '市民大道與重慶北路一段交叉口東南面', 'PositionLat': 25.04898, 'PositionLon': 121.5136, 'RoadID': '600821A', 'RoadName': '重慶北路一段', 'LinkID': '6008210000030A', 'Bearing': 'N'}, {'ExitName': '臺北車站出口5', 'LocationNote': '市民大道與重慶北路一段交叉口西南面', 'PositionLat': 25.04897, 'PositionLon': 121.5127, 'RoadID': '600821A', 'RoadName': '重慶北路一段', 'LinkID': '6008210400030A', 'Bearing': 'S'}, {'ExitName': '臺北車站出口6', 'LocationNote': '市民大道近延平北路交叉東南面', 'PositionLat': 25.04945, 'PositionLon': 121.5121, 'RoadID': '600817A', 'RoadName': '鄭州路', 'LinkID': '6008170200030A', 'Bearing': 'E'}, {'ExitName': '臺北車站出口7', 'LocationNote': '延平北路近市民大道交叉東南面', 'PositionLat': 25.04928, 'PositionLon': 121.512, 'RoadID': '600291A', 'RoadName': '延平北路一段', 'LinkID': '6002910000020A', 'Bearing': 'N'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A10,山鼻站,Taoyuan,"[{'ExitName': '山鼻站出口1', 'LocationNote': '南山路山鼻橋南面', 'PositionLat': 25.08082, 'PositionLon': 121.2854, 'RoadID': '636851H', 'RoadName': '南山路三段', 'LinkID': '6368510400024H', 'Bearing': 'S'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A11,坑口站,Taoyuan,"[{'ExitName': '坑口站出口1', 'LocationNote': '坑_路西南面', 'PositionLat': 25.08674, 'PositionLon': 121.2659, 'RoadID': '636331H', 'RoadName': '坑果路', 'LinkID': '6363310100030H', 'Bearing': 'NE'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A12,機場第一航廈站,Taoyuan,"[{'ExitName': '機場第一航廈站出口1', 'LocationNote': '機場第一航廈1號停車場', 'PositionLat': 25.08182, 'PositionLon': 121.2393, 'RoadID': '637116H', 'RoadName': '航站南路', 'LinkID': '6371160500010H', 'Bearing': 'SW'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A13,機場第二航廈站,Taoyuan,"[{'ExitName': '機場第二航廈站出口1', 'LocationNote': '機場第二航廈B1美食街東南面', 'PositionLat': 25.07746, 'PositionLon': 121.2323, 'RoadID': '637116H', 'RoadName': '航站南路', 'LinkID': '6371160500010H', 'Bearing': 'SW'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A14a,機場旅館站,Taoyuan,"[{'ExitName': '機場旅館站出口1', 'LocationNote': '諾富特飯店西面', 'PositionLat': 25.0691, 'PositionLon': 121.2209, 'RoadID': '637115H', 'RoadName': '航站北路', 'LinkID': '6371150100000H', 'Bearing': 'NE'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A15,大園站,Taoyuan,"[{'ExitName': '大園站出口1', 'LocationNote': '橫湳一路東面', 'PositionLat': 25.05618, 'PositionLon': 121.2103, 'RoadID': '638034H', 'RoadName': '橫湳路', 'LinkID': '6380340000000H', 'Bearing': 'N'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A16,橫山站,Taoyuan,"[{'ExitName': '橫山站出口1', 'LocationNote': '大竹南路北面', 'PositionLat': 25.03634, 'PositionLon': 121.2159, 'RoadID': '635139H', 'RoadName': '大竹南路', 'LinkID': '6351390600006H', 'Bearing': 'W'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A17,領航站,Taoyuan,"[{'ExitName': '領航站出口1', 'LocationNote': '領航北路四段北面', 'PositionLat': 25.02377, 'PositionLon': 121.2213, 'RoadID': '637945H', 'RoadName': '領航北路四段', 'LinkID': '6379450600010H', 'Bearing': 'W'}]",23.05.1,2023-05-05,,2022-11-01,TDX
TYMC-A18,高鐵桃園站,Taoyuan,"[{'ExitName': '高鐵桃園站出口1', 'LocationNote': '高鐵北路一段東面(高鐵桃園站)', 'PositionLat': 25.0133, 'PositionLon': 121.2141, 'RoadID': '637158H', 'RoadName': '高鐵北路一段', 'LinkID': '6371580100040H', 'Bearing': 'E'}, {'ExitName': '高鐵桃園站出口2', 'LocationNote': '高鐵北路一段西面(華泰名品城)', 'PositionLat': 25.01361, 'PositionLon': 121.2137, 'RoadID': '637158H', 'RoadName': '高鐵北路一段', 'LinkID': '6371580500060H', 'Bearing': 'SW'}]",23.05.1,2023-05-05,,2022-11-01,TDX
