RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
652001M,一部路,52001,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653097M,一新一巷,53097,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653098M,一新二巷,53098,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652002M,七賢一街,52002,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652003M,七賢一街,52003,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652004M,七賢二街,52004,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652005M,七賢二街,52005,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652006M,七賢路,52006,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652007M,九成街,52007,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652008M,九江街,52008,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652009M,九芎路,52009,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653099M,九層林巷,53099,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653100M,二坪巷,53100,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652010M,二坪路,52010,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653101M,二城巷,53101,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652011M,二突路,52011,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652012M,二部路,52012,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652013M,八卦路,52013,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652014M,八卦路1146巷,52014,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652015M,八卦路592巷,52015,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652016M,八股路,52016,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652017M,八張一街,52017,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652018M,八張二街,52018,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653102M,八張巷,53102,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652019M,八張街,52019,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652020M,八德街,52020,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652021M,八德街,52021,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652022M,八德路,52022,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652023M,八德路,52023,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652024M,力行一街,52024,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652025M,力行二街,52025,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652026M,力行三街,52026,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652027M,力行五街,52027,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652028M,力行街,52028,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652029M,力行路,52029,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653712M,卜溪部落,53712,6,市區一般道路,M,南投縣,NantouCounty,2022-09-03
652030M,三十甲路,52030,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653070M,三十甲路,53070,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652031M,三民路,52031,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653103M,三里巷,53103,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652032M,三和一路,52032,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652033M,三和二路,52033,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652034M,三和二路一街,52034,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652035M,三和二路二街,52035,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652036M,三和三路,52036,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652037M,三部一路,52037,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652042M,三部七路,52042,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652044M,三部九路,52044,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652038M,三部二路,52038,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652043M,三部八路,52043,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652045M,三部十路,52045,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652039M,三部三路,52039,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652040M,三部五路,52040,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652041M,三部六路,52041,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652046M,三部路,52046,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652047M,三勰路,52047,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653104M,三層巷,53104,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653105M,上庄巷,53105,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653106M,上厝巷,53106,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653107M,下庄巷,53107,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652048M,下坪路,52048,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
652049M,下城路,52049,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653108M,下厝巷,53108,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653109M,下埔巷,53109,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652050M,下埔路,52050,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653110M,下湳巷,53110,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653111M,下溪巷,53111,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652051M,下橫街,52051,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653112M,下橫街第一巷,53112,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653113M,下橫街第二巷,53113,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653114M,下橫街第三巷,53114,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653115M,下橫街第四巷,53115,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
653116M,下灣巷,53116,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
652052M,千秋路,52052,6,市區一般道路,M,南投縣,NantouCounty,2018-09-28
653117M,口寮巷,53117,6,市區一般道路,M,南投縣,NantouCounty,2022-02-15
