VillageName,VillageID,TownName,TownCode,CityName,Version
龍泉里,10008010001,南投市,10008010,南投縣,23.05.1
康壽里,10008010002,南投市,10008010,南投縣,23.05.1
三民里,10008010003,南投市,10008010,南投縣,23.05.1
仁和里,10008010004,南投市,10008010,南投縣,23.05.1
南投里,10008010005,南投市,10008010,南投縣,23.05.1
彰仁里,10008010006,南投市,10008010,南投縣,23.05.1
崇文里,10008010007,南投市,10008010,南投縣,23.05.1
漳興里,10008010008,南投市,10008010,南投縣,23.05.1
漳和里,10008010009,南投市,10008010,南投縣,23.05.1
軍功里,10008010010,南投市,10008010,南投縣,23.05.1
東山里,10008010011,南投市,10008010,南投縣,23.05.1
平和里,10008010012,南投市,10008010,南投縣,23.05.1
振興里,10008010013,南投市,10008010,南投縣,23.05.1
千秋里,10008010014,南投市,10008010,南投縣,23.05.1
三興里,10008010015,南投市,10008010,南投縣,23.05.1
三和里,10008010016,南投市,10008010,南投縣,23.05.1
嘉興里,10008010017,南投市,10008010,南投縣,23.05.1
嘉和里,10008010018,南投市,10008010,南投縣,23.05.1
福山里,10008010019,南投市,10008010,南投縣,23.05.1
永興里,10008010020,南投市,10008010,南投縣,23.05.1
鳳鳴里,10008010021,南投市,10008010,南投縣,23.05.1
鳳山里,10008010022,南投市,10008010,南投縣,23.05.1
平山里,10008010023,南投市,10008010,南投縣,23.05.1
新興里,10008010024,南投市,10008010,南投縣,23.05.1
永豐里,10008010025,南投市,10008010,南投縣,23.05.1
福興里,10008010026,南投市,10008010,南投縣,23.05.1
營北里,10008010027,南投市,10008010,南投縣,23.05.1
營南里,10008010028,南投市,10008010,南投縣,23.05.1
內興里,10008010029,南投市,10008010,南投縣,23.05.1
內新里,10008010030,南投市,10008010,南投縣,23.05.1
光華里,10008010031,南投市,10008010,南投縣,23.05.1
光榮里,10008010032,南投市,10008010,南投縣,23.05.1
光明里,10008010033,南投市,10008010,南投縣,23.05.1
光輝里,10008010034,南投市,10008010,南投縣,23.05.1
東門里,10008020001,埔里鎮,10008020,南投縣,23.05.1
南門里,10008020002,埔里鎮,10008020,南投縣,23.05.1
西門里,10008020003,埔里鎮,10008020,南投縣,23.05.1
北門里,10008020004,埔里鎮,10008020,南投縣,23.05.1
同聲里,10008020005,埔里鎮,10008020,南投縣,23.05.1
薰化里,10008020006,埔里鎮,10008020,南投縣,23.05.1
清新里,10008020007,埔里鎮,10008020,南投縣,23.05.1
大城里,10008020008,埔里鎮,10008020,南投縣,23.05.1
籃城里,10008020009,埔里鎮,10008020,南投縣,23.05.1
枇杷里,10008020010,埔里鎮,10008020,南投縣,23.05.1
水頭里,10008020011,埔里鎮,10008020,南投縣,23.05.1
麒麟里,10008020012,埔里鎮,10008020,南投縣,23.05.1
珠格里,10008020013,埔里鎮,10008020,南投縣,23.05.1
溪南里,10008020014,埔里鎮,10008020,南投縣,23.05.1
桃米里,10008020015,埔里鎮,10008020,南投縣,23.05.1
成功里,10008020016,埔里鎮,10008020,南投縣,23.05.1
南村里,10008020017,埔里鎮,10008020,南投縣,23.05.1
愛蘭里,10008020018,埔里鎮,10008020,南投縣,23.05.1
鐵山里,10008020019,埔里鎮,10008020,南投縣,23.05.1
房里里,10008020020,埔里鎮,10008020,南投縣,23.05.1
向善里,10008020021,埔里鎮,10008020,南投縣,23.05.1
一新里,10008020022,埔里鎮,10008020,南投縣,23.05.1
廣成里,10008020023,埔里鎮,10008020,南投縣,23.05.1
史港里,10008020024,埔里鎮,10008020,南投縣,23.05.1
福興里,10008020025,埔里鎮,10008020,南投縣,23.05.1
牛眠里,10008020026,埔里鎮,10008020,南投縣,23.05.1
大湳里,10008020027,埔里鎮,10008020,南投縣,23.05.1
蜈蚣里,10008020028,埔里鎮,10008020,南投縣,23.05.1
合成里,10008020029,埔里鎮,10008020,南投縣,23.05.1
北安里,10008020030,埔里鎮,10008020,南投縣,23.05.1
杷城里,10008020031,埔里鎮,10008020,南投縣,23.05.1
北梅里,10008020032,埔里鎮,10008020,南投縣,23.05.1
泰安里,10008020033,埔里鎮,10008020,南投縣,23.05.1
玉峰里,10008030001,草屯鎮,10008030,南投縣,23.05.1
炎峰里,10008030002,草屯鎮,10008030,南投縣,23.05.1
和平里,10008030003,草屯鎮,10008030,南投縣,23.05.1
敦和里,10008030004,草屯鎮,10008030,南投縣,23.05.1
山腳里,10008030005,草屯鎮,10008030,南投縣,23.05.1
富寮里,10008030006,草屯鎮,10008030,南投縣,23.05.1
御史里,10008030007,草屯鎮,10008030,南投縣,23.05.1
新豐里,10008030008,草屯鎮,10008030,南投縣,23.05.1
碧峰里,10008030009,草屯鎮,10008030,南投縣,23.05.1
碧洲里,10008030010,草屯鎮,10008030,南投縣,23.05.1
復興里,10008030011,草屯鎮,10008030,南投縣,23.05.1
上林里,10008030012,草屯鎮,10008030,南投縣,23.05.1
新庄里,10008030013,草屯鎮,10008030,南投縣,23.05.1
北投里,10008030014,草屯鎮,10008030,南投縣,23.05.1
石川里,10008030015,草屯鎮,10008030,南投縣,23.05.1
加老里,10008030016,草屯鎮,10008030,南投縣,23.05.1
北勢里,10008030017,草屯鎮,10008030,南投縣,23.05.1
中原里,10008030018,草屯鎮,10008030,南投縣,23.05.1
南埔里,10008030019,草屯鎮,10008030,南投縣,23.05.1
土城里,10008030020,草屯鎮,10008030,南投縣,23.05.1
坪頂里,10008030021,草屯鎮,10008030,南投縣,23.05.1
雙冬里,10008030022,草屯鎮,10008030,南投縣,23.05.1
平林里,10008030023,草屯鎮,10008030,南投縣,23.05.1
中正里,10008030024,草屯鎮,10008030,南投縣,23.05.1
中山里,10008030025,草屯鎮,10008030,南投縣,23.05.1
明正里,10008030026,草屯鎮,10008030,南投縣,23.05.1
新厝里,10008030027,草屯鎮,10008030,南投縣,23.05.1
竹山里,10008040001,竹山鎮,10008040,南投縣,23.05.1
中正里,10008040002,竹山鎮,10008040,南投縣,23.05.1
中山里,10008040003,竹山鎮,10008040,南投縣,23.05.1
雲林里,10008040004,竹山鎮,10008040,南投縣,23.05.1
硘磘里,10008040005,竹山鎮,10008040,南投縣,23.05.1
下坪里,10008040006,竹山鎮,10008040,南投縣,23.05.1
桂林里,10008040007,竹山鎮,10008040,南投縣,23.05.1
中和里,10008040008,竹山鎮,10008040,南投縣,23.05.1
中崎里,10008040009,竹山鎮,10008040,南投縣,23.05.1
德興里,10008040010,竹山鎮,10008040,南投縣,23.05.1
延平里,10008040011,竹山鎮,10008040,南投縣,23.05.1
延正里,10008040012,竹山鎮,10008040,南投縣,23.05.1
延山里,10008040013,竹山鎮,10008040,南投縣,23.05.1
延和里,10008040014,竹山鎮,10008040,南投縣,23.05.1
山崇里,10008040015,竹山鎮,10008040,南投縣,23.05.1
社寮里,10008040016,竹山鎮,10008040,南投縣,23.05.1
中央里,10008040017,竹山鎮,10008040,南投縣,23.05.1
富州里,10008040018,竹山鎮,10008040,南投縣,23.05.1
大鞍里,10008040019,竹山鎮,10008040,南投縣,23.05.1
田子里,10008040020,竹山鎮,10008040,南投縣,23.05.1
福興里,10008040021,竹山鎮,10008040,南投縣,23.05.1
鯉魚里,10008040022,竹山鎮,10008040,南投縣,23.05.1
瑞竹里,10008040023,竹山鎮,10008040,南投縣,23.05.1
坪頂里,10008040024,竹山鎮,10008040,南投縣,23.05.1
桶頭里,10008040025,竹山鎮,10008040,南投縣,23.05.1
秀林里,10008040026,竹山鎮,10008040,南投縣,23.05.1
延祥里,10008040027,竹山鎮,10008040,南投縣,23.05.1
竹圍里,10008040028,竹山鎮,10008040,南投縣,23.05.1
集集里,10008050001,集集鎮,10008050,南投縣,23.05.1
和平里,10008050002,集集鎮,10008050,南投縣,23.05.1
林尾里,10008050003,集集鎮,10008050,南投縣,23.05.1
田寮里,10008050004,集集鎮,10008050,南投縣,23.05.1
隘寮里,10008050005,集集鎮,10008050,南投縣,23.05.1
玉映里,10008050006,集集鎮,10008050,南投縣,23.05.1
吳厝里,10008050007,集集鎮,10008050,南投縣,23.05.1
八張里,10008050008,集集鎮,10008050,南投縣,23.05.1
永昌里,10008050009,集集鎮,10008050,南投縣,23.05.1
富山里,10008050010,集集鎮,10008050,南投縣,23.05.1
