RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
640001I,八德路,40001,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640002I,力行街,40002,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640003I,上海路,40003,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640465I,下埤,40465,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640446I,下埤路,40446,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640004I,大仁街,40004,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640005I,大平街,40005,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640006I,大吉街,40006,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640466I,大同新村,40466,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640007I,大同路,40007,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640008I,大安街,40008,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640009I,大利街,40009,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640010I,大孝街,40010,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640011I,大和街,40011,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640012I,大忠街,40012,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640013I,大信街,40013,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640467I,大埤脚,40467,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640014I,大統路,40014,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640015I,大富一街,40015,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640016I,大富二街,40016,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640017I,大富三街,40017,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640019I,大富五街,40019,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640018I,大富四街,40018,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640020I,大富西街,40020,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640021I,大富東街,40021,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640022I,大富路,40022,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640023I,大華路,40023,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640024I,大貴路,40024,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640025I,大雅路一段,40025,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640026I,大雅路二段,40026,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640027I,大愛街,40027,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640028I,大業街,40028,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640468I,大溪厝,40468,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640029I,大溪路,40029,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640030I,大義街,40030,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640031I,大聖一街,40031,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640032I,大聖二街,40032,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640033I,大聖三街,40033,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640035I,大聖北街,40035,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640034I,大聖四街,40034,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640036I,大聖南街,40036,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640037I,大聖路,40037,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640038I,大賢路,40038,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640469I,小副瀨,40469,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640039I,小雅路,40039,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640470I,小澎湖,40470,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640471I,山子頂,40471,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640447I,工業街,40447,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640040I,中山文化圓環,40040,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640041I,中山路,40041,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640458I,中央第一商場,40458,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640472I,中央第二商場,40472,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640042I,中正路,40042,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640043I,中興路,40043,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640044I,五福街,40044,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640045I,五顯街,40045,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640473I,仁和新村,40473,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640046I,仁愛一街,40046,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640047I,仁愛二街,40047,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640048I,仁愛三街,40048,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640474I,仁愛村,40474,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640049I,仁愛路,40049,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640475I,仁義新村,40475,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640050I,公明和平圓環,40050,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640051I,公明路,40051,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640052I,公園街,40052,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640053I,公義路,40053,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640476I,公誠新村,40476,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640054I,友平街,40054,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640055I,友竹街,40055,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640056I,友孝路,40056,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640057I,友和路,40057,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640058I,友忠路,40058,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640059I,友直街,40059,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640060I,友信街,40060,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640061I,友順街,40061,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640062I,友順路,40062,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640063I,友愛路,40063,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640064I,友義街,40064,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640065I,友諒街,40065,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640066I,文山街,40066,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640067I,文中街,40067,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640068I,文化路,40068,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640069I,文心街,40069,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640070I,文昌街,40070,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640071I,文海街,40071,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640072I,文華街,40072,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640073I,文雅街,40073,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640074I,日新街,40074,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640477I,水源地,40477,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640478I,王田,40478,6,市區一般道路,I,嘉義市,Chiayi,2022-02-15
640075I,世賢路一段,40075,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640076I,世賢路二段,40076,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640077I,世賢路三段,40077,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640078I,世賢路四段,40078,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640079I,北文街,40079,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
640080I,北安路,40080,6,市區一般道路,I,嘉義市,Chiayi,2018-09-28
