RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
671359Q,?菜埔,71359,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670001Q,一心街,70001,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670622Q,一心路,70622,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671626Q,七區,71626,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671596Q,七塊厝,71596,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670002Q,七賢街,70002,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
671657Q,七瀨仔,71657,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-09-03
670003Q,九如街,70003,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670801Q,九芎坑,70801,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670802Q,九芎坪,70802,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670004Q,九龍一街,70004,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670005Q,九龍二街,70005,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670006Q,九龍三街,70006,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670007Q,九龍六街,70007,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670803Q,二坪仔,70803,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671223Q,二重溝,71223,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670008Q,二聖街,70008,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
671060Q,二萬平,71060,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671185Q,二寮坑,71185,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670623Q,二諦路,70623,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670009Q,入船路,70009,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670010Q,八德街,70010,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670011Q,八德街,70011,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670683Q,八德街,70683,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670012Q,八德路,70012,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
671083Q,八寶寮,71083,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671224Q,十一指厝,71224,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670013Q,十四田路,70013,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
671461Q,十四甲,71461,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670014Q,十全街,70014,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670015Q,十字路,70015,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670016Q,十字路,70016,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
671084Q,十塊厝,71084,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670017Q,三合路,70017,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670018Q,三多街,70018,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670624Q,三好路,70624,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670019Q,三安路,70019,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
671521Q,三角,71521,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671266Q,三角子,71266,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670020Q,三和路,70020,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
671397Q,三姓寮,71397,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671225Q,三界埔,71225,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670804Q,三美庄,70804,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671186Q,三重溪埔,71186,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671187Q,三脚石,71187,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671597Q,三脚猫,71597,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671422Q,三間厝,71422,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671292Q,三塊厝,71292,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671361Q,三塊厝,71361,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671522Q,三塊厝,71522,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670805Q,三源,70805,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671398Q,三義,71398,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
671085Q,三層村崎頭仔,71085,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670712Q,三橋仔,70712,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2022-02-15
670021Q,三興一街,70021,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670022Q,三興二街,70022,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670023Q,三興路,70023,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
670024Q,三豐路,70024,6,市區一般道路,Q,嘉義縣,ChiayiCounty,2018-09-28
