RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
610001C,八斗街,10001,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610002C,八堵路,10002,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610003C,八德路,10003,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610257C,三合街,10257,6,市區一般道路,C,基隆市,Keelung,2022-02-15
610004C,大同街,10004,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610005C,大同路三段,10005,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610006C,大成街,10006,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610255C,大埔路,10255,6,市區一般道路,C,基隆市,Keelung,2022-02-15
610007C,大華一路,10007,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610008C,大華二路,10008,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610009C,大華三路,10009,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610010C,大德路,10010,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610011C,工東街,10011,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610012C,工建北路,10012,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610013C,工建西路,10013,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610014C,工建南路,10014,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610015C,工建路,10015,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610016C,中山一路,10016,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610017C,中山二路,10017,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610018C,中山三路,10018,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610019C,中山三路111巷,10019,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610020C,中山四路,10020,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610021C,中平街,10021,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610247C,中正高架橋,10247,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610022C,中正路,10022,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610023C,中和路,10023,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610024C,中船路,10024,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610025C,中華路,10025,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610026C,中興路,10026,6,市區一般道路,C,基隆市,Keelung,2018-09-28
610027C,仁一路,10027,6,市區一般道路,C,基隆市,Keelung,2018-09-28
