RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
631601G,一工路,31601,6,市區一般道路,G,宜蘭縣,YilanCounty,2022-02-15
630001G,一結路,30001,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630002G,七圳路,30002,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
631692G,七星嶺,31692,6,市區一般道路,G,宜蘭縣,YilanCounty,2022-02-15
630003G,七張路,30003,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630004G,七結路,30004,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
631693G,七結路名進巷,31693,6,市區一般道路,G,宜蘭縣,YilanCounty,2022-02-15
630005G,七賢路,30005,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630006G,九分一路,30006,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630007G,九分二路,30007,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630008G,九分三路,30008,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630009G,九分路,30009,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630010G,二城路,30010,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630011G,二湖路,30011,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630012G,二結路,30012,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630013G,二結路,30013,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
630014G,二塹路,30014,6,市區一般道路,G,宜蘭縣,YilanCounty,2018-09-28
631488G,人和一路,31488,6,市區一般道路,G,宜蘭縣,YilanCounty,2019-12-20
631492G,人和七路,31492,6,市區一般道路,G,宜蘭縣,YilanCounty,2019-12-20
631493G,人和九路,31493,6,市區一般道路,G,宜蘭縣,YilanCounty,2019-12-20
631528G,人和二路,31528,6,市區一般道路,G,宜蘭縣,YilanCounty,2022-02-15
631602G,人和八路,31602,6,市區一般道路,G,宜蘭縣,YilanCounty,2022-02-15
631494G,人和十一路,31494,6,市區一般道路,G,宜蘭縣,YilanCounty,2019-12-20
631529G,人和十二路,31529,6,市區一般道路,G,宜蘭縣,YilanCounty,2022-02-15
631489G,人和三路,31489,6,市區一般道路,G,宜蘭縣,YilanCounty,2019-12-20
631530G,人和中路,31530,6,市區一般道路,G,宜蘭縣,YilanCounty,2022-02-15
631490G,人和五路,31490,6,市區一般道路,G,宜蘭縣,YilanCounty,2019-12-20
