RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
674001T,一心路,74001,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674002T,七份路,74002,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
676452T,七里溪巷,76452,6,市區一般道路,T,屏東縣,PingtungCounty,2022-02-15
674003T,七塊路,74003,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674004T,七賢街,74004,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674005T,九如路一段,74005,6,市區一般道路,T,屏東縣,PingtungCounty,2022-02-15
674006T,九如路二段,74006,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674007T,九如路三段,74007,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674008T,九江街,74008,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674009T,九里路,74009,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674010T,九明街,74010,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674011T,九東路,74011,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674012T,九清街,74012,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674013T,九棚路,74013,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
677260T,九棚路大愛巷,77260,6,市區一般道路,T,屏東縣,PingtungCounty,2022-09-03
674014T,九龍路,74014,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674015T,二東路,74015,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674016T,人和路,74016,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674017T,人和路,74017,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674018T,八瑤路,74018,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
676453T,八德巷,76453,6,市區一般道路,T,屏東縣,PingtungCounty,2022-02-15
674019T,八德街,74019,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674020T,八德路,74020,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674021T,八德路,74021,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674022T,八德路,74022,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
676204T,八德路,76204,6,市區一般道路,T,屏東縣,PingtungCounty,2019-12-20
674023T,八龍路,74023,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
676454T,力行巷,76454,6,市區一般道路,T,屏東縣,PingtungCounty,2022-02-15
674024T,力行街,74024,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674025T,力社路,74025,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674026T,十全路,74026,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674027T,十美路,74027,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
674028T,三千路,74028,6,市區一般道路,T,屏東縣,PingtungCounty,2018-09-28
