TownName,TownCode,CityName,Version
三地門鄉,10013260,屏東縣,23.05.1
九如鄉,10013080,屏東縣,23.05.1
佳冬鄉,10013210,屏東縣,23.05.1
來義鄉,10013300,屏東縣,23.05.1
內埔鄉,10013130,屏東縣,23.05.1
南州鄉,10013200,屏東縣,23.05.1
屏東市,10013010,屏東縣,23.05.1
崁頂鄉,10013180,屏東縣,23.05.1
恆春鎮,10013040,屏東縣,23.05.1
新園鄉,10013170,屏東縣,23.05.1
新埤鄉,10013150,屏東縣,23.05.1
春日鄉,10013310,屏東縣,23.05.1
東港鎮,10013030,屏東縣,23.05.1
枋寮鄉,10013160,屏東縣,23.05.1
枋山鄉,10013250,屏東縣,23.05.1
林邊鄉,10013190,屏東縣,23.05.1
泰武鄉,10013290,屏東縣,23.05.1
滿州鄉,10013240,屏東縣,23.05.1
潮州鎮,10013020,屏東縣,23.05.1
牡丹鄉,10013330,屏東縣,23.05.1
獅子鄉,10013320,屏東縣,23.05.1
琉球鄉,10013220,屏東縣,23.05.1
瑪家鄉,10013280,屏東縣,23.05.1
竹田鄉,10013140,屏東縣,23.05.1
萬丹鄉,10013050,屏東縣,23.05.1
萬巒鄉,10013120,屏東縣,23.05.1
車城鄉,10013230,屏東縣,23.05.1
里港鄉,10013090,屏東縣,23.05.1
長治鄉,10013060,屏東縣,23.05.1
霧臺鄉,10013270,屏東縣,23.05.1
高樹鄉,10013110,屏東縣,23.05.1
鹽埔鄉,10013100,屏東縣,23.05.1
麟洛鄉,10013070,屏東縣,23.05.1
