RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
659011N,?墩巷,59011,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659953N,?磘巷,59953,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-09-03
656001N,一心東街,56001,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656002N,一心南街,56002,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656003N,一心街,56003,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656004N,一心街,56004,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
659016N,一心新村,59016,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659017N,一村巷,59017,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
656005N,一德南路,56005,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
659018N,七戶巷,59018,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
656006N,七米路,56006,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
659019N,七星巷,59019,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659020N,七號巷,59020,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
656007N,七嘉路,56007,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656008N,七寮路,56008,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656009N,七賢街,56009,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656010N,九分路,56010,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
659911N,九分路,59911,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-09-03
659021N,九甲一巷,59021,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659022N,九甲二巷,59022,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659023N,九甲巷,59023,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
656011N,九如街,56011,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656012N,二抱路一段,56012,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656013N,二抱路二段,56013,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656014N,二抱路三段,56014,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
656015N,二抱路四段,56015,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
659024N,二林巷,59024,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
656016N,二城路,56016,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
659912N,二港巷,59912,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-09-03
658789N,二溪路,58789,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
658919N,二溪路,58919,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
656018N,二溪路一段,56018,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656019N,二溪路一段,56019,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
659027N,二溪路一段田中巷,59027,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659028N,二溪路一段湖西巷,59028,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
656024N,二溪路七段,56024,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656020N,二溪路二段,56020,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
656021N,二溪路二段,56021,6,市區一般道路,N,彰化縣,ChanghuaCounty,2018-09-28
659029N,二溪路二段北勢一巷,59029,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659030N,二溪路二段北勢二巷,59030,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659031N,二溪路二段北勢三巷,59031,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659032N,二溪路二段北勢四巷,59032,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659033N,二溪路二段車店東巷,59033,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659034N,二溪路二段橋北巷,59034,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
659035N,二溪路二段橋南巷,59035,6,市區一般道路,N,彰化縣,ChanghuaCounty,2022-02-15
