TownName,TownCode,CityName,Version
二林鎮,10007200,彰化縣,23.05.1
二水鄉,10007180,彰化縣,23.05.1
伸港鄉,10007050,彰化縣,23.05.1
北斗鎮,10007190,彰化縣,23.05.1
和美鎮,10007030,彰化縣,23.05.1
員林市,10007100,彰化縣,23.05.1
埔心鄉,10007150,彰化縣,23.05.1
埔鹽鄉,10007140,彰化縣,23.05.1
埤頭鄉,10007220,彰化縣,23.05.1
大城鄉,10007240,彰化縣,23.05.1
大村鄉,10007130,彰化縣,23.05.1
彰化市,10007010,彰化縣,23.05.1
永靖鄉,10007160,彰化縣,23.05.1
溪州鄉,10007260,彰化縣,23.05.1
溪湖鎮,10007110,彰化縣,23.05.1
田中鎮,10007120,彰化縣,23.05.1
田尾鄉,10007210,彰化縣,23.05.1
社頭鄉,10007170,彰化縣,23.05.1
福興鄉,10007060,彰化縣,23.05.1
秀水鄉,10007070,彰化縣,23.05.1
竹塘鄉,10007250,彰化縣,23.05.1
線西鄉,10007040,彰化縣,23.05.1
芬園鄉,10007090,彰化縣,23.05.1
花壇鄉,10007080,彰化縣,23.05.1
芳苑鄉,10007230,彰化縣,23.05.1
鹿港鎮,10007020,彰化縣,23.05.1
