TownName,TownCode,CityName,Version
三峽區,65000090,新北市,23.05.1
三芝區,65000210,新北市,23.05.1
三重區,65000020,新北市,23.05.1
中和區,65000030,新北市,23.05.1
五股區,65000150,新北市,23.05.1
八里區,65000230,新北市,23.05.1
土城區,65000130,新北市,23.05.1
坪林區,65000200,新北市,23.05.1
平溪區,65000240,新北市,23.05.1
新店區,65000060,新北市,23.05.1
新莊區,65000050,新北市,23.05.1
板橋區,65000010,新北市,23.05.1
林口區,65000170,新北市,23.05.1
樹林區,65000070,新北市,23.05.1
永和區,65000040,新北市,23.05.1
汐止區,65000110,新北市,23.05.1
泰山區,65000160,新北市,23.05.1
淡水區,65000100,新北市,23.05.1
深坑區,65000180,新北市,23.05.1
烏來區,65000290,新北市,23.05.1
瑞芳區,65000120,新北市,23.05.1
石碇區,65000190,新北市,23.05.1
石門區,65000220,新北市,23.05.1
萬里區,65000280,新北市,23.05.1
蘆洲區,65000140,新北市,23.05.1
貢寮區,65000260,新北市,23.05.1
金山區,65000270,新北市,23.05.1
雙溪區,65000250,新北市,23.05.1
鶯歌區,65000080,新北市,23.05.1
