RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
661001O,八德路,61001,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661002O,力行一路,61002,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661008O,力行七路,61008,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661003O,力行二路,61003,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661009O,力行十路,61009,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661004O,力行三路,61004,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661006O,力行五路,61006,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661007O,力行六路,61007,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661005O,力行四路,61005,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661010O,力行路,61010,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661011O,三民路,61011,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661484O,三姓橋路,61484,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661012O,千甲路,61012,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661485O,士林一街,61485,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661486O,士林二街,61486,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661487O,士林北路,61487,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661488O,士林西路,61488,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661489O,士林東路,61489,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661013O,大同路,61013,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661014O,大庄路,61014,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661015O,大成街,61015,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661016O,大湖路,61016,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661556O,大雅路,61556,6,市區一般道路,O,新竹市,Hsinchu,2023-04-01
661017O,大學路,61017,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661018O,工業東一路,61018,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661022O,工業東七路,61022,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661490O,工業東九路,61490,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661019O,工業東二路,61019,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661020O,工業東三路,61020,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661520O,工業東六路,61520,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661021O,工業東四路,61021,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661023O,中山路,61023,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661534O,中央市場,61534,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661024O,中央路,61024,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661535O,中正台,61535,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661025O,中正西路,61025,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661026O,中正路,61026,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661027O,中光路,61027,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661028O,中和路,61028,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661029O,中南街,61029,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661030O,中清一路,61030,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661031O,中清路,61031,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661032O,中清路一段,61032,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661033O,中華路一段,61033,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661034O,中華路二段,61034,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661035O,中華路三段,61035,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661037O,中華路五段,61037,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661038O,中華路六段,61038,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661039O,中華路六段716巷,61039,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661036O,中華路四段,61036,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661040O,中福路,61040,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661041O,中興路,61041,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661042O,中興路四段,61042,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661043O,五福路一段,61043,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661044O,五福路二段,61044,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661045O,仁化街,61045,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661046O,仁和路,61046,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661047O,仁愛街,61047,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661048O,仁義街,61048,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661049O,仁德街,61049,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661050O,介壽路,61050,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661051O,元培街,61051,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661052O,內湖路,61052,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661053O,公竹路,61053,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661054O,公園路,61054,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661548O,公道三路,61548,6,市區一般道路,O,新竹市,Hsinchu,2022-11-05
661549O,公道三路,61549,6,市區一般道路,O,新竹市,Hsinchu,2022-11-05
661055O,公道五路一段,61055,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661056O,公道五路二段,61056,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661057O,公道五路三段,61057,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661059O,公道五路五段,61059,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661058O,公道五路四段,61058,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661060O,天府路一段,61060,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661061O,天府路二段,61061,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661062O,太原路,61062,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661063O,少年街,61063,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661552O,少年街49巷,61552,6,市區一般道路,O,新竹市,Hsinchu,2023-03-04
661064O,文化街,61064,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661065O,文昌街,61065,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661536O,文昌街綜合市場中正台,61536,6,市區一般道路,O,新竹市,Hsinchu,2022-02-15
661066O,文雅街,61066,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661067O,水仙路,61067,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661068O,水田街,61068,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661069O,水利路,61069,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661070O,水源街,61070,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661071O,牛埔北路,61071,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661072O,牛埔東路,61072,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661073O,牛埔南路,61073,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661074O,牛埔路,61074,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
661075O,世界街,61075,6,市區一般道路,O,新竹市,Hsinchu,2018-09-28
