RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
645241J,七星村河背,45241,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645242J,七寮,45242,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645243J,九分子,45243,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645244J,九芎湖,45244,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645245J,九讚頭,45245,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644001J,二油路,44001,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645246J,二寮,45246,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645247J,八十分,45247,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645248J,八五山,45248,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644002J,八股路,44002,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645249J,八寮,45249,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644003J,八德路一段,44003,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644004J,八德路二段,44004,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644005J,八德路三段,44005,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645064J,力行三路,45064,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644006J,力行六路,44006,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644007J,力行街,44007,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645250J,十一股,45250,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645251J,十二寮,45251,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645252J,十五寮,45252,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645253J,十六張,45253,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645254J,十分寮,45254,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645255J,十四寮,45255,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645256J,十股,45256,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645257J,十寮,45257,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645258J,十寮坑,45258,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645065J,十鄰路,45065,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644008J,十興一街,44008,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644009J,十興二街,44009,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645066J,十興三街,45066,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644010J,十興五街,44010,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644011J,十興路,44011,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644012J,十興路一段,44012,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644013J,十興路二段,44013,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644014J,三元路一段,44014,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644016J,三元路二段,44016,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644017J,三民一路,44017,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644018J,三民二路,44018,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644019J,三民南路,44019,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644020J,三民街,44020,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645067J,三民街,45067,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644021J,三民路,44021,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644022J,三民路,44022,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644023J,三民路,44023,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644024J,三明街,44024,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644025J,三油一路,44025,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644026J,三油二路,44026,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645198J,三油路,45198,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644027J,三重一路,44027,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645259J,三重埔,45259,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
644028J,三重路,44028,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644029J,三峰一路,44029,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644030J,三峰二路,44030,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644031J,三峰三路,44031,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644032J,三峰路一段,44032,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644033J,三峰路一段5巷,44033,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644034J,三峰路二段,44034,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
644035J,三聖路,44035,6,市區一般道路,J,新竹縣,HsinchuCounty,2018-09-28
645260J,上三屯,45260,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645261J,上大湖,45261,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
645262J,上山,45262,6,市區一般道路,J,新竹縣,HsinchuCounty,2022-02-15
