RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
635001H,一心路,35001,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
638483H,七和一街,38483,6,市區一般道路,H,桃園市,Taoyuan,2022-02-15
638885H,七和路,38885,6,市區一般道路,H,桃園市,Taoyuan,2022-02-15
635002H,七賢一街,35002,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635003H,七賢路,35003,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
639151H,九斗,39151,6,市區一般道路,H,桃園市,Taoyuan,2022-02-15
635004H,九如一街,35004,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635005H,九如二街,35005,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635006H,九如三街,35006,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635007H,九如街,35007,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635008H,九和一街,35008,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635009H,九和二街,35009,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635010H,九和三街,35010,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635011H,九和五街,35011,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635012H,九和六街,35012,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
638484H,九洲路,38484,6,市區一般道路,H,桃園市,Taoyuan,2022-02-15
639092H,九座寮,39092,6,市區一般道路,H,桃園市,Taoyuan,2022-02-15
635013H,二坪路,35013,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635014H,二聖一街,35014,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635015H,二聖二街,35015,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635016H,二聖三街,35016,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635017H,二聖路,35017,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635018H,八股路,35018,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
639093H,八張犁,39093,6,市區一般道路,H,桃園市,Taoyuan,2022-02-15
635019H,八德一街,35019,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635020H,八德一路,35020,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635021H,八德二街,35021,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635022H,八德二路,35022,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635023H,八德三街,35023,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635025H,八德五街,35025,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635026H,八德六街,35026,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635024H,八德四街,35024,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635027H,八德街,35027,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635028H,八德街,35028,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635029H,八德路,35029,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
638485H,八德路,38485,6,市區一般道路,H,桃園市,Taoyuan,2022-02-15
638486H,八德路,38486,6,市區一般道路,H,桃園市,Taoyuan,2022-02-15
635030H,力行北街,35030,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635031H,力行街,35031,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
635032H,力行街,35032,6,市區一般道路,H,桃園市,Taoyuan,2018-09-28
