RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
604001B,一中街,04001,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604002B,一心北街,04002,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604003B,一心西街,04003,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604004B,一心街,04004,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604005B,一心街,04005,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604006B,一心路,04006,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604007B,一忠街,04007,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608647B,一善巷,08647,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604008B,一新一街,04008,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608648B,一新一街一弄,08648,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608649B,一新一街七弄,08649,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608650B,一新一街二弄,08650,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608651B,一新一街三弄,08651,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608652B,一新一街五弄,08652,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608653B,一新一街四弄,08653,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604009B,一新二街,04009,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608654B,一新二街五弄,08654,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604010B,一德街,04010,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604011B,丁台路,04011,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604012B,七中路,04012,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608655B,七分坑,08655,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604013B,七星北街,04013,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604014B,七星南街,04014,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604015B,七星街,04015,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604016B,七星路,04016,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604017B,七賢南路,04017,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604018B,七賢路,04018,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604019B,九二路,04019,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604020B,九三路,04020,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604021B,九甲一路,04021,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604026B,九甲七路,04026,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604022B,九甲二路,04022,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604023B,九甲三路,04023,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604024B,九甲五路,04024,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604025B,九甲六路,04025,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608656B,九甲巷,08656,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604027B,九甲路,04027,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604028B,九德街,04028,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604029B,九龍東街,04029,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604030B,九龍街,04030,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604031B,二圳路,04031,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604032B,二崁一路,04032,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604033B,二崁路,04033,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604034B,二崁路,04034,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604035B,二聖街,04035,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604036B,人和路,04036,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604037B,八德一路,04037,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604038B,八德二路,04038,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604039B,八德東路,04039,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604040B,八德街,04040,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604041B,八德街,04041,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604042B,八德街,04042,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604043B,八德路,04043,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608436B,八德路,08436,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608437B,八德路,08437,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604044B,八德路一段,04044,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608657B,八德路九如巷,08657,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604045B,八德路二段,04045,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608438B,八德路三段,08438,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608439B,八德路四段,08439,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604046B,力行路,04046,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604047B,力行路,04047,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608441B,力行路,08441,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604048B,十三張路,04048,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604049B,十甲北一街,04049,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604050B,十甲北一街,04050,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604051B,十甲北二街,04051,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604052B,十甲北街,04052,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604053B,十甲東一街,04053,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604054B,十甲東二街,04054,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608658B,十甲東巷,08658,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604055B,十甲東路,04055,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608659B,十甲巷,08659,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604056B,十甲路,04056,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604057B,十全街,04057,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604058B,十勇街,04058,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604059B,十智街,04059,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604060B,十智街,04060,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604061B,三元路,04061,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604062B,三月路,04062,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608660B,三月路大愛巷,08660,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608661B,三月路四平巷,08661,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604063B,三民一街,04063,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604064B,三民二街,04064,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608662B,三民市場一巷,08662,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608663B,三民市場二巷,08663,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608664B,三民市場三巷,08664,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604065B,三民西路,04065,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604066B,三民西路二段,04066,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604067B,三民東街,04067,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604068B,三民南路,04068,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604069B,三民街,04069,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604070B,三民街,04070,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604071B,三民路,04071,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604072B,三民路,04072,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604073B,三民路,04073,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604074B,三民路,04074,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604075B,三民路一段,04075,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604076B,三民路二段,04076,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608442B,三民路二段,08442,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608665B,三民路二段第二市場,08665,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604077B,三民路三段,04077,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608666B,三民路三段一心市場,08666,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604078B,三田路,04078,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604079B,三甲北街,04079,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604080B,三甲東街,04080,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604081B,三甲路,04081,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604082B,三光一街,04082,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604083B,三光二街,04083,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604084B,三光北一街,04084,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604085B,三光北二街,04085,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608667B,三光巷,08667,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604086B,三光路,04086,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604087B,三合街,04087,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604088B,三村路,04088,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608668B,三村路仁德邨,08668,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608669B,三村路合作新村,08669,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608443B,三角路,08443,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608670B,三和一巷,08670,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608671B,三和二巷,08671,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604089B,三和街,04089,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604090B,三和路,04090,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604091B,三和路,04091,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604092B,三和路,04092,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604093B,三社東路,04093,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604094B,三社路,04094,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604095B,三美路,04095,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604096B,三重一路,04096,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604097B,三重二路,04097,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604098B,三重三路,04098,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604099B,三重中路,04099,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604100B,三重西路,04100,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604101B,三重東路,04101,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604102B,三重路,04102,6,市區一般道路,B,臺中市,Taichung,2018-09-28
608672B,三厝西一巷,08672,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608673B,三厝西二巷,08673,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608674B,三厝東一巷,08674,6,市區一般道路,B,臺中市,Taichung,2022-02-15
608675B,三厝東二巷,08675,6,市區一般道路,B,臺中市,Taichung,2022-02-15
604103B,三厝街,04103,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604104B,三崁路,04104,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604105B,三條圳一街,04105,6,市區一般道路,B,臺中市,Taichung,2018-09-28
604106B,三條圳二街,04106,6,市區一般道路,B,臺中市,Taichung,2018-09-28
