TownName,TownCode,CityName,Version
中區,66000010,臺中市,23.05.1
北區,66000050,臺中市,23.05.1
北屯區,66000080,臺中市,23.05.1
南區,66000030,臺中市,23.05.1
南屯區,66000070,臺中市,23.05.1
后里區,66000150,臺中市,23.05.1
和平區,66000290,臺中市,23.05.1
外埔區,66000210,臺中市,23.05.1
大安區,66000220,臺中市,23.05.1
大甲區,66000110,臺中市,23.05.1
大肚區,66000240,臺中市,23.05.1
大里區,66000280,臺中市,23.05.1
大雅區,66000180,臺中市,23.05.1
太平區,66000270,臺中市,23.05.1
新社區,66000190,臺中市,23.05.1
東勢區,66000100,臺中市,23.05.1
東區,66000020,臺中市,23.05.1
梧棲區,66000140,臺中市,23.05.1
沙鹿區,66000130,臺中市,23.05.1
清水區,66000120,臺中市,23.05.1
潭子區,66000170,臺中市,23.05.1
烏日區,66000230,臺中市,23.05.1
石岡區,66000200,臺中市,23.05.1
神岡區,66000160,臺中市,23.05.1
西區,66000040,臺中市,23.05.1
西屯區,66000060,臺中市,23.05.1
豐原區,66000090,臺中市,23.05.1
霧峰區,66000260,臺中市,23.05.1
龍井區,66000250,臺中市,23.05.1
