RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
600003A,一心路,00003,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600004A,一江街,00004,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600001A,一壽街,00001,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600002A,一德街,00002,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600940A,七星街,00940,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600094A,八德路一段,00094,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600095A,八德路二段,00095,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600096A,八德路三段,00096,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600097A,八德路四段,00097,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600110A,力行街,00110,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600005A,三元街,00005,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600010A,三水街,00010,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600008A,三民圓環,00008,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600009A,三民路,00009,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600941A,三民路五段,00941,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600006A,三合街一段,00006,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600007A,三合街二段,00007,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600012A,三重路,00012,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600011A,三福街,00011,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600013A,下崙路,00013,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600014A,下樹林街,00014,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600054A,久康街,00054,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600180A,士東路,00180,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600179A,士商路,00179,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600190A,大屯路,00190,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600966A,大屯路光華一巷,00966,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600967A,大屯路光華二巷,00967,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600968A,大屯路光華三巷,00968,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600969A,大屯路光華四巷,00969,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600183A,大北路,00183,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600182A,大光街,00182,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600185A,大同街,00185,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600186A,大同路一段,00186,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600188A,大安路一段,00188,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600189A,大安路二段,00189,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600203A,大西路,00203,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600181A,大亨路,00181,6,市區一般道路,A,臺北市,Taipei,2018-09-28
601012A,大坑街,01012,6,市區一般道路,A,臺北市,Taipei,2023-04-01
600958A,大佳街,00958,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600194A,大東小北圓環,00194,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600195A,大東路,00195,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600201A,大直街,00201,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600890A,大直橋,00890,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600932A,大直橋引道,00932,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600200A,大直橋明水路方向,00200,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600184A,大南路,00184,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600191A,大度路,00191,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600192A,大度路二段,00192,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600193A,大度路三段,00193,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600970A,大度路怡和巷,00970,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600187A,大埔街,00187,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600942A,大埔街,00942,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600199A,大理街,00199,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600197A,大湖山莊街,00197,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600198A,大湖街,00198,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600196A,大業路,00196,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600204A,大道路,00204,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600202A,大興街,00202,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600205A,大龍街,00205,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600248A,小北街,00248,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600251A,小西街,00251,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600250A,小東街,00250,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600249A,小南街,00249,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600026A,中山北路一段,00026,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600032A,中山北路七段,00032,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600959A,中山北路七段,00959,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600027A,中山北路二段,00027,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600028A,中山北路三段,00028,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600030A,中山北路五段,00030,6,市區一般道路,A,臺北市,Taipei,2022-02-15
600031A,中山北路六段,00031,6,市區一般道路,A,臺北市,Taipei,2018-09-28
600029A,中山北路四段,00029,6,市區一般道路,A,臺北市,Taipei,2022-02-15
