RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
617129D,?拔林,17129,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614001D,一心街,14001,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617139D,一秀,17139,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614002D,一秀街,14002,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614003D,丁厝街,14003,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614004D,丁厝街,14004,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614005D,七甲一街,14005,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614006D,七甲二街,14006,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614007D,七甲三街,14007,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614008D,七甲五街,14008,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614009D,七甲街,14009,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617140D,七股,17140,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614010D,七賢街,14010,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614011D,九分街,14011,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614012D,九份子大道,14012,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617764D,九芎林街,17764,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617141D,九重橋,17141,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617142D,九層嶺,17142,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614013D,九龍街,14013,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617143D,九龍橫巷,17143,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614014D,二仁路一段,14014,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614015D,二仁路二段,14015,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614016D,二王路,14016,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617144D,二甲,17144,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617145D,二庄,17145,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614017D,二行一路,14017,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617815D,二空二街,17815,6,市區一般道路,D,臺南市,Tainan,2022-12-17
614018D,二空路,14018,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617146D,二重港,17146,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617147D,二重溪,17147,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617148D,二重溪,17148,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614019D,二聖街,14019,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617149D,二寮,17149,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617150D,二橋,17150,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617151D,二鎮,17151,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614020D,人和一街,14020,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614021D,人和二街,14021,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614022D,人和三街,14022,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614023D,八田路,14023,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617765D,八田路一段,17765,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617766D,八田路二段,17766,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617767D,八田路三段,17767,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617768D,八田路三段水廠巷,17768,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617769D,八田路三段香榭巷,17769,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617770D,八田路三段堤岸巷,17770,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617771D,八田路三段電廠巷,17771,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617772D,八田路三段櫻花巷,17772,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617773D,八田路四段,17773,6,市區一般道路,D,臺南市,Tainan,2022-09-03
617152D,八份,17152,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617153D,八老爺,17153,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614024D,八德街,14024,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614025D,八德街,14025,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614026D,八德街,14026,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614027D,八德路,14027,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617006D,八德路,17006,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617154D,八德橫巷,17154,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614028D,力行一街,14028,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614029D,力行二街,14029,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614030D,力行三街,14030,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614031D,力行街,14031,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614032D,力行街,14032,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614033D,十二佃路,14033,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617155D,十六甲,17155,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617156D,十份,17156,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614034D,十全西街,14034,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614035D,十全東街,14035,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614036D,十全街,14036,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614037D,十美街,14037,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617157D,三十六崙,17157,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617158D,三民西巷,17158,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614038D,三民街,14038,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614039D,三民街,14039,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617007D,三民街,17007,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614040D,三民路,14040,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614041D,三民路,14041,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614042D,三民路,14042,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614043D,三民路,14043,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614044D,三民路,14044,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614045D,三民路,14045,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617159D,三民路六合巷,17159,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617160D,三民路南興巷,17160,6,市區一般道路,D,臺南市,Tainan,2022-02-15
616823D,三甲一街,16823,6,市區一般道路,D,臺南市,Tainan,2022-02-15
616828D,三甲七街,16828,6,市區一般道路,D,臺南市,Tainan,2022-02-15
616824D,三甲二街,16824,6,市區一般道路,D,臺南市,Tainan,2022-02-15
616829D,三甲八街,16829,6,市區一般道路,D,臺南市,Tainan,2022-02-15
616825D,三甲三街,16825,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617161D,三甲子,17161,6,市區一般道路,D,臺南市,Tainan,2022-02-15
616826D,三甲五街,16826,6,市區一般道路,D,臺南市,Tainan,2022-02-15
616827D,三甲六街,16827,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617162D,三合寮,17162,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617163D,三吉,17163,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614046D,三村一街,14046,6,市區一般道路,D,臺南市,Tainan,2018-09-28
614047D,三村二街,14047,6,市區一般道路,D,臺南市,Tainan,2018-09-28
617164D,三角潭,17164,6,市區一般道路,D,臺南市,Tainan,2022-02-15
617165D,三和,17165,6,市區一般道路,D,臺南市,Tainan,2022-02-15
614048D,三和街,14048,6,市區一般道路,D,臺南市,Tainan,2018-09-28
