TownName,TownCode,CityName,Version
七股區,67000150,臺南市,23.05.1
下營區,67000080,臺南市,23.05.1
中西區,67000370,臺南市,23.05.1
仁德區,67000270,臺南市,23.05.1
佳里區,67000120,臺南市,23.05.1
六甲區,67000090,臺南市,23.05.1
北區,67000340,臺南市,23.05.1
北門區,67000170,臺南市,23.05.1
南化區,67000250,臺南市,23.05.1
南區,67000330,臺南市,23.05.1
善化區,67000190,臺南市,23.05.1
大內區,67000110,臺南市,23.05.1
學甲區,67000130,臺南市,23.05.1
安南區,67000350,臺南市,23.05.1
安定區,67000210,臺南市,23.05.1
安平區,67000360,臺南市,23.05.1
官田區,67000100,臺南市,23.05.1
將軍區,67000160,臺南市,23.05.1
山上區,67000220,臺南市,23.05.1
左鎮區,67000260,臺南市,23.05.1
後壁區,67000050,臺南市,23.05.1
新化區,67000180,臺南市,23.05.1
新市區,67000200,臺南市,23.05.1
新營區,67000010,臺南市,23.05.1
東區,67000320,臺南市,23.05.1
東山區,67000060,臺南市,23.05.1
柳營區,67000040,臺南市,23.05.1
楠西區,67000240,臺南市,23.05.1
歸仁區,67000280,臺南市,23.05.1
永康區,67000310,臺南市,23.05.1
玉井區,67000230,臺南市,23.05.1
白河區,67000030,臺南市,23.05.1
西港區,67000140,臺南市,23.05.1
關廟區,67000290,臺南市,23.05.1
鹽水區,67000020,臺南市,23.05.1
麻豆區,67000070,臺南市,23.05.1
龍崎區,67000300,臺南市,23.05.1
