RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
679001U,一心街,79001,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679002U,一心路,79002,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679003U,七星街,79003,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
680379U,七腳川,80379,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
679004U,七賢路,79004,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679005U,九如路,79005,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679006U,二聖路,79006,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679007U,八德街,79007,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679008U,八德路,79008,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679009U,八德路,79009,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679010U,力天路,79010,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679011U,力行路,79011,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
680322U,十六股大道,80322,6,市區一般道路,U,花蓮縣,HualienCounty,2020-10-20
679012U,十全街,79012,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679013U,十美街,79013,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
680380U,三台,80380,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
680381U,三民,80381,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
679014U,三民街,79014,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679015U,三民路,79015,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679016U,三多路,79016,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
680382U,三軒,80382,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
680383U,三區,80383,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
680384U,三富橋,80384,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
680385U,三棧,80385,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
680386U,三農場,80386,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
679017U,上海街,79017,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
680387U,久富,80387,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
680388U,大山,80388,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
679018U,大仁路,79018,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679019U,大方街,79019,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679020U,大功街,79020,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679021U,大全街,79021,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679022U,大全街42巷,79022,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679023U,大同街,79023,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679024U,大同街,79024,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679025U,大同街,79025,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679026U,大同路,79026,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679027U,大同路,79027,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679028U,大安一街,79028,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679029U,大安二街,79029,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679032U,大安八街,79032,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679030U,大安三街,79030,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679031U,大安六街,79031,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679033U,大安街,79033,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679034U,大成街,79034,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679035U,大有街,79035,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
679036U,大行街,79036,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
680389U,大坑,80389,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
679037U,大忠路,79037,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
680390U,大禹,80390,6,市區一般道路,U,花蓮縣,HualienCounty,2022-02-15
679038U,大禹街,79038,6,市區一般道路,U,花蓮縣,HualienCounty,2018-09-28
