RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
649270K,七十份,49270,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649271K,七古林,49271,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649272K,七崙仔,49272,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649273K,九份,49273,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649274K,九份寮,49274,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649275K,九芎坪,49275,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649276K,九芎林,49276,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649277K,九車籠,49277,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649278K,九湖,49278,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649279K,二十分,49279,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649280K,二十份,49280,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649281K,二十份,49281,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649282K,二本松,49282,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648001K,二份街,48001,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649283K,二坪,49283,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649284K,二湖,49284,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649285K,二寮坑,49285,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649286K,二灣,49286,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649287K,八十尺橋,49287,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649288K,八甲,49288,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649289K,八份,49289,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649290K,八角坑,49290,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649291K,八角林,49291,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649292K,八卦力,49292,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649293K,八卦力,49293,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649294K,八股,49294,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648002K,八股路,48002,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649295K,八股路館前一巷,49295,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649296K,八股路館前七巷,49296,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649297K,八股路館前九巷,49297,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649298K,八股路館前二巷,49298,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649299K,八股路館前八巷,49299,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649300K,八股路館前三巷,49300,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649301K,八股路館前五巷,49301,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649302K,八股路館前六巷,49302,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649303K,八寮灣,49303,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648003K,八德一路,48003,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
648004K,八德一路,48004,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
648005K,八德二路,48005,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
648006K,八德街,48006,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649304K,八櫃,49304,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649305K,刀石坑,49305,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648007K,力行街,48007,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649306K,十一份四,49306,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649307K,十一份四,49307,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649308K,十九份,49308,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649309K,十八份,49309,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649310K,十份,49310,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649223K,十字路,49223,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649311K,十股,49311,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649312K,十班坑,49312,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649313K,三十二份,49313,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649314K,三山,49314,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649315K,三水源,49315,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649316K,三水源南巷,49316,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648008K,三平路,48008,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
648009K,三民街,48009,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
648010K,三民街,48010,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
648011K,三民路,48011,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649317K,三份,49317,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649318K,三份,49318,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648012K,三好路,48012,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649319K,三百六坑,49319,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648013K,三西街,48013,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649320K,三角仔,49320,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649321K,三角店,49321,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648014K,三和路,48014,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649322K,三板橋,49322,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649323K,三洽坑,49323,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648015K,三泰街,48015,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649324K,三條峎,49324,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649325K,三湖,49325,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
648016K,三湖路,48016,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
649326K,三湖道,49326,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649327K,三寮坑,49327,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649328K,三櫃,49328,6,市區一般道路,K,苗栗縣,MiaoliCounty,2022-02-15
649162K,三豐東路,49162,6,市區一般道路,K,苗栗縣,MiaoliCounty,2020-10-20
648017K,三豐路,48017,6,市區一般道路,K,苗栗縣,MiaoliCounty,2018-09-28
