RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
665001P,一流街,65001,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665002P,七星路,65002,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666699P,七座,66699,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
665003P,七賢街,65003,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665004P,七賢街,65004,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665005P,九如街,65005,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666700P,九隆,66700,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666701P,二房,66701,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666702P,二重溝,66702,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666703P,二重溝,66703,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
665006P,八德街,65006,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665007P,八德街,65007,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665008P,八德街,65008,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665009P,八德街,65009,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665010P,八德路,65010,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665011P,力行街,65011,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665012P,十三北路,65012,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665013P,十三東路,65013,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665014P,十三南路,65014,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665015P,三央街,65015,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666704P,三民,66704,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
665016P,三民街,65016,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665017P,三民街,65017,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665018P,三民街,65018,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665019P,三民路,65019,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665020P,三民路,65020,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665021P,三民路,65021,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665022P,三民路,65022,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665023P,三民路,65023,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665024P,三民路,65024,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666705P,三合,66705,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666706P,三和,66706,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666707P,三和,66707,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666708P,三和,66708,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666709P,三和,66709,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666710P,三和,66710,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666711P,三和,66711,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
665025P,三和街,65025,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665026P,三和街,65026,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666537P,三和路,66537,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666712P,三姓,66712,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666713P,三房,66713,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666714P,三房,66714,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666715P,三星,66715,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
665027P,三星路,65027,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666716P,三盛,66716,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666717P,三塊厝,66717,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666718P,三塊厝,66718,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666719P,三源,66719,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
665028P,三義路,65028,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665029P,三樂路,65029,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665030P,三權路,65030,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665031P,上海西路,65031,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
665032P,上海路,65032,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666720P,下田,66720,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666721P,下庄,66721,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
665033P,下庄路,65033,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666722P,下店,66722,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666723P,下店,66723,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666724P,下南,66724,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
665034P,下柴路,65034,6,市區一般道路,P,雲林縣,YunlinCounty,2018-09-28
666725P,下桂山,66725,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
666726P,下崙,66726,6,市區一般道路,P,雲林縣,YunlinCounty,2022-02-15
