TownName,TownCode,CityName,Version
二崙鄉,10009110,雲林縣,23.05.1
元長鄉,10009170,雲林縣,23.05.1
北港鎮,10009060,雲林縣,23.05.1
口湖鄉,10009190,雲林縣,23.05.1
古坑鄉,10009070,雲林縣,23.05.1
臺西鄉,10009160,雲林縣,23.05.1
四湖鄉,10009180,雲林縣,23.05.1
土庫鎮,10009050,雲林縣,23.05.1
大埤鄉,10009080,雲林縣,23.05.1
崙背鄉,10009120,雲林縣,23.05.1
斗六市,10009010,雲林縣,23.05.1
斗南鎮,10009020,雲林縣,23.05.1
東勢鄉,10009140,雲林縣,23.05.1
林內鄉,10009100,雲林縣,23.05.1
水林鄉,10009200,雲林縣,23.05.1
莿桐鄉,10009090,雲林縣,23.05.1
虎尾鎮,10009030,雲林縣,23.05.1
褒忠鄉,10009150,雲林縣,23.05.1
西螺鎮,10009040,雲林縣,23.05.1
麥寮鄉,10009130,雲林縣,23.05.1
