RoadID,RoadName,RoadNameID,RoadClass,RoadClassName,CityID,CityName,City,UpdateDate
625068E, 第二貨櫃中心交流道,25068,6,市區一般道路,E,高雄市,Kaohsiung,2023-03-04
619001E,一心一路,19001,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619002E,一心二路,19002,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
621227E,一心街,21227,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619003E,一甲路,19003,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
621228E,一成街,21228,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
621229E,一致街,21229,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
623527E,一德南路,23527,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619004E,一德路,19004,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619005E,一德路,19005,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
621230E,七成街,21230,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619006E,七星路,19006,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619007E,七星路,19007,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
621231E,七雄街,21231,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
621232E,七聖街,21232,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619008E,七賢一路,19008,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619009E,七賢二路,19009,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619010E,七賢三路,19010,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619011E,九大路,19011,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
624463E,九大路河濱一巷,24463,6,市區一般道路,E,高雄市,Kaohsiung,2022-09-03
624464E,九大路河濱二巷,24464,6,市區一般道路,E,高雄市,Kaohsiung,2022-09-03
619012E,九如一路,19012,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619013E,九如二路,19013,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619014E,九如三路,19014,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619015E,九如四路,19015,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619016E,九曲路,19016,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
624465E,九曲路北極巷,24465,6,市區一般道路,E,高雄市,Kaohsiung,2022-09-03
619017E,九和路,19017,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619018E,九和路,19018,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
621233E,九湖一街,21233,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
621234E,九湖二街,21234,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
621235E,九湖三街,21235,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
621236E,二成街,21236,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
621237E,二和街,21237,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
623695E,二坡,23695,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
621238E,二美街,21238,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619019E,二苓路,19019,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
623696E,二埔,23696,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
623529E,二高路,23529,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
623697E,二聖一巷,23697,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619020E,二聖一路,19020,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
623698E,二聖二巷,23698,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619021E,二聖二路,19021,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
623699E,二聖三巷,23699,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619022E,二聖路,19022,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
621239E,二儀街,21239,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
623700E,人和巷,23700,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
621240E,八成街,21240,6,市區一般道路,E,高雄市,Kaohsiung,2022-02-15
619023E,八德一路,19023,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619024E,八德一路,19024,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619025E,八德二路,19025,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619026E,八德二路,19026,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619027E,八德中路,19027,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619028E,八德北路,19028,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619029E,八德西路,19029,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
619030E,八德東路,19030,6,市區一般道路,E,高雄市,Kaohsiung,2018-09-28
