TownName,TownCode,CityName,Version
三民區,64000050,高雄市,23.05.1
仁武區,64000170,高雄市,23.05.1
內門區,64000350,高雄市,23.05.1
六龜區,64000320,高雄市,23.05.1
前金區,64000070,高雄市,23.05.1
前鎮區,64000090,高雄市,23.05.1
大寮區,64000140,高雄市,23.05.1
大樹區,64000150,高雄市,23.05.1
大社區,64000160,高雄市,23.05.1
小港區,64000110,高雄市,23.05.1
岡山區,64000190,高雄市,23.05.1
左營區,64000030,高雄市,23.05.1
彌陀區,64000280,高雄市,23.05.1
新興區,64000060,高雄市,23.05.1
旗山區,64000300,高雄市,23.05.1
旗津區,64000100,高雄市,23.05.1
杉林區,64000340,高雄市,23.05.1
林園區,64000130,高雄市,23.05.1
桃源區,64000370,高雄市,23.05.1
梓官區,64000290,高雄市,23.05.1
楠梓區,64000040,高雄市,23.05.1
橋頭區,64000200,高雄市,23.05.1
永安區,64000270,高雄市,23.05.1
湖內區,64000250,高雄市,23.05.1
燕巢區,64000210,高雄市,23.05.1
田寮區,64000220,高雄市,23.05.1
甲仙區,64000330,高雄市,23.05.1
美濃區,64000310,高雄市,23.05.1
苓雅區,64000080,高雄市,23.05.1
茂林區,64000360,高雄市,23.05.1
茄萣區,64000260,高雄市,23.05.1
路竹區,64000240,高雄市,23.05.1
那瑪夏區,64000380,高雄市,23.05.1
阿蓮區,64000230,高雄市,23.05.1
鳥松區,64000180,高雄市,23.05.1
鳳山區,64000120,高雄市,23.05.1
鹽埕區,64000010,高雄市,23.05.1
鼓山區,64000020,高雄市,23.05.1
