StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
NWT1000058,1000058,自強街口,POINT (121.514584 25.007558),2023-07-13T00:00:00,2023-07-14T00:07:19.807
NWT10,10,八勢里,POINT (121.45952 25.15123),2023-07-13T00:00:00,2023-07-14T00:07:19.807
NWT1000045,1000045,公館,POINT (121.538530831111 25.0120963546845),2023-07-13T00:00:00,2023-07-14T00:07:19.807
NWT1000049,1000049,羅斯福金門街口,POINT (121.5246768 25.02410614),2023-07-13T00:00:00,2023-07-14T00:07:19.807
NWT1000046,1000046,臺灣科技大學,POINT (121.540148830658 25.0134530703612),2023-07-13T00:00:00,2023-07-14T00:07:19.823
NWT1000044,1000044,羅斯福金門街口,POINT (121.5243501 25.0242886),2023-07-13T00:00:00,2023-07-14T00:07:19.807
NWT1000036,1000036,師大分部,POINT (121.538470307254 25.0076706783786),2023-07-13T00:00:00,2023-07-14T00:07:19.823
NWT1000050,1000050,捷運古亭站(羅斯福),POINT (121.52269 25.02678),2023-07-13T00:00:00,2023-07-14T00:07:19.807
NWT1000083,1000083,中山藝術公園,POINT (121.4923377 25.06053321),2023-07-13T00:00:00,2023-07-14T00:07:19.887
NWT1000078,1000078,中華路北站,POINT (121.509144127644 25.0455115050969),2023-07-13T00:00:00,2023-07-14T00:07:19.87
NWT1000079,1000079,捷運西門站,POINT (121.508266771006 25.0425165606871),2023-07-13T00:00:00,2023-07-14T00:07:19.933
NWT1000081,1000081,菜寮(重陽路),POINT (121.48651605944 25.0580096673922),2023-07-13T00:00:00,2023-07-14T00:07:19.87
NWT1000077,1000077,捷運北門站,POINT (121.510134 25.049002),2023-07-13T00:00:00,2023-07-14T00:07:19.87
NWT1000080,1000080,小南門,POINT (121.506903709074 25.0378687908132),2023-07-13T00:00:00,2023-07-14T00:07:19.917
NWT1000072,1000072,大龍峒保安宮,POINT (121.515621 25.07209068),2023-07-13T00:00:00,2023-07-14T00:07:19.963
NWT1000067,1000067,中華路北站,POINT (121.5093021 25.04495097),2023-07-13T00:00:00,2023-07-14T00:07:19.903
NWT1000112,1000112,民權吉林路口,POINT (121.5300637 25.06254664),2023-07-13T00:00:00,2023-07-14T00:07:19.997
NWT10001,10001,連城中和路口,POINT (121.498554 25.001978),2023-07-13T00:00:00,2023-07-14T00:07:20.073
NWT1000148,1000148,長壽西街口,POINT (121.49641 25.067022),2023-07-13T00:00:00,2023-07-14T00:07:19.963
NWT1000115,1000115,陽明高中,POINT (121.517889 25.092141),2023-07-13T00:00:00,2023-07-14T00:07:20.057
NWT1000086,1000086,崩山,POINT (121.622976136162 25.0140743021165),2023-07-13T00:00:00,2023-07-14T00:07:20.043
NWT1000155,1000155,台泥大樓(馬偕醫院),POINT (121.522776776113 25.0608309862107),2023-07-13T00:00:00,2023-07-14T00:07:20.057
NWT1000108,1000108,臺北郵局,POINT (121.51129364418 25.04676505924),2023-07-13T00:00:00,2023-07-14T00:07:19.997
NWT1000117,1000117,捷運劍南路站,POINT (121.555253 25.08484),2023-07-13T00:00:00,2023-07-14T00:07:20.043
NWT1000168,1000168,大龍峒保安宮,POINT (121.5154577 25.07195442),2023-07-13T00:00:00,2023-07-14T00:07:20.153
NWT1000151,1000151,忠孝路口,POINT (121.491880982174 25.0718610139708),2023-07-13T00:00:00,2023-07-14T00:07:20.073
