StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
NWT1001,1001,1,1,8,2,2023-07-14T00:28:36+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
NWT1002,1002,1,1,0,20,2023-07-14T00:28:25+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
NWT1003,1003,1,1,11,13,2023-07-14T00:28:29+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
NWT1004,1004,1,1,11,12,2023-07-14T00:28:23+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
NWT1006,1006,1,1,0,20,2023-07-14T00:28:43+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
NWT1007,1007,1,1,0,15,2023-07-14T00:28:36+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
NWT1008,1008,1,1,17,7,2023-07-14T00:28:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
NWT1009,1009,1,1,14,24,2023-07-14T00:29:15+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
NWT1010,1010,1,1,2,11,2023-07-14T00:28:34+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
NWT1011,1011,1,1,35,4,2023-07-14T00:28:42+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 35, 'ElectricBikes': 0}"
NWT1012,1012,1,1,5,35,2023-07-14T00:28:18+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
NWT1013,1013,1,1,9,6,2023-07-14T00:28:22+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
NWT1014,1014,1,1,17,13,2023-07-14T00:27:40+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
NWT1015,1015,1,1,5,3,2023-07-14T00:28:37+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
NWT1016,1016,1,1,3,16,2023-07-14T00:28:24+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 3, 'ElectricBikes': 0}"
NWT1017,1017,1,1,4,6,2023-07-14T00:28:36+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
NWT1018,1018,1,1,0,12,2023-07-14T00:28:40+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
NWT1019,1019,1,1,13,8,2023-07-14T00:28:37+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 13, 'ElectricBikes': 0}"
NWT1020,1020,1,1,2,9,2023-07-14T00:28:43+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 2, 'ElectricBikes': 0}"
NWT1021,1021,1,1,4,8,2023-07-14T00:28:42+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
NWT1022,1022,1,1,15,48,2023-07-14T00:28:24+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
NWT1023,1023,1,1,1,17,2023-07-14T00:29:16+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 1, 'ElectricBikes': 0}"
NWT1024,1024,1,1,14,12,2023-07-14T00:28:25+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
NWT1025,1025,1,1,26,42,2023-07-14T00:28:44+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 26, 'ElectricBikes': 0}"
NWT1026,1026,1,1,4,6,2023-07-14T00:28:22+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
NWT1027,1027,1,1,6,11,2023-07-14T00:28:19+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
NWT1029,1029,1,1,9,22,2023-07-14T00:28:20+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 0}"
NWT1030,1030,1,1,4,9,2023-07-14T00:28:24+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
NWT1031,1031,1,1,16,9,2023-07-14T00:28:36+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 16, 'ElectricBikes': 0}"
NWT1032,1032,1,1,5,9,2023-07-14T00:28:23+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 0}"
