RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,TicketPriceDescriptionZh,TicketPriceDescriptionEn,FareBufferZoneDescriptionZh,FareBufferZoneDescriptionEn,RouteMapImageUrl,City,CityCode,UpdateTime,VersionID
NWT10116,10116,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT101160', 'SubRouteID': '101160', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '242', 'En': '242'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '1710'}, {'SubRouteUID': 'NWT101160', 'SubRouteID': '101160', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '242', 'En': '242'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '1710'}]",11,"{'Zh_tw': '242', 'En': '242'}",中和,Zhonghe,西門,Ximen,二段票,2 segments,智光商職-重慶南路三段(中正橋),Chih-Kuang Senior Commercial & Industrial Vocational High School-Chongqing S. Road Sec. 3(Zhongzheng Bridge),https://ebus.gov.taipei/MapOverview?nid=0400024200,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10143,10143,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT10143', 'SubRouteID': '10143', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '棕7', 'En': 'BR7'}, 'Direction': 0, 'FirstBusTime': '0525', 'LastBusTime': '2245', 'HolidayFirstBusTime': '0525', 'HolidayLastBusTime': '2215'}, {'SubRouteUID': 'NWT10143', 'SubRouteID': '10143', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '棕7', 'En': 'BR7'}, 'Direction': 1, 'FirstBusTime': '0525', 'LastBusTime': '2245', 'HolidayFirstBusTime': '0525', 'HolidayLastBusTime': '2215'}]",11,"{'Zh_tw': '棕7', 'En': 'BR7'}",新店站,Xindian Station,臺北市政府,Taipei City Hall,二段票,2 segments,景美女中-博嘉國小,Jingmei Girls High School-Bojia Elementary School,https://ebus.gov.taipei/MapOverview?nid=0414000700,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10148,10148,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT101480', 'SubRouteID': '101480', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '702', 'En': '702'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '2130', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2130'}, {'SubRouteUID': 'NWT101480', 'SubRouteID': '101480', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '702', 'En': '702'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '2130', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2130'}]",11,"{'Zh_tw': '702', 'En': '702'}",三峽,Sanxia,新北板橋公車站,Banqiao Bus Station,二段票,2 segments,風路坑-樹林後火車站,Fonlukeng-Shulin Train Station Rear,https://ebus.gov.taipei/MapOverview?nid=0400070200,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10149,10149,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT101490', 'SubRouteID': '101490', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '624綠野香坡', 'En': '624G'}, 'Direction': 0, 'FirstBusTime': '0730', 'LastBusTime': '2000', 'HolidayFirstBusTime': '0700', 'HolidayLastBusTime': '1930'}, {'SubRouteUID': 'NWT101490', 'SubRouteID': '101490', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '624綠野香坡', 'En': '624G'}, 'Direction': 1, 'FirstBusTime': '0730', 'LastBusTime': '2000', 'HolidayFirstBusTime': '0700', 'HolidayLastBusTime': '1930'}]",11,"{'Zh_tw': '624綠野香坡', 'En': '624G'}",新店,Xindian,西門,Ximen,兩段票,2 segments,智光商職-重慶南路三段(中正橋),Chih-Kuang Senior Commercial & Industrial Vocational High School-Chongqing S. Road Sec. 3(Zhongzheng Bridge),https://ebus.gov.taipei/MapOverview?nid=0400062470,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10151,10151,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT101510', 'SubRouteID': '101510', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '701', 'En': '701'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '2220', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2220'}, {'SubRouteUID': 'NWT101510', 'SubRouteID': '101510', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '701', 'En': '701'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '2220', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2220'}]",11,"{'Zh_tw': '701', 'En': '701'}",迴龍,Huilong,西門,Ximen,二段票,2 segments,北門街-捷運龍山寺站,Beimen St. - MRT Longshan Temple Station,https://ebus.gov.taipei/MapOverview?nid=0400070100,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10161,10161,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT101610', 'SubRouteID': '101610', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '231', 'En': '231'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '2000', 'HolidayFirstBusTime': '0600', 'HolidayLastBusTime': '2000'}, {'SubRouteUID': 'NWT101610', 'SubRouteID': '101610', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '231', 'En': '231'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '2000', 'HolidayFirstBusTime': '0600', 'HolidayLastBusTime': '2000'}]",11,"{'Zh_tw': '231', 'En': '231'}",宏國德霖科技大學,Hungkuo Delin University of Technology,捷運西門站,MRT Ximen Sta.,一段票,1 segments,https://ebus.gov.taipei/MapOverview?nid=0400023100,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10162,10162,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT10162', 'SubRouteID': '10162', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '245', 'En': '245'}, 'Direction': 0, 'FirstBusTime': '0520', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2200'}, {'SubRouteUID': 'NWT10162', 'SubRouteID': '10162', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '245', 'En': '245'}, 'Direction': 1, 'FirstBusTime': '0520', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2200'}]",11,"{'Zh_tw': '245', 'En': '245'}",宏國德霖科技大學,Hungkuo Delin University of Technology,捷運臺大醫院站,MRT NTU Hospital Sta.,一段票,1 segments,https://ebus.gov.taipei/MapOverview?nid=0400024500,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10163,10163,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT158438', 'SubRouteID': '158438', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '656', 'En': '656'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '2240', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2240'}, {'SubRouteUID': 'NWT158438', 'SubRouteID': '158438', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '656', 'En': '656'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '2240', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2240'}]",11,"{'Zh_tw': '656', 'En': '656'}",宏國德霖科技大學,Hungkuo Delin University of Technology,捷運臺大醫院站,MRT NTU Hospital Sta.,一段票,1 segments,https://ebus.gov.taipei/MapOverview?nid=0400065600,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10164,10164,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT10164', 'SubRouteID': '10164', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '657', 'En': '657'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2200'}, {'SubRouteUID': 'NWT10164', 'SubRouteID': '10164', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '657', 'En': '657'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2200'}]",11,"{'Zh_tw': '657', 'En': '657'}",宏國德霖科技大學,Hungkuo Delin University of Technology,華江橋,Huajiang Bridge,一段票,1 segments,https://ebus.gov.taipei/MapOverview?nid=0400065700,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10171,10171,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT101710', 'SubRouteID': '101710', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '201', 'En': '201'}, 'Direction': 0, 'FirstBusTime': '0730', 'LastBusTime': '1720'}, {'SubRouteUID': 'NWT101710', 'SubRouteID': '101710', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '201', 'En': '201'}, 'Direction': 1, 'FirstBusTime': '0730', 'LastBusTime': '1720'}]",11,"{'Zh_tw': '201', 'En': '201'}",中和,Zhonghe,捷運龍山寺站,MRT Longshan Temple Sta.,一段票,1 segments,https://ebus.gov.taipei/MapOverview?nid=0400020100,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10172,10172,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT101720', 'SubRouteID': '101720', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '243', 'En': '243'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '2100', 'HolidayFirstBusTime': '0550', 'HolidayLastBusTime': '1830'}, {'SubRouteUID': 'NWT101720', 'SubRouteID': '101720', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '243', 'En': '243'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '2100', 'HolidayFirstBusTime': '0550', 'HolidayLastBusTime': '1830'}, {'SubRouteUID': 'NWT159537', 'SubRouteID': '159537', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '243寵物公車', 'En': '243PET'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '2100', 'HolidayFirstBusTime': '0550', 'HolidayLastBusTime': '1830'}, {'SubRouteUID': 'NWT159537', 'SubRouteID': '159537', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '243寵物公車', 'En': '243PET'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '2100', 'HolidayFirstBusTime': '0550', 'HolidayLastBusTime': '1830'}]",11,"{'Zh_tw': '243', 'En': '243'}",中和,Zhonghe,西門,Ximen,二段票,2 segments,莊敬路-重慶南路三段(中正橋),Zhuangjing Rd.-Chongqing S. Road Sec. 3(Zhongzheng Bridge),https://ebus.gov.taipei/MapOverview?nid=0400024300,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10173,10173,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT10173', 'SubRouteID': '10173', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '241', 'En': '241'}, 'Direction': 0, 'FirstBusTime': '0520', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2200'}, {'SubRouteUID': 'NWT10173', 'SubRouteID': '10173', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '241', 'En': '241'}, 'Direction': 1, 'FirstBusTime': '0520', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2200'}]",11,"{'Zh_tw': '241', 'En': '241'}",中和,Zhonghe,博愛路,Boai Rd.,二段票,2 segments,得和路(民生路)-重慶南路三段(中正橋),Dehe Rd.-Chongqing S. Road Sec. 3(Zhongzheng Bridge),https://ebus.gov.taipei/MapOverview?nid=0400024100,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10195,10195,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT101950', 'SubRouteID': '101950', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '705', 'En': '705'}, 'Direction': 0, 'FirstBusTime': '0500', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0500', 'HolidayLastBusTime': '2200'}, {'SubRouteUID': 'NWT101950', 'SubRouteID': '101950', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '705', 'En': '705'}, 'Direction': 1, 'FirstBusTime': '0500', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0500', 'HolidayLastBusTime': '2200'}]",11,"{'Zh_tw': '705', 'En': '705'}",三峽,Sanxia,西門,Ximen,一段票,2 segments,https://ebus.gov.taipei/MapOverview?nid=0400070500,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10196,10196,True,"[{'OperatorID': '16176', 'OperatorName': {'Zh_tw': '臺北客運', 'En': 'Taipei Bus Co., Ltd.'}, 'OperatorCode': 'TaipeiBus', 'OperatorNo': '1407'}]",005,015,"[{'SubRouteUID': 'NWT158514', 'SubRouteID': '158514', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '706', 'En': '706'}, 'Direction': 0, 'FirstBusTime': '0500', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0500', 'HolidayLastBusTime': '2200'}, {'SubRouteUID': 'NWT158514', 'SubRouteID': '158514', 'OperatorIDs': ['16176'], 'SubRouteName': {'Zh_tw': '706', 'En': '706'}, 'Direction': 1, 'FirstBusTime': '0500', 'LastBusTime': '2200', 'HolidayFirstBusTime': '0500', 'HolidayLastBusTime': '2200'}]",11,"{'Zh_tw': '706', 'En': '706'}",三峽,Sanxia,西門,Ximen,三段票,3 segments,媽祖田-捷運永寧站 佳和公園-重慶南路三段(中正橋),"Mazutian-MRT YongNing Station , ChiaHer Park-Chongqing S. Road Sec. 3(Zhongzheng Bridge)",https://ebus.gov.taipei/MapOverview?nid=0400070600,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
NWT10281,10281,True,"[{'OperatorID': '16177', 'OperatorName': {'Zh_tw': '首都客運'}, 'OperatorCode': 'CapitalBus', 'OperatorNo': '0913'}]",005,015,"[{'SubRouteUID': 'NWT158434', 'SubRouteID': '158434', 'OperatorIDs': ['16177'], 'SubRouteName': {'Zh_tw': '藍2', 'En': 'BL2'}, 'Direction': 0, 'FirstBusTime': '0530', 'LastBusTime': '2300', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2300'}, {'SubRouteUID': 'NWT158434', 'SubRouteID': '158434', 'OperatorIDs': ['16177'], 'SubRouteName': {'Zh_tw': '藍2', 'En': 'BL2'}, 'Direction': 1, 'FirstBusTime': '0530', 'LastBusTime': '2300', 'HolidayFirstBusTime': '0530', 'HolidayLastBusTime': '2300'}]",11,"{'Zh_tw': '藍2', 'En': 'BL2'}",新莊,Xinzhuang,捷運台大醫院站,MRT NTU Hospital Station,一段票,1 segments,https://ebus.gov.taipei/MapOverview?nid=0412000200,NewTaipei,NWT,2023-07-13T03:17:16+08:00,3134
