StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
HSZ130087,130087,新竹監獄,POINT (120.95898 24.803827),2023-07-13T00:00:00,2023-07-14T00:18:55.78
HSZ130083,130083,城隍廟,POINT (120.966176 24.805088),2023-07-13T00:00:00,2023-07-14T00:18:55.78
HSZ130086,130086,服務中心,POINT (120.960665 24.804115),2023-07-13T00:00:00,2023-07-14T00:18:55.75
HSZ130082,130082,東門市場,POINT (120.96964 24.80521),2023-07-13T00:00:00,2023-07-14T00:18:55.78
HSZ130084,130084,西門市場,POINT (120.96385 24.80438),2023-07-13T00:00:00,2023-07-14T00:18:55.78
HSZ130085,130085,棒球場,POINT (120.96201 24.80601),2023-07-13T00:00:00,2023-07-14T00:18:55.767
HSZ130080,130080,總站,POINT (120.9705745 24.80140496),2023-07-13T00:00:00,2023-07-14T00:18:55.797
HSZ130081,130081,火車站,POINT (120.9711722 24.80333322),2023-07-13T00:00:00,2023-07-14T00:18:55.767
HSZ130092,130092,天公壇,POINT (120.95779 24.80005),2023-07-13T00:00:00,2023-07-14T00:18:55.967
HSZ130094,130094,榮民之家,POINT (120.95518 24.7948),2023-07-13T00:00:00,2023-07-14T00:18:55.873
HSZ130095,130095,成德高中,POINT (120.9527688 24.79319553),2023-07-13T00:00:00,2023-07-14T00:18:55.907
HSZ130091,130091,中和路,POINT (120.95647 24.80135),2023-07-13T00:00:00,2023-07-14T00:18:55.983
HSZ130093,130093,警光一村,POINT (120.95605 24.79733),2023-07-13T00:00:00,2023-07-14T00:18:55.873
HSZ130088,130088,監獄邊,POINT (120.95726 24.804348),2023-07-13T00:00:00,2023-07-14T00:18:55.92
HSZ130102,130102,監獄邊,POINT (120.95727 24.80424),2023-07-13T00:00:00,2023-07-14T00:18:56
HSZ130100,130100,台貿四村,POINT (120.95549 24.80192),2023-07-13T00:00:00,2023-07-14T00:18:56.123
HSZ130099,130099,中和路,POINT (120.956479 24.801353),2023-07-13T00:00:00,2023-07-14T00:18:56.107
HSZ130103,130103,新竹監獄,POINT (120.95928 24.80359),2023-07-13T00:00:00,2023-07-14T00:18:56
HSZ130090,130090,台貿四村,POINT (120.95534 24.80184),2023-07-13T00:00:00,2023-07-14T00:18:55.967
HSZ130089,130089,三廠,POINT (120.95534 24.80461),2023-07-13T00:00:00,2023-07-14T00:18:55.92
HSZ130101,130101,三廠,POINT (120.95539 24.80435),2023-07-13T00:00:00,2023-07-14T00:18:56
HSZ130107,130107,城隍廟,POINT (120.96647 24.80517),2023-07-13T00:00:00,2023-07-14T00:18:56.25
HSZ130108,130108,東門市場,POINT (120.9693496 24.80552478),2023-07-13T00:00:00,2023-07-14T00:18:56.25
HSZ130096,130096,榮民之家,POINT (120.95525 24.79472),2023-07-13T00:00:00,2023-07-14T00:18:56
HSZ130113,130113,國泰醫院,POINT (120.9650767 24.79800148),2023-07-13T00:00:00,2023-07-14T00:18:56.123
HSZ130112,130112,南門市場,POINT (120.9677504 24.79966583),2023-07-13T00:00:00,2023-07-14T00:18:56.157
HSZ130098,130098,天公壇,POINT (120.957524 24.79957),2023-07-13T00:00:00,2023-07-14T00:18:56.107
HSZ130109,130109,火車站,POINT (120.971034 24.803483),2023-07-13T00:00:00,2023-07-14T00:18:56.093
HSZ130097,130097,警光一村,POINT (120.95615 24.79743),2023-07-13T00:00:00,2023-07-14T00:18:56
HSZ130104,130104,服務中心,POINT (120.96084 24.80441),2023-07-13T00:00:00,2023-07-14T00:18:56.093
HSZ130117,130117,中埔口,POINT (120.94534 24.7938),2023-07-13T00:00:00,2023-07-14T00:18:56.357
HSZ130120,130120,金山園,POINT (120.93392 24.7905),2023-07-13T00:00:00,2023-07-14T00:18:56.25
HSZ130106,130106,西門市場,POINT (120.96402 24.80415),2023-07-13T00:00:00,2023-07-14T00:18:56.233
HSZ130121,130121,香山高中,POINT (120.93074 24.784828),2023-07-13T00:00:00,2023-07-14T00:18:56.267
HSZ130105,130105,棒球場,POINT (120.96172 24.80623),2023-07-13T00:00:00,2023-07-14T00:18:56.157
HSZ130118,130118,牛埔口,POINT (120.94212 24.79255),2023-07-13T00:00:00,2023-07-14T00:18:56.373
HSZ130114,130114,林森路口,POINT (120.9614682 24.79683479),2023-07-13T00:00:00,2023-07-14T00:18:56.217
HSZ130125,130125,元培科技大學,POINT (120.94012 24.77811),2023-07-13T00:00:00,2023-07-14T00:18:56.453
HSZ130130,130130,元培科技大學,POINT (120.94049 24.778),2023-07-13T00:00:00,2023-07-14T00:18:56.407
HSZ130131,130131,香山坑,POINT (120.93811 24.778494),2023-07-13T00:00:00,2023-07-14T00:18:56.357
HSZ130116,130116,中埔,POINT (120.9495149 24.7955526),2023-07-13T00:00:00,2023-07-14T00:18:56.343
HSZ130127,130127,玄奘大學,POINT (120.94432 24.77458),2023-07-13T00:00:00,2023-07-14T00:18:56.453
HSZ130115,130115,農會,POINT (120.95457 24.79668),2023-07-13T00:00:00,2023-07-14T00:18:56.343
HSZ130122,130122,隘口,POINT (120.93301 24.782483),2023-07-13T00:00:00,2023-07-14T00:18:56.357
HSZ130119,130119,台灣玻璃,POINT (120.9374 24.79111),2023-07-13T00:00:00,2023-07-14T00:18:56.217
HSZ130139,130139,中埔,POINT (120.94953 24.7954),2023-07-13T00:00:00,2023-07-14T00:18:56.453
HSZ130135,130135,金山園,POINT (120.93396 24.790463),2023-07-13T00:00:00,2023-07-14T00:18:56.547
HSZ130138,130138,中埔口,POINT (120.94552 24.79362),2023-07-13T00:00:00,2023-07-14T00:18:56.547
HSZ130124,130124,香山坑,POINT (120.938117 24.77837694),2023-07-13T00:00:00,2023-07-14T00:18:56.483
HSZ130132,130132,土地公廟,POINT (120.93582 24.77955),2023-07-13T00:00:00,2023-07-14T00:18:56.5
HSZ130136,130136,台灣玻璃,POINT (120.93825 24.790908),2023-07-13T00:00:00,2023-07-14T00:18:56.547
HSZ130123,130123,土地公廟,POINT (120.93593 24.779328),2023-07-13T00:00:00,2023-07-14T00:18:56.5
HSZ130128,130128,玄奘大學,POINT (120.94434 24.7746),2023-07-13T00:00:00,2023-07-14T00:18:56.39
HSZ130143,130143,南門市場,POINT (120.9676609 24.79951774),2023-07-13T00:00:00,2023-07-14T00:18:56.657
HSZ130148,130148,信義幼稚園,POINT (120.95499 24.79859),2023-07-13T00:00:00,2023-07-14T00:18:56.517
HSZ130147,130147,頂埔社區,POINT (120.9527 24.79968),2023-07-13T00:00:00,2023-07-14T00:18:56.703
HSZ130140,130140,農會,POINT (120.9545673 24.79649721),2023-07-13T00:00:00,2023-07-14T00:18:56.623
HSZ130137,130137,牛埔口,POINT (120.94171 24.79215),2023-07-13T00:00:00,2023-07-14T00:18:56.53
HSZ130134,130134,香山高中,POINT (120.9306 24.78518),2023-07-13T00:00:00,2023-07-14T00:18:56.623
HSZ130133,130133,隘口,POINT (120.93298 24.78274),2023-07-13T00:00:00,2023-07-14T00:18:56.657
HSZ130144,130144,牛埔,POINT (120.9421 24.79716),2023-07-13T00:00:00,2023-07-14T00:18:56.687
HSZ130156,130156,果菜市場,POINT (120.97826 24.81455),2023-07-13T00:00:00,2023-07-14T00:18:56.64
HSZ130149,130149,警光路,POINT (120.95719 24.79721),2023-07-13T00:00:00,2023-07-14T00:18:56.717
HSZ130155,130155,經國北大路口,POINT (120.97486 24.81418),2023-07-13T00:00:00,2023-07-14T00:18:56.857
HSZ130152,130152,國賓大飯店,POINT (120.97866 24.80627),2023-07-13T00:00:00,2023-07-14T00:18:56.827
HSZ130146,130146,聖德宮,POINT (120.94782 24.79759),2023-07-13T00:00:00,2023-07-14T00:18:56.64
HSZ130142,130142,國泰醫院,POINT (120.9651712 24.79796304),2023-07-13T00:00:00,2023-07-14T00:18:56.733
HSZ130141,130141,林森路口,POINT (120.9618205 24.79679712),2023-07-13T00:00:00,2023-07-14T00:18:56.797
HSZ130153,130153,民生民族路口,POINT (120.97815 24.80881),2023-07-13T00:00:00,2023-07-14T00:18:56.843
HSZ130165,130165,民富國小,POINT (120.96069 24.80817),2023-07-13T00:00:00,2023-07-14T00:18:56.733
HSZ130163,130163,國軍新竹地區醫院,POINT (120.9629076 24.81636243),2023-07-13T00:00:00,2023-07-14T00:18:56.967
HSZ130157,130157,台大新竹分院,POINT (120.98003 24.81568),2023-07-13T00:00:00,2023-07-14T00:18:56.843
