StationUID,StationID,ServiceStatus,ServiceType,AvailableRentBikes,AvailableReturnBikes,SrcUpdateTime,UpdateTime,AvailableRentBikesDetail
HSZ500401001,500401001,1,2,15,22,2023-07-07T23:55:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
HSZ500401002,500401002,1,2,15,17,2023-07-13T20:50:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 15, 'ElectricBikes': 0}"
HSZ500401003,500401003,1,2,13,27,2023-07-13T09:01:03+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 13, 'ElectricBikes': 0}"
HSZ500401004,500401004,1,2,17,32,2023-07-13T01:58:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
HSZ500401005,500401005,1,2,0,30,2023-07-12T09:02:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 0, 'ElectricBikes': 0}"
HSZ500401006,500401006,1,2,10,30,2023-07-10T09:27:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 9, 'ElectricBikes': 1}"
HSZ500401007,500401007,1,2,8,72,2023-07-13T09:48:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
HSZ500401008,500401008,1,2,46,34,2023-07-13T05:13:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 46, 'ElectricBikes': 0}"
HSZ500401009,500401009,1,2,11,9,2023-07-10T00:16:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
HSZ500401010,500401010,1,2,17,3,2023-07-13T21:27:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 17, 'ElectricBikes': 0}"
HSZ500401011,500401011,1,2,6,18,2023-07-12T08:02:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 0}"
HSZ500401012,500401012,1,2,4,16,2023-07-11T06:07:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
HSZ500401013,500401013,1,2,18,6,2023-07-10T19:54:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 18, 'ElectricBikes': 0}"
HSZ500401014,500401014,1,2,10,6,2023-07-07T06:36:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 6}"
HSZ500401015,500401015,1,2,11,44,2023-07-11T18:42:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
HSZ500401016,500401016,1,2,14,15,2023-07-13T10:26:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 14, 'ElectricBikes': 0}"
HSZ500401017,500401017,1,2,7,13,2023-07-11T09:45:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 6, 'ElectricBikes': 1}"
HSZ500401018,500401018,1,2,4,5,2023-07-12T02:54:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 0}"
HSZ500401019,500401019,1,2,8,0,2023-07-12T15:44:04+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 8, 'ElectricBikes': 0}"
HSZ500401020,500401020,1,2,7,11,2023-07-13T09:02:05+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 7, 'ElectricBikes': 0}"
HSZ500401021,500401021,1,2,11,9,2023-07-13T09:55:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 11, 'ElectricBikes': 0}"
HSZ500401022,500401022,1,2,5,3,2023-07-08T17:53:26+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 4, 'ElectricBikes': 1}"
HSZ500401023,500401023,1,2,9,6,2023-07-13T09:02:18+08:00,2023-07-14T00:29:52+08:00,"{'GeneralBikes': 5, 'ElectricBikes': 4}"
