RouteUID,RouteID,HasSubRoutes,Operators,AuthorityID,ProviderID,SubRoutes,BusRouteType,RouteName,DepartureStopNameZh,DepartureStopNameEn,DestinationStopNameZh,DestinationStopNameEn,RouteMapImageUrl,City,CityCode,UpdateTime,VersionID
HSZ0007,0007,True,"[{'OperatorID': '18', 'OperatorName': {'Zh_tw': '科技之星交通', 'En': 'KJ-Star Bus Co., Ltd.'}, 'OperatorCode': 'KJ-StarBus', 'OperatorNo': '0909'}]",012,010,"[{'SubRouteUID': 'HSZ000701', 'SubRouteID': '000701', 'OperatorIDs': ['18'], 'SubRouteName': {'Zh_tw': '81', 'En': '81'}, 'Headsign': '古奇峰→新莊車站', 'HeadsignEn': 'Ku Chi Peak→Xinzhuang Station', 'Direction': 0}, {'SubRouteUID': 'HSZ000702', 'SubRouteID': '000702', 'OperatorIDs': ['18'], 'SubRouteName': {'Zh_tw': '81', 'En': '81'}, 'Headsign': '新莊車站→古奇峰', 'HeadsignEn': 'Xinzhuang Station→Ku Chi Peak', 'Direction': 1}]",11,"{'Zh_tw': '81', 'En': '81'}",古奇峰,Ku Chi Peak,新莊車站,Xinzhuang Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0007.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0008,0008,True,"[{'OperatorID': '18', 'OperatorName': {'Zh_tw': '科技之星交通', 'En': 'KJ-Star Bus Co., Ltd.'}, 'OperatorCode': 'KJ-StarBus', 'OperatorNo': '0909'}]",012,010,"[{'SubRouteUID': 'HSZ000801', 'SubRouteID': '000801', 'OperatorIDs': ['18'], 'SubRouteName': {'Zh_tw': '83', 'En': '83'}, 'Headsign': '成德路─清華大學', 'HeadsignEn': 'ChengDe Rd-National Tsing Hua University', 'Direction': 0}, {'SubRouteUID': 'HSZ000802', 'SubRouteID': '000802', 'OperatorIDs': ['18'], 'SubRouteName': {'Zh_tw': '83', 'En': '83'}, 'Headsign': '清華大學─成德路', 'HeadsignEn': 'National Tsing Hua University-ChengDe Rd', 'Direction': 1}, {'SubRouteUID': 'HSZ0008A1', 'SubRouteID': '0008A1', 'OperatorIDs': ['18'], 'SubRouteName': {'Zh_tw': '83支A', 'En': '83支A'}, 'Headsign': '成德路─清華大學(區)', 'HeadsignEn': 'ChengDe Rd-National Tsing Hua University', 'Direction': 0}, {'SubRouteUID': 'HSZ0008A2', 'SubRouteID': '0008A2', 'OperatorIDs': ['18'], 'SubRouteName': {'Zh_tw': '83支A', 'En': '83支A'}, 'Headsign': '清華大學─成德路(區)', 'HeadsignEn': 'National Tsing Hua University-ChengDe Rd', 'Direction': 1}]",11,"{'Zh_tw': '83', 'En': '83'}",成德路,Chengde Road,北校門,North Campus,http://web.taiwanbus.tw/TMSData/Schematic/file/0008.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0010,0010,False,"[{'OperatorID': '13', 'OperatorName': {'Zh_tw': '新竹客運', 'En': 'Hsinchu Bus Co., Ltd.'}, 'OperatorCode': 'HsinchuBus', 'OperatorNo': '1303'}]",012,010,"[{'SubRouteUID': 'HSZ001001', 'SubRouteID': '001001', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '藍線1區', 'En': '藍線1區'}, 'Headsign': '火車站→竹中[循環線]', 'HeadsignEn': 'Train Station→Zhu Zhong→Train Station', 'Direction': 0}]",11,"{'Zh_tw': '藍線1區', 'En': '藍線1區'}",火車站,Train Station,火車站,Train Station,http://web.taiwanbus.tw/TMSData/Schematic/file/0010.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0020,0020,True,"[{'OperatorID': '13', 'OperatorName': {'Zh_tw': '新竹客運', 'En': 'Hsinchu Bus Co., Ltd.'}, 'OperatorCode': 'HsinchuBus', 'OperatorNo': '1303'}]",012,010,"[{'SubRouteUID': 'HSZ002001', 'SubRouteID': '002001', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '2', 'En': '2'}, 'Headsign': '火車站→交大', 'HeadsignEn': 'Train Station→National Chiao Tung University', 'Direction': 0}, {'SubRouteUID': 'HSZ002002', 'SubRouteID': '002002', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '2', 'En': '2'}, 'Headsign': '交大→火車站', 'HeadsignEn': 'National Chiao Tung University→Train Station', 'Direction': 1}, {'SubRouteUID': 'HSZ0020A1', 'SubRouteID': '0020A1', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '2支A', 'En': '2支A'}, 'Headsign': '火車站→交大[繞建功路]', 'HeadsignEn': 'Train Station→National Chiao Tung University[via Chien Kung Rd.]', 'Direction': 0}, {'SubRouteUID': 'HSZ0020A2', 'SubRouteID': '0020A2', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '2支A', 'En': '2支A'}, 'Headsign': '交大→火車站[繞建功路]', 'HeadsignEn': 'National Chiao Tung University→Train Station[via Chien Kung Rd.]', 'Direction': 1}]",11,"{'Zh_tw': '2', 'En': '2'}",火車站,Train Station,交大光復校區,National Chiao Tung University Guangfu Campus,http://web.taiwanbus.tw/TMSData/Schematic/file/0020.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0100,0100,True,"[{'OperatorID': '13', 'OperatorName': {'Zh_tw': '新竹客運', 'En': 'Hsinchu Bus Co., Ltd.'}, 'OperatorCode': 'HsinchuBus', 'OperatorNo': '1303'}]",012,010,"[{'SubRouteUID': 'HSZ010001', 'SubRouteID': '010001', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '10', 'En': '10'}, 'Headsign': '總站→成德高中', 'HeadsignEn': 'Terminus→Hsinchu Municipal Chen De High School', 'Direction': 0}, {'SubRouteUID': 'HSZ010002', 'SubRouteID': '010002', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '10', 'En': '10'}, 'Headsign': '成德高中→總站', 'HeadsignEn': 'Hsinchu Municipal Chen De High School →Terminus', 'Direction': 1}]",11,"{'Zh_tw': '10', 'En': '10'}",總站,Terminal,成德高中,Chengte High School,http://web.taiwanbus.tw/TMSData/Schematic/file/0100.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0110,0110,True,"[{'OperatorID': '13', 'OperatorName': {'Zh_tw': '新竹客運', 'En': 'Hsinchu Bus Co., Ltd.'}, 'OperatorCode': 'HsinchuBus', 'OperatorNo': '1303'}]",012,010,"[{'SubRouteUID': 'HSZ0110A1', 'SubRouteID': '0110A1', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '11A', 'En': '11A'}, 'Headsign': '火車站→順天宮', 'HeadsignEn': 'Train Station→Shuntian Temple', 'Direction': 0}, {'SubRouteUID': 'HSZ0110A2', 'SubRouteID': '0110A2', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '11A', 'En': '11A'}, 'Headsign': '順天宫→火車站', 'HeadsignEn': 'Shuntian Temple→Train Station', 'Direction': 1}]",11,"{'Zh_tw': '11', 'En': '11'}",火車站,Train Station,順天宮,Shuntian Temple,http://web.taiwanbus.tw/TMSData/Schematic/file/0110.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0113,0113,True,"[{'OperatorID': '13', 'OperatorName': {'Zh_tw': '新竹客運', 'En': 'Hsinchu Bus Co., Ltd.'}, 'OperatorCode': 'HsinchuBus', 'OperatorNo': '1303'}]",012,010,"[{'SubRouteUID': 'HSZ011301', 'SubRouteID': '011301', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '11甲', 'En': '11甲'}, 'Headsign': '火車站→上寮', 'HeadsignEn': 'Train Station→shang liao', 'Direction': 0}, {'SubRouteUID': 'HSZ011302', 'SubRouteID': '011302', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '11甲', 'En': '11甲'}, 'Headsign': '上寮→火車站', 'HeadsignEn': 'shang liao→Train Station', 'Direction': 1}]",11,"{'Zh_tw': '11甲', 'En': '11甲'}",火車站,Train Station,上寮,Shangliao,http://web.taiwanbus.tw/TMSData/Schematic/file/0113.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0120,0120,True,"[{'OperatorID': '13', 'OperatorName': {'Zh_tw': '新竹客運', 'En': 'Hsinchu Bus Co., Ltd.'}, 'OperatorCode': 'HsinchuBus', 'OperatorNo': '1303'}]",012,010,"[{'SubRouteUID': 'HSZ012001', 'SubRouteID': '012001', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '12', 'En': '12'}, 'Headsign': '總站→莊厝', 'HeadsignEn': 'Terminus→zhuang cuo', 'Direction': 0}, {'SubRouteUID': 'HSZ012002', 'SubRouteID': '012002', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '12', 'En': '12'}, 'Headsign': '莊厝→總站', 'HeadsignEn': 'zhuang cuo→Terminus', 'Direction': 1}]",11,"{'Zh_tw': '12', 'En': '12'}",總站,Terminal,莊厝,Zhuangcuo,http://web.taiwanbus.tw/TMSData/Schematic/file/0120.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0150,0150,True,"[{'OperatorID': '13', 'OperatorName': {'Zh_tw': '新竹客運', 'En': 'Hsinchu Bus Co., Ltd.'}, 'OperatorCode': 'HsinchuBus', 'OperatorNo': '1303'}]",012,010,"[{'SubRouteUID': 'HSZ015001', 'SubRouteID': '015001', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '藍15區', 'En': '藍15區'}, 'Headsign': '火車站→南寮', 'HeadsignEn': 'Train Station—Nan Liao', 'Direction': 0}, {'SubRouteUID': 'HSZ015002', 'SubRouteID': '015002', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '藍15區', 'En': '藍15區'}, 'Headsign': '南寮→火車站', 'HeadsignEn': 'Nan Liao—Train Station', 'Direction': 1}, {'SubRouteUID': 'HSZ0150B1', 'SubRouteID': '0150B1', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '藍15區B', 'En': '藍15區B'}, 'Headsign': '火車站→新竹區漁會', 'HeadsignEn': 'Train Station—Hsinchu District Fisheries Association', 'Direction': 0}, {'SubRouteUID': 'HSZ0150B2', 'SubRouteID': '0150B2', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '藍15區B', 'En': '藍15區B'}, 'Headsign': '新竹區漁會→火車站', 'HeadsignEn': 'Hsinchu District Fisheries Association→Train Station', 'Direction': 1}]",11,"{'Zh_tw': '藍15區', 'En': '藍15區'}",火車站,Train Station,南寮,Nan Liao,http://web.taiwanbus.tw/TMSData/Schematic/file/0150.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
HSZ0160,0160,True,"[{'OperatorID': '13', 'OperatorName': {'Zh_tw': '新竹客運', 'En': 'Hsinchu Bus Co., Ltd.'}, 'OperatorCode': 'HsinchuBus', 'OperatorNo': '1303'}]",012,010,"[{'SubRouteUID': 'HSZ016001', 'SubRouteID': '016001', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '16', 'En': '16'}, 'Headsign': '火車站→台大分院', 'HeadsignEn': 'Train Station→NTUH HsinChu Branch', 'Direction': 0}, {'SubRouteUID': 'HSZ016002', 'SubRouteID': '016002', 'OperatorIDs': ['13'], 'SubRouteName': {'Zh_tw': '16', 'En': '16'}, 'Headsign': '台大分院→火車站', 'HeadsignEn': 'Train Station→NTUH HsinChu Branch', 'Direction': 1}]",11,"{'Zh_tw': '16', 'En': '16'}",火車站,Train Station,台大醫院新竹分院,National Taiwan University Hospital Hsin-Chu Branc,http://web.taiwanbus.tw/TMSData/Schematic/file/0160.jpg,Hsinchu,HSZ,2023-07-13T07:38:39+08:00,1790
