StationUID,StationID,StationName,Geometry,UpdateDate,CheckDate
HSQ114724,114724,竹東,POINT (121.0857468 24.7397444),2023-07-13T00:00:00,2023-07-14T00:19:06.25
HSQ130816,130816,縣政府,POINT (121.01221 24.82523),2023-07-13T00:00:00,2023-07-14T00:19:06.25
HSQ130817,130817,台灣企銀,POINT (121.010267 24.827756),2023-07-13T00:00:00,2023-07-14T00:19:06.25
HSQ106644,106644,臺大醫院竹東分院,POINT (121.09441 24.71876),2023-07-13T00:00:00,2023-07-14T00:19:06.233
HSQ130683,130683,實驗中學,POINT (121.017028 24.77673),2023-07-13T00:00:00,2023-07-14T00:19:06.233
HSQ130685,130685,實驗中學,POINT (121.01736 24.77651),2023-07-13T00:00:00,2023-07-14T00:19:06.25
HSQ107168,107168,珊珠湖,POINT (120.95802 24.68353),2023-07-13T00:00:00,2023-07-14T00:19:06.25
HSQ130818,130818,文化中心,POINT (121.01166 24.83021),2023-07-13T00:00:00,2023-07-14T00:19:06.25
HSQ130824,130824,金山街,POINT (121.01909 24.77818),2023-07-13T00:00:00,2023-07-14T00:19:06.357
HSQ130821,130821,縣政二路,POINT (121.01787 24.83098),2023-07-13T00:00:00,2023-07-14T00:19:06.343
HSQ130828,130828,金山街,POINT (121.01871 24.77823),2023-07-13T00:00:00,2023-07-14T00:19:06.327
HSQ130820,130820,婦幼館,POINT (121.019256 24.833876),2023-07-13T00:00:00,2023-07-14T00:19:06.343
HSQ130829,130829,衛生局,POINT (121.01539 24.82538),2023-07-13T00:00:00,2023-07-14T00:19:06.343
HSQ130822,130822,衛生局,POINT (121.01543 24.82577),2023-07-13T00:00:00,2023-07-14T00:19:06.327
HSQ130850,130850,特殊教育學校站,POINT (121.0333054 24.81388374),2023-07-13T00:00:00,2023-07-14T00:19:06.437
HSQ130948,130948,榮民講習所,POINT (121.01382 24.85778),2023-07-13T00:00:00,2023-07-14T00:19:06.437
HSQ130832,130832,仁愛國中,POINT (121.015035 24.833008),2023-07-13T00:00:00,2023-07-14T00:19:06.437
HSQ130819,130819,仁愛國中,POINT (121.01395 24.83304),2023-07-13T00:00:00,2023-07-14T00:19:06.327
HSQ130831,130831,婦幼館,POINT (121.01955 24.8339),2023-07-13T00:00:00,2023-07-14T00:19:06.42
HSQ130823,130823,新安,POINT (121.004411 24.781141),2023-07-13T00:00:00,2023-07-14T00:19:06.327
HSQ130955,130955,光復工業二路口,POINT (121.0229806 24.86793513),2023-07-13T00:00:00,2023-07-14T00:19:06.547
HSQ130863,130863,特殊教育學校站,POINT (121.0327218 24.81512035),2023-07-13T00:00:00,2023-07-14T00:19:06.407
HSQ130952,130952,管理中心,POINT (121.0097603 24.87196673),2023-07-13T00:00:00,2023-07-14T00:19:06.53
HSQ130833,130833,文化中心,POINT (121.01147 24.83028),2023-07-13T00:00:00,2023-07-14T00:19:06.407
HSQ130963,130963,大東山休閒農園,POINT (121.0220188 24.85268444),2023-07-13T00:00:00,2023-07-14T00:19:06.607
HSQ130834,130834,台灣企銀,POINT (121.01016 24.82792),2023-07-13T00:00:00,2023-07-14T00:19:06.407
HSQ130957,130957,光復東路永順街口,POINT (121.0339072 24.87058719),2023-07-13T00:00:00,2023-07-14T00:19:06.53
HSQ130951,130951,花王公司,POINT (121.0045242 24.86453789),2023-07-13T00:00:00,2023-07-14T00:19:06.517
HSQ130953,130953,中華公園,POINT (121.0133015 24.87164487),2023-07-13T00:00:00,2023-07-14T00:19:06.483
HSQ130830,130830,縣政二路,POINT (121.018087 24.830899),2023-07-13T00:00:00,2023-07-14T00:19:06.42
HSQ130954,130954,新工派出所,POINT (121.0163356 24.87128418),2023-07-13T00:00:00,2023-07-14T00:19:06.5
HSQ130965,130965,下枋寮,POINT (121.0305716 24.84568505),2023-07-13T00:00:00,2023-07-14T00:19:06.607
HSQ130960,130960,郵局前,POINT (121.0258185 24.86279482),2023-07-13T00:00:00,2023-07-14T00:19:06.593
HSQ130961,130961,天主堂,POINT (121.0223249 24.86005741),2023-07-13T00:00:00,2023-07-14T00:19:06.56
HSQ130956,130956,光復東路安宅七街口,POINT (121.027534 24.869423),2023-07-13T00:00:00,2023-07-14T00:19:06.517
HSQ130973,130973,新瓦屋,POINT (121.03348 24.84463),2023-07-13T00:00:00,2023-07-14T00:19:06.67
HSQ130971,130971,自強北路勝利八街,POINT (121.03195 24.82407),2023-07-13T00:00:00,2023-07-14T00:19:06.67
HSQ130969,130969,高鐵新竹站,POINT (121.040492 24.807182),2023-07-13T00:00:00,2023-07-14T00:19:06.623
HSQ130962,130962,訓練中心,POINT (121.0199923 24.85805566),2023-07-13T00:00:00,2023-07-14T00:19:06.56
HSQ130959,130959,中正堂,POINT (121.0305739 24.8658765),2023-07-13T00:00:00,2023-07-14T00:19:06.593
HSQ130977,130977,竹東火車站,POINT (121.094405 24.737977),2023-07-13T00:00:00,2023-07-14T00:19:06.703
HSQ130981,130981,內灣大橋,POINT (121.18338 24.70349),2023-07-13T00:00:00,2023-07-14T00:19:06.75
HSQ130949,130949,新竹鄉城,POINT (121.00771 24.86063),2023-07-13T00:00:00,2023-07-14T00:19:06.5
HSQ130968,130968,自強北路勝利八街,POINT (121.03169 24.82426),2023-07-13T00:00:00,2023-07-14T00:19:06.67
HSQ130970,130970,喜來登飯店,POINT (121.0292712 24.82090895),2023-07-13T00:00:00,2023-07-14T00:19:06.64
HSQ130964,130964,下排子,POINT (121.0285971 24.84681323),2023-07-13T00:00:00,2023-07-14T00:19:06.593
HSQ130979,130979,橫山,POINT (121.11601 24.72044),2023-07-13T00:00:00,2023-07-14T00:19:06.75
HSQ131072,131072,鄔瑪斯雜貨店,POINT (121.22457 24.69465),2023-07-13T00:00:00,2023-07-14T00:19:06.81
HSQ130985,130985,台泥前,POINT (121.09283 24.72815),2023-07-13T00:00:00,2023-07-14T00:19:06.767
HSQ130967,130967,百木達景觀休閒花市,POINT (121.0365868 24.84213213),2023-07-13T00:00:00,2023-07-14T00:19:06.67
HSQ130976,130976,大東山休閒農園,POINT (121.0222168 24.85275254),2023-07-13T00:00:00,2023-07-14T00:19:06.733
HSQ130972,130972,百木達景觀休閒花市,POINT (121.0366591 24.84192022),2023-07-13T00:00:00,2023-07-14T00:19:06.657
HSQ131070,131070,新竹客運比麟招呼站,POINT (121.2198 24.69557),2023-07-13T00:00:00,2023-07-14T00:19:06.827
HSQ131093,131093,新竹客運田中招呼站,POINT (121.25661 24.73972),2023-07-13T00:00:00,2023-07-14T00:19:06.89
HSQ130978,130978,台泥前,POINT (121.09274 24.72815),2023-07-13T00:00:00,2023-07-14T00:19:06.703
HSQ130958,130958,清泉堂,POINT (121.0328744 24.86724699),2023-07-13T00:00:00,2023-07-14T00:19:06.577
HSQ130984,130984,橫山,POINT (121.11623 24.72056),2023-07-13T00:00:00,2023-07-14T00:19:06.81
HSQ130975,130975,下排子,POINT (121.0286421 24.84687503),2023-07-13T00:00:00,2023-07-14T00:19:06.733
HSQ131077,131077,益昌商店,POINT (121.215 24.6841),2023-07-13T00:00:00,2023-07-14T00:19:06.843
HSQ130980,130980,十分寮,POINT (121.15379 24.71679),2023-07-13T00:00:00,2023-07-14T00:19:06.733
HSQ131104,131104,馬胎6鄰,POINT (121.16698 24.68326),2023-07-13T00:00:00,2023-07-14T00:19:06.967
HSQ131079,131079,礦野教會,POINT (121.21252 24.68145),2023-07-13T00:00:00,2023-07-14T00:19:06.907
HSQ130983,130983,十分寮,POINT (121.153934 24.716761),2023-07-13T00:00:00,2023-07-14T00:19:06.797
HSQ130966,130966,新瓦屋,POINT (121.0338033 24.844153),2023-07-13T00:00:00,2023-07-14T00:19:06.657
HSQ131071,131071,鄔瑪斯雜貨店,POINT (121.22457 24.69465),2023-07-13T00:00:00,2023-07-14T00:19:06.797
HSQ131069,131069,新竹客運比麟招呼站,POINT (121.2198 24.69557),2023-07-13T00:00:00,2023-07-14T00:19:06.78
